Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.3335,1.3935,4.1785
0.2000,0.3215,1.3431,4.1775
0.4000,0.3205,1.3392,4.1785
0.6000,0.3335,1.3932,4.1775
0.8000,0.321,1.341,4.1775
1.0000,0.321,1.3413,4.1785
1.2000,0.3245,1.3559,4.1785
1.4000,0.309,1.2908,4.1775
1.6000,0.3295,1.3765,4.1775
1.8000,0.3335,1.3932,4.1775
2.0000,0.3355,1.4016,4.1775
2.2000,0.322,1.3452,4.1775
2.4000,0.3235,1.3517,4.1785
2.6000,0.376,1.5707,4.1775
2.8000,0.3435,1.4348,4.177
3.0000,0.332,1.3869,4.1775
3.2000,0.321,1.3413,4.1785
3.4000,0.3595,1.5018,4.1775
3.6000,0.3205,1.3392,4.1785
3.8000,0.3205,1.3392,4.1785
4.0000,0.3205,1.3392,4.1785
4.2000,0.333,1.3914,4.1785
4.4000,0.345,1.4416,4.1785
4.6000,0.32,1.3371,4.1785
4.8000,0.3205,1.3392,4.1785
5.0000,0.32,1.3368,4.1775
5.2000,0.321,1.341,4.1775
5.4000,0.3325,1.389,4.1775
5.6000,0.32,1.3371,4.1785
5.8000,0.3265,1.3643,4.1785
6.0000,0.32,1.3371,4.1785
6.2000,0.32,1.3368,4.1775
6.4000,0.3205,1.3389,4.1775
6.6000,0.3195,1.335,4.1785
6.8000,0.332,1.3873,4.1785
7.0000,0.3205,1.3387,4.177
7.2000,0.3205,1.3392,4.1785
7.4000,0.324,1.3538,4.1785
7.6000,0.312,1.3037,4.1785
7.8000,0.3375,1.4102,4.1785
8.0000,0.325,1.358,4.1785
8.2000,0.3405,1.4228,4.1785
8.4000,0.3225,1.3476,4.1785
8.6000,0.322,1.3455,4.1785
8.8000,0.321,1.3413,4.1785
9.0000,0.3325,1.3894,4.1785
9.2000,0.374,1.5624,4.1775
9.4000,0.3205,1.3392,4.1785
9.6000,0.372,1.5544,4.1785
9.8000,0.3205,1.3389,4.1775
10.0000,0.3205,1.3392,4.1785
10.2000,0.332,1.3869,4.1775
10.4000,0.3195,1.3347,4.1775
10.6000,0.3205,1.3392,4.1785
10.8000,0.32,1.3374,4.1795
11.0000,0.32,1.3368,4.1775
11.2000,0.332,1.3873,4.1785
11.4000,0.32,1.3371,4.1785
11.6000,0.32,1.3371,4.1785
11.8000,0.32,1.3371,4.1785
12.0000,0.3205,1.3392,4.1785
12.2000,0.3195,1.3347,4.1775
12.4000,0.332,1.3868,4.177
12.6000,0.3205,1.3392,4.1785
12.8000,0.3205,1.3392,4.1785
13.0000,0.32,1.3371,4.1785
13.2000,0.326,1.3622,4.1785
13.4000,0.32,1.3371,4.1785
13.6000,0.3355,1.4019,4.1785
14.0000,0.552,2.3057,4.177
14.2000,0.4075,1.7027,4.1785
14.4000,0.407,1.7006,4.1785
