Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,1.058,4.4182,4.176
0.2000,1.31,5.4797,4.183
0.4000,1.1065,4.6207,4.176
0.6000,0.9795,4.0894,4.175
0.8000,1.0955,4.5759,4.177
1.0000,1.0555,4.4057,4.174
1.2000,1.11,4.6354,4.176
1.4000,1.153,4.8149,4.176
1.6000,1.2745,5.3198,4.174
1.8000,1.237,5.1626,4.1735
2.0000,1.362,5.6864,4.175
2.2000,0.9965,4.1614,4.176
2.4000,1.1485,4.7973,4.177
2.6000,1.2305,5.1398,4.177
2.8000,1.276,5.3273,4.175
3.0000,1.3585,5.6799,4.181
3.2000,1.275,5.3231,4.175
3.4000,1.2685,5.2985,4.177
3.6000,1.5125,6.3215,4.1795
3.8000,1.2055,5.0354,4.177
4.0000,1.1625,4.8546,4.176
4.2000,1.1635,4.8646,4.181
4.4000,1.022,4.2694,4.1775
4.6000,1.2395,5.1749,4.175
4.8000,1.018,4.2512,4.176
5.0000,1.016,4.2418,4.175
5.2000,1.582,6.608,4.177
5.4000,1.245,5.1991,4.176
5.6000,1.247,5.2093,4.1775
5.8000,1.2665,5.2889,4.176
6.0000,1.2015,5.0163,4.175
6.2000,1.411,5.8937,4.177
6.4000,1.2005,5.0133,4.176
6.6000,1.2525,5.2304,4.176
6.8000,1.2195,5.0926,4.176
7.0000,1.262,5.2714,4.177
