Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.4455,1.8615,4.1785
0.2000,0.4685,1.9572,4.1775
0.4000,0.455,1.9008,4.1775
0.6000,0.532,2.2224,4.1775
0.8000,0.541,2.2598,4.177
1.0000,0.475,1.9848,4.1785
1.2000,0.474,1.9806,4.1785
1.4000,0.4425,1.849,4.1785
1.6000,0.5875,2.4549,4.1785
1.8000,0.46,1.9221,4.1785
2.0000,0.5195,2.1702,4.1775
2.2000,0.4455,1.8611,4.1775
2.4000,0.4595,1.92,4.1785
2.6000,0.5165,2.1582,4.1785
2.8000,0.435,1.8172,4.1775
3.0000,0.4215,1.7612,4.1785
3.2000,0.421,1.7591,4.1785
3.4000,0.3965,1.6562,4.177
3.6000,0.4375,1.8281,4.1785
3.8000,0.576,2.406,4.177
4.0000,0.4955,2.0697,4.177
4.2000,0.4955,2.07,4.1775
4.4000,0.496,2.0725,4.1785
4.6000,0.5315,2.2203,4.1775
4.8000,0.4425,1.8483,4.177
5.0000,0.487,2.0342,4.177
5.2000,0.4455,1.8615,4.1785
5.4000,0.5075,2.1211,4.1795
5.6000,0.573,2.3934,4.177
5.8000,0.6555,2.738,4.177
6.0000,0.4535,1.8949,4.1785
6.2000,0.4095,1.7107,4.1775
6.4000,0.5245,2.1911,4.1775
6.6000,0.4705,1.966,4.1785
6.8000,0.431,1.8009,4.1785
7.0000,0.4975,2.0783,4.1775
7.2000,0.437,1.8256,4.1775
7.4000,0.4415,1.8444,4.1775
7.6000,0.564,2.3567,4.1785
7.8000,0.531,2.2183,4.1775
8.0000,0.548,2.289,4.177
8.2000,0.5285,2.2083,4.1785
8.4000,0.505,2.1101,4.1785
8.6000,0.4655,1.9451,4.1785
8.8000,0.5335,2.2287,4.1775
9.0000,0.479,2.001,4.1775
9.2000,0.405,1.6923,4.1785
9.4000,0.5025,2.1007,4.1805
9.6000,0.444,1.8553,4.1785
9.8000,0.442,1.8465,4.1775
10.0000,0.44,1.8381,4.1775
10.2000,0.4625,1.9321,4.1775
10.4000,0.4395,1.836,4.1775
10.6000,0.4215,1.7612,4.1785
10.8000,0.521,2.1765,4.1775
11.0000,0.4665,1.9488,4.1775
11.2000,0.4895,2.0454,4.1785
11.4000,0.4785,1.9994,4.1785
11.6000,0.466,1.9472,4.1785
11.8000,0.4645,1.9409,4.1785
12.0000,0.529,2.211,4.1795
12.2000,0.465,1.9425,4.1775
12.4000,0.44,1.8379,4.177
12.6000,0.4495,1.8782,4.1785
12.8000,0.4765,1.9906,4.1775
13.0000,0.4685,1.9569,4.177
13.2000,0.474,1.9801,4.1775
13.4000,0.553,2.3107,4.1785
13.6000,0.409,1.709,4.1785
13.8000,0.541,2.2606,4.1785
14.0000,0.4775,1.9948,4.1775
14.2000,0.4825,2.0156,4.1775
14.4000,0.543,2.2689,4.1785
14.6000,0.433,1.8093,4.1785
14.8000,0.561,2.3436,4.1775
15.0000,0.451,1.8841,4.1775
15.2000,0.428,1.7884,4.1785
15.4000,0.4685,1.9576,4.1785
15.6000,0.4625,1.9326,4.1785
15.8000,0.44,1.839,4.1795
16.0000,0.4805,2.0073,4.1775
16.2000,0.4815,2.0119,4.1785
16.4000,0.4775,1.9952,4.1785
16.6000,0.562,2.3478,4.1775
16.8000,0.546,2.2815,4.1785
17.0000,0.5105,2.1324,4.177
17.2000,0.401,1.6752,4.1775
17.4000,0.4445,1.8569,4.1775
17.6000,0.521,2.1765,4.1775
17.8000,0.443,1.8506,4.1775
18.0000,0.443,1.8511,4.1785
18.2000,0.4415,1.8444,4.1775
18.4000,0.5885,2.459,4.1785
18.6000,0.4905,2.0491,4.1775
18.8000,0.4565,1.9075,4.1785
19.0000,0.485,2.0258,4.177
19.2000,0.448,1.8715,4.1775
19.4000,0.445,1.859,4.1775
19.6000,0.4175,1.7445,4.1785
19.8000,0.47,1.9639,4.1785
20.0000,0.5375,2.2459,4.1785
20.2000,0.5195,2.1707,4.1785
20.4000,0.453,1.8929,4.1785
20.6000,0.406,1.6965,4.1785
20.8000,0.448,1.872,4.1785
21.0000,0.4315,1.803,4.1785
21.2000,0.5205,2.1749,4.1785
21.4000,0.5215,2.1791,4.1785
21.6000,0.525,2.1937,4.1785
21.8000,0.4565,1.9075,4.1785
22.0000,0.501,2.0939,4.1795
22.2000,0.4585,1.9158,4.1785
22.4000,0.57,2.3817,4.1785
22.6000,0.4885,2.0407,4.1775
22.8000,0.477,1.9924,4.177
23.0000,0.5275,2.2042,4.1785
23.2000,0.3985,1.6645,4.177
23.4000,0.3995,1.6689,4.1775
23.6000,0.446,1.8636,4.1785
23.8000,0.435,1.8172,4.1775
24.0000,0.4625,1.9326,4.1785
