Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.851,3.5546,4.177
0.2000,0.9485,3.9609,4.176
0.4000,1.018,4.2502,4.175
0.6000,0.988,4.1249,4.175
0.8000,1.0045,4.1958,4.177
1.0000,1.0105,4.2214,4.1775
1.2000,1.0975,4.5804,4.1735
1.4000,1.0225,4.27,4.176
1.6000,0.991,4.1384,4.176
1.8000,1.039,4.3363,4.1735
2.0000,0.973,4.0642,4.177
2.2000,1.029,4.2997,4.1785
2.4000,0.9505,3.9669,4.1735
2.6000,1.116,4.6643,4.1795
2.8000,0.815,3.4043,4.177
3.0000,1.1065,4.6219,4.177
3.2000,0.96,4.0099,4.177
3.4000,0.98,4.0915,4.175
3.6000,0.9085,3.7939,4.176
3.8000,1.063,4.4364,4.1735
4.0000,1.0335,4.3185,4.1785
4.2000,1.0815,4.5153,4.175
4.4000,1.021,4.2637,4.176
4.6000,0.8555,3.5717,4.175
4.8000,0.9515,3.9735,4.176
5.0000,0.8965,3.7447,4.177
5.2000,1.025,4.2783,4.174
5.4000,1.0185,4.2548,4.1775
5.6000,0.8495,3.5467,4.175
5.8000,1.0255,4.2851,4.1785
6.0000,0.989,4.1311,4.177
6.2000,0.9175,3.8324,4.177
6.4000,0.9825,4.1019,4.175
6.6000,0.9815,4.0987,4.176
6.8000,1.015,4.2412,4.1785
7.0000,0.808,3.3702,4.171
7.2000,0.677,2.8265,4.175
7.4000,0.916,3.8234,4.174
7.6000,0.914,3.8169,4.176
7.8000,0.9125,3.8129,4.1785
8.0000,0.891,3.7186,4.1735
8.2000,1.031,4.3055,4.176
8.4000,0.769,3.2121,4.177
8.6000,0.9295,3.8807,4.175
8.8000,0.869,3.6272,4.174
9.0000,0.9605,4.0125,4.1775
9.2000,0.9665,4.0371,4.177
9.4000,0.912,3.8094,4.177
9.6000,1.0325,4.3117,4.176
9.8000,0.9985,4.1677,4.174
10.0000,1.042,4.353,4.1775
10.2000,0.9845,4.1137,4.1785
10.4000,1.0265,4.2903,4.1795
10.6000,0.9755,4.0761,4.1785
10.8000,0.926,3.8647,4.1735
11.0000,0.893,3.7292,4.176
11.2000,1.0495,4.3838,4.177
11.4000,0.998,4.1676,4.176
11.6000,1.0905,4.5567,4.1785
11.8000,1.062,4.4328,4.174
12.0000,0.962,4.0188,4.1775
12.2000,0.9915,4.142,4.1775
12.4000,1.078,4.5033,4.1775
12.6000,0.9585,4.0041,4.1775
12.8000,0.9315,3.889,4.175
13.0000,0.979,4.0908,4.1785
