Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.909,3.7951,4.175
0.2000,1.011,4.2199,4.174
0.4000,0.9225,3.8537,4.1775
0.6000,0.625,2.6106,4.177
0.8000,0.8155,3.4039,4.174
1.0000,0.891,3.7208,4.176
1.2000,0.941,3.9277,4.174
1.4000,0.967,4.0406,4.1785
1.6000,0.9655,4.031,4.175
1.8000,0.848,3.5434,4.1785
2.0000,1.0075,4.2098,4.1785
2.2000,0.79,3.3018,4.1795
2.4000,0.7925,3.3095,4.176
2.6000,0.6475,2.7023,4.1735
2.8000,0.836,3.4941,4.1795
3.0000,1.014,4.238,4.1795
3.2000,0.977,4.079,4.175
3.4000,1.039,4.3415,4.1785
3.6000,0.9095,3.8003,4.1785
3.8000,0.846,3.5321,4.175
4.0000,0.815,3.4043,4.177
4.2000,0.8065,3.3679,4.176
4.4000,0.758,3.1654,4.176
4.6000,0.861,3.5977,4.1785
4.8000,0.8835,3.6886,4.175
5.0000,0.8215,3.4326,4.1785
5.2000,0.92,3.841,4.175
5.4000,0.9415,3.9317,4.176
5.6000,0.94,3.9278,4.1785
5.8000,0.882,3.6846,4.1775
6.0000,0.8955,3.741,4.1775
6.2000,0.8,3.3428,4.1785
6.4000,1.0065,4.2057,4.1785
6.6000,0.9725,4.0646,4.1795
6.8000,1.032,4.3096,4.176
7.0000,0.8475,3.5413,4.1785
7.2000,0.8225,3.436,4.1775
7.4000,0.916,3.8252,4.176
7.6000,0.971,4.0549,4.176
7.8000,0.8745,3.6541,4.1785
8.0000,0.9,3.7575,4.175
8.2000,0.933,3.8995,4.1795
8.4000,1.016,4.2443,4.1775
8.6000,0.8195,3.4202,4.1735
8.8000,1.003,4.1875,4.175
9.0000,0.8035,3.3574,4.1785
9.2000,1.0085,4.2105,4.175
9.4000,1.0535,4.3994,4.176
9.6000,0.8625,3.6027,4.177
9.8000,0.846,3.5291,4.1715
10.0000,0.8545,3.5684,4.176
10.2000,0.868,3.6261,4.1775
10.4000,0.7765,3.2465,4.181
10.6000,0.844,3.5288,4.181
10.8000,0.8815,3.6833,4.1785
11.0000,0.765,3.1954,4.177
11.2000,0.792,3.3054,4.1735
11.4000,1.1705,4.8909,4.1785
11.6000,0.714,2.9834,4.1785
11.8000,0.7825,3.2677,4.176
12.0000,0.7625,3.1861,4.1785
12.2000,0.8945,3.7345,4.175
12.4000,1.028,4.2929,4.176
12.6000,0.7595,3.1717,4.176
12.8000,0.772,3.2223,4.174
13.0000,0.9475,3.9601,4.1795
13.2000,0.8545,3.5697,4.1775
13.4000,1.005,4.1979,4.177
13.6000,0.855,3.5718,4.1775
14.0000,0.701,2.9281,4.177
14.2000,0.748,3.1255,4.1785
14.4000,1.0765,4.4944,4.175
14.6000,1.012,4.2307,4.1805
14.8000,0.756,3.1555,4.174
15.0000,0.8265,3.4527,4.1775
15.2000,0.8215,3.4326,4.1785
15.4000,0.705,2.9448,4.177
15.6000,0.856,3.5725,4.1735
15.8000,0.7475,3.1216,4.176
16.0000,0.637,2.6585,4.1735
16.2000,0.8295,3.464,4.176
16.4000,0.928,3.8763,4.177
16.6000,0.788,3.2899,4.175
16.8000,0.906,3.7835,4.176
17.0000,0.857,3.5797,4.177
17.2000,0.7815,3.2628,4.175
17.4000,0.7385,3.0847,4.177
17.6000,0.974,4.0684,4.177
17.8000,0.9205,3.8422,4.174
18.0000,0.9715,4.0594,4.1785
18.2000,0.8385,3.4999,4.174
18.4000,0.968,4.0433,4.177
18.6000,0.765,3.1966,4.1785
18.8000,0.8905,3.7169,4.174
19.0000,0.963,4.0215,4.176
19.2000,0.8225,3.4327,4.1735
19.4000,0.9875,4.1248,4.177
19.6000,0.725,3.0287,4.1775
19.8000,0.804,3.3567,4.175
20.0000,0.813,3.3959,4.177
20.2000,0.922,3.8494,4.175
20.4000,0.823,3.4377,4.177
20.6000,0.7755,3.2377,4.175
20.8000,0.763,3.1855,4.175
21.0000,0.7535,3.1485,4.1785
21.2000,0.9655,4.03,4.174
21.4000,0.823,3.4368,4.176
21.6000,0.739,3.0872,4.1775
21.8000,0.785,3.2793,4.1775
22.0000,0.759,3.1677,4.1735
22.2000,0.614,2.5656,4.1785
22.4000,0.8145,3.4042,4.1795
22.6000,1.014,4.236,4.1775
22.8000,0.902,3.7668,4.176
23.0000,0.912,3.8085,4.176
23.2000,0.7245,3.0273,4.1785
23.4000,0.967,4.0348,4.1725
23.6000,0.9615,4.0176,4.1785
23.8000,0.9135,3.8171,4.1785
24.0000,0.8105,3.3867,4.1785
24.2000,0.7565,3.161,4.1785
