Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.9115,3.8055,4.175
0.2000,0.894,3.7347,4.1775
0.4000,0.985,4.1124,4.175
0.6000,0.959,4.0024,4.1735
0.8000,0.9165,3.8282,4.177
1.0000,0.78,3.2584,4.1775
1.2000,0.846,3.5342,4.1775
1.4000,0.901,3.7635,4.177
1.6000,0.896,3.7417,4.176
1.8000,0.896,3.7439,4.1785
2.0000,0.95,3.9682,4.177
2.2000,0.864,3.612,4.1805
2.4000,0.9,3.7584,4.176
2.6000,1.008,4.2129,4.1795
2.8000,0.949,3.9654,4.1785
3.0000,0.789,3.2913,4.1715
3.2000,0.902,3.7668,4.176
3.4000,0.8785,3.6677,4.175
3.6000,0.901,3.7617,4.175
3.8000,0.9475,3.9591,4.1785
4.0000,0.886,3.6982,4.174
4.2000,0.8875,3.7071,4.177
4.4000,0.896,3.7408,4.175
4.6000,0.727,3.0367,4.177
4.8000,0.968,4.0404,4.174
5.0000,0.8955,3.7436,4.1805
5.2000,0.8525,3.563,4.1795
5.4000,0.897,3.7468,4.177
5.6000,0.939,3.9189,4.1735
5.8000,0.8785,3.6686,4.176
6.0000,0.9015,3.766,4.1775
6.2000,0.853,3.56,4.1735
6.4000,0.816,3.4097,4.1785
6.6000,0.984,4.1126,4.1795
6.8000,0.7925,3.3115,4.1785
7.0000,0.791,3.3012,4.1735
7.2000,0.7665,3.2017,4.177
7.4000,0.8265,3.4523,4.177
7.6000,0.986,4.119,4.1775
7.8000,0.734,3.0633,4.1735
8.0000,0.7925,3.3095,4.176
8.2000,0.9595,4.0083,4.1775
8.4000,0.715,2.9851,4.175
8.6000,0.922,3.8494,4.175
8.8000,0.889,3.7156,4.1795
9.0000,0.7645,3.1918,4.175
9.2000,0.7975,3.3296,4.175
9.4000,0.8005,3.3437,4.177
9.6000,0.9125,3.8138,4.1795
9.8000,0.8295,3.464,4.176
10.0000,0.827,3.4536,4.176
10.2000,0.872,3.6406,4.175
10.4000,0.8615,3.5985,4.177
10.6000,0.963,4.0225,4.177
10.8000,0.83,3.4669,4.177
11.0000,0.9705,4.0543,4.1775
11.2000,1.003,4.192,4.1795
11.4000,0.896,3.743,4.1775
11.6000,0.931,3.8869,4.175
11.8000,0.788,3.2915,4.177
12.0000,0.8035,3.359,4.1805
12.2000,0.854,3.5663,4.176
12.4000,0.843,3.5174,4.1725
12.6000,0.8245,3.4439,4.177
12.8000,0.807,3.3692,4.175
13.0000,0.7885,3.292,4.175
13.2000,0.789,3.2957,4.177
13.4000,0.7845,3.2788,4.1795
13.6000,0.8805,3.6783,4.1775
14.0000,0.82,3.4251,4.177
14.2000,0.7675,3.2062,4.1775
14.4000,0.915,3.8201,4.175
14.6000,0.749,3.1278,4.176
14.8000,0.918,3.8359,4.1785
15.0000,0.992,4.1416,4.175
15.2000,0.9155,3.8208,4.1735
15.4000,0.866,3.6173,4.177
15.6000,0.965,4.0298,4.176
15.8000,0.8785,3.6699,4.1775
16.0000,0.9115,3.8046,4.174
16.2000,0.883,3.6883,4.177
16.4000,1.002,4.1869,4.1785
16.6000,0.88,3.674,4.175
16.8000,0.8855,3.6992,4.1775
17.0000,0.9425,3.9368,4.177
17.2000,0.9325,3.8923,4.174
17.4000,0.837,3.4953,4.176
17.6000,0.884,3.6907,4.175
17.8000,0.962,4.0207,4.1795
18.0000,0.801,3.345,4.176
18.2000,0.782,3.2637,4.1735
18.4000,0.7975,3.3324,4.1785
18.6000,0.9405,3.9289,4.1775
18.8000,0.901,3.7648,4.1785
19.0000,0.9335,3.8997,4.1775
19.2000,0.9045,3.7772,4.176
19.4000,0.899,3.7533,4.175
19.6000,0.998,4.1686,4.177
19.8000,0.889,3.7102,4.1735
20.0000,0.8055,3.3666,4.1795
20.2000,1,4.177,4.177
20.4000,0.898,3.7509,4.177
20.6000,0.9905,4.1353,4.175
20.8000,0.9215,3.8496,4.1775
21.0000,0.913,3.8118,4.175
21.2000,0.9595,4.005,4.174
21.4000,0.9385,3.9215,4.1785
21.6000,1.006,4.2026,4.1775
21.8000,0.802,3.3492,4.176
22.0000,0.8905,3.7178,4.175
22.2000,0.9145,3.818,4.175
22.4000,0.8785,3.6669,4.174
22.6000,0.8775,3.6636,4.175
22.8000,0.747,3.1176,4.1735
23.0000,0.832,3.4744,4.176
23.2000,0.7795,3.2536,4.174
23.4000,0.806,3.3659,4.176
23.6000,0.945,3.9473,4.177
23.8000,0.7195,3.0054,4.177
24.0000,0.9225,3.8547,4.1785
24.2000,0.821,3.4293,4.177
24.4000,0.875,3.654,4.176
24.6000,0.6915,2.8884,4.177
24.8000,0.7765,3.2419,4.175
25.0000,0.8785,3.6695,4.177
25.2000,0.808,3.3734,4.175
25.4000,0.83,3.4661,4.176
25.6000,0.8905,3.7187,4.176
25.8000,0.884,3.6925,4.177
26.0000,0.7855,3.2802,4.176
26.2000,0.968,4.0433,4.177
26.4000,0.77,3.2182,4.1795
26.6000,0.9025,3.7679,4.175
26.8000,0.8475,3.54,4.177
27.0000,0.697,2.91,4.175
27.2000,0.9815,4.0987,4.176
27.4000,0.9065,3.7846,4.175
27.6000,0.9175,3.8296,4.174
27.8000,0.9795,4.0879,4.1735
28.0000,0.955,3.9871,4.175
28.2000,0.891,3.7239,4.1795
28.4000,0.8205,3.4276,4.1775
28.6000,0.9865,4.1206,4.177
28.8000,0.8335,3.4836,4.1795
29.0000,0.905,3.7793,4.176
29.2000,0.671,2.8021,4.176
29.4000,0.867,3.6206,4.176
29.6000,1.0105,4.2234,4.1795
29.8000,0.8865,3.6998,4.1735
30.0000,0.863,3.6069,4.1795
30.2000,0.8415,3.5133,4.175
30.4000,0.919,3.8354,4.1735
30.6000,0.948,3.9598,4.177
