Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.7725,3.224,4.1735
0.2000,0.6045,2.5229,4.1735
0.4000,0.831,3.4682,4.1735
0.6000,0.8045,3.3608,4.1775
0.8000,0.6705,2.8017,4.1785
1.0000,0.7275,3.038,4.176
1.2000,0.799,3.3346,4.1735
1.4000,0.7675,3.2058,4.177
1.6000,0.807,3.3708,4.177
1.8000,0.8035,3.3562,4.177
2.0000,0.85,3.5496,4.176
2.2000,0.691,2.8867,4.1775
2.4000,0.7085,2.9594,4.177
2.6000,0.567,2.3664,4.1735
2.8000,0.6595,2.7518,4.1725
3.0000,0.764,3.1886,4.1735
3.2000,0.6265,2.6178,4.1785
3.4000,0.668,2.7906,4.1775
3.6000,0.805,3.3589,4.1725
3.8000,0.707,2.9524,4.176
4.0000,0.6785,2.8334,4.176
4.2000,0.7515,3.1394,4.1775
4.4000,0.6495,2.7117,4.175
4.6000,0.72,3.0074,4.177
4.8000,0.66,2.7571,4.1775
5.0000,0.7525,3.1432,4.177
5.2000,0.6975,2.9121,4.175
5.4000,0.725,3.0269,4.175
5.6000,0.7805,3.2574,4.1735
5.8000,0.748,3.1203,4.1715
6.0000,0.688,2.8717,4.174
6.2000,0.806,3.3642,4.174
6.4000,0.7765,3.2407,4.1735
6.6000,0.756,3.1563,4.175
6.8000,0.743,3.1013,4.174
7.0000,0.757,3.1593,4.1735
7.2000,0.766,3.1981,4.175
7.4000,0.7995,3.3359,4.1725
7.6000,0.739,3.0842,4.1735
7.8000,0.772,3.2231,4.175
8.0000,0.777,3.2428,4.1735
8.2000,0.82,3.4223,4.1735
8.4000,0.7885,3.2928,4.176
8.6000,0.709,2.9615,4.177
8.8000,0.7545,3.1493,4.174
9.0000,0.657,2.7423,4.174
9.2000,0.672,2.8073,4.1775
9.4000,0.7455,3.1125,4.175
9.6000,0.772,3.2223,4.174
9.8000,0.7795,3.256,4.177
10.0000,0.6665,2.7816,4.1735
10.2000,0.717,2.9924,4.1735
10.4000,0.639,2.6669,4.1735
10.6000,0.8175,3.411,4.1725
10.8000,0.814,3.4005,4.1775
11.0000,0.7675,3.2051,4.176
11.2000,0.8165,3.4105,4.177
11.4000,0.772,3.2246,4.177
11.6000,0.7915,3.3061,4.177
11.8000,0.64,2.6704,4.1725
12.0000,0.8035,3.3554,4.176
12.2000,0.806,3.3679,4.1785
12.4000,0.6235,2.6025,4.174
12.6000,0.826,3.4514,4.1785
12.8000,0.757,3.1631,4.1785
13.0000,0.692,2.8908,4.1775
13.2000,0.835,3.4878,4.177
13.4000,0.802,3.3504,4.1775
13.6000,0.6885,2.8735,4.1735
14.0000,0.807,3.3672,4.1725
14.2000,0.649,2.7109,4.177
14.4000,0.8135,3.398,4.177
14.6000,0.857,3.5771,4.174
14.8000,0.777,3.242,4.1725
15.0000,0.657,2.743,4.175
15.2000,0.681,2.8449,4.1775
15.4000,0.762,3.1802,4.1735
15.6000,0.645,2.6929,4.175
15.8000,0.6305,2.633,4.176
16.0000,0.6745,2.816,4.175
16.2000,0.667,2.7854,4.176
16.4000,0.655,2.734,4.174
16.6000,0.722,3.0151,4.176
16.8000,0.766,3.1961,4.1725
17.0000,0.807,3.368,4.1735
17.2000,0.683,2.8539,4.1785
17.4000,0.7265,3.0339,4.176
17.6000,0.6415,2.6811,4.1795
17.8000,0.789,3.296,4.1775
18.0000,0.8335,3.4778,4.1725
18.2000,0.6235,2.6031,4.175
18.4000,0.8035,3.3534,4.1735
18.6000,0.838,3.4995,4.176
18.8000,0.709,2.9615,4.177
19.0000,0.8075,3.3701,4.1735
19.2000,0.804,3.3575,4.176
19.4000,0.633,2.6434,4.176
19.6000,0.7645,3.1926,4.176
19.8000,0.7945,3.3198,4.1785
20.0000,0.828,3.4557,4.1735
20.2000,0.6935,2.8961,4.176
20.4000,0.914,3.8178,4.177
