Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,1.3975,5.8346,4.175
0.2000,1.346,5.6222,4.177
0.4000,1.415,5.9105,4.177
0.6000,1.37,5.7225,4.177
0.8000,1.4585,6.0929,4.1775
1.0000,1.3795,5.7608,4.176
1.2000,1.3415,5.6034,4.177
1.4000,1.1995,5.0109,4.1775
1.6000,1.1945,4.987,4.175
1.8000,1.207,5.0392,4.175
2.0000,1.4095,5.8847,4.175
2.2000,1.3345,5.5742,4.177
2.4000,1.4435,6.0281,4.176
2.6000,1.503,6.2788,4.1775
2.8000,1.423,5.941,4.175
3.0000,1.383,5.7775,4.1775
3.2000,1.335,5.575,4.176
3.4000,1.293,5.3983,4.175
3.6000,1.2715,5.3085,4.175
3.8000,1.3705,5.7198,4.1735
4.0000,1.46,6.0984,4.177
4.2000,1.3465,5.623,4.176
4.4000,1.4455,6.0379,4.177
4.6000,1.405,5.8659,4.175
4.8000,1.326,5.5387,4.177
5.0000,1.279,5.3411,4.176
5.2000,1.28,5.3453,4.176
5.4000,1.2625,5.2722,4.176
5.6000,1.2605,5.2626,4.175
5.8000,1.2125,5.0646,4.177
6.0000,1.1755,4.9077,4.175
6.2000,1.188,4.9641,4.1785
6.4000,1.1825,4.9381,4.176
6.6000,1.215,5.0738,4.176
