Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.3875,1.6188,4.1775
0.2000,0.373,1.5582,4.1775
0.4000,0.397,1.6585,4.1775
0.6000,0.4635,1.9356,4.176
0.8000,0.4045,1.6902,4.1785
1.0000,0.398,1.663,4.1785
1.2000,0.3885,1.6228,4.177
1.4000,0.3945,1.6478,4.177
1.6000,0.4155,1.7355,4.177
1.8000,0.3945,1.6478,4.177
2.0000,0.4445,1.8567,4.177
2.2000,0.3925,1.6395,4.177
2.4000,0.402,1.6792,4.177
2.6000,0.414,1.7295,4.1775
2.8000,0.416,1.7376,4.177
3.0000,0.3905,1.6311,4.177
3.2000,0.3935,1.6436,4.177
3.4000,0.3925,1.6395,4.177
3.6000,0.3885,1.6228,4.177
3.8000,0.394,1.6457,4.177
4.0000,0.423,1.7669,4.177
4.2000,0.403,1.6833,4.177
4.4000,0.418,1.746,4.177
4.6000,0.394,1.6457,4.177
4.8000,0.379,1.5831,4.177
5.0000,0.391,1.6332,4.177
5.2000,0.391,1.6332,4.177
5.4000,0.371,1.5497,4.177
5.6000,0.3895,1.6271,4.1775
5.8000,0.381,1.5914,4.177
6.0000,0.3795,1.5854,4.1775
6.2000,0.404,1.6875,4.177
6.4000,0.407,1.6996,4.176
6.6000,0.4005,1.6731,4.1775
6.8000,0.398,1.6624,4.177
7.0000,0.3955,1.652,4.177
7.2000,0.396,1.6541,4.177
7.4000,0.4155,1.7355,4.177
7.6000,0.4035,1.6856,4.1775
7.8000,0.394,1.6457,4.177
8.0000,0.403,1.6833,4.177
8.2000,0.399,1.6668,4.1775
8.4000,0.4155,1.7351,4.176
8.6000,0.3885,1.6228,4.177
8.8000,0.394,1.6453,4.176
9.0000,0.4065,1.6975,4.176
9.2000,0.3945,1.648,4.1775
9.4000,0.3905,1.6311,4.177
9.6000,0.3925,1.6397,4.1775
9.8000,0.395,1.6499,4.177
10.0000,0.3915,1.6355,4.1775
10.2000,0.386,1.6125,4.1775
10.4000,0.3925,1.6395,4.177
10.6000,0.405,1.6917,4.177
10.8000,0.4035,1.6854,4.177
11.0000,0.395,1.6501,4.1775
11.2000,0.391,1.6332,4.177
11.4000,0.3925,1.6395,4.177
11.6000,0.4095,1.7105,4.177
11.8000,0.4165,1.7397,4.177
12.0000,0.404,1.6877,4.1775
12.2000,0.41,1.7126,4.177
12.4000,0.3895,1.6271,4.1775
12.6000,0.395,1.6499,4.177
12.8000,0.384,1.6042,4.1775
13.0000,0.406,1.6959,4.177
13.2000,0.4445,1.8569,4.1775
13.4000,0.4255,1.7773,4.177
13.6000,0.3895,1.6269,4.177
14.0000,0.418,1.746,4.177
14.2000,0.3985,1.6645,4.177
14.4000,0.385,1.6083,4.1775
14.6000,0.3685,1.5394,4.1775
14.8000,0.3685,1.5394,4.1775
15.0000,0.367,1.533,4.177
15.2000,0.3675,1.535,4.177
15.4000,0.3665,1.5309,4.177
15.6000,0.367,1.5326,4.176
15.8000,0.4705,1.9653,4.177
16.0000,0.41,1.7126,4.177
16.2000,0.3765,1.5728,4.1775
16.4000,0.3765,1.5728,4.1775
16.6000,0.4,1.6704,4.176
16.8000,0.4715,1.9695,4.177
17.0000,0.4035,1.6854,4.177
17.2000,0.4095,1.7105,4.177
17.4000,0.4105,1.7147,4.177
17.6000,0.376,1.5707,4.1775
17.8000,0.382,1.5956,4.177
18.0000,0.386,1.6125,4.1775
18.2000,0.372,1.554,4.1775
18.4000,0.3755,1.5687,4.1775
18.6000,0.37,1.5457,4.1775
18.8000,0.367,1.533,4.177
19.0000,0.3625,1.5143,4.1775
19.2000,0.397,1.6583,4.177
19.4000,0.3715,1.5519,4.1775
19.6000,0.39,1.6296,4.1785
19.8000,0.4095,1.7107,4.1775
20.0000,0.3775,1.577,4.1775
20.2000,0.4025,1.6812,4.177
20.4000,0.3985,1.6645,4.177
20.6000,0.3895,1.6269,4.177
20.8000,0.37,1.5455,4.177
21.0000,0.3765,1.5723,4.176
21.2000,0.3875,1.6188,4.1775
21.4000,0.375,1.5664,4.177
21.6000,0.375,1.5664,4.177
21.8000,0.375,1.5664,4.177
22.0000,0.369,1.5413,4.177
22.2000,0.369,1.5413,4.177
22.4000,0.4115,1.7188,4.177
22.6000,0.3885,1.6228,4.177
22.8000,0.3755,1.5685,4.177
23.0000,0.3755,1.5685,4.177
23.2000,0.453,1.8917,4.176
23.4000,0.375,1.5664,4.177
23.6000,0.401,1.6756,4.1785
23.8000,0.376,1.5706,4.177
24.0000,0.375,1.5664,4.177
24.2000,0.3875,1.6186,4.177
24.4000,0.3665,1.5309,4.177
24.6000,0.366,1.5288,4.177
24.8000,0.4,1.6708,4.177
25.0000,0.396,1.6541,4.177
25.2000,0.376,1.5706,4.177
25.4000,0.3965,1.6562,4.177
25.6000,0.393,1.6416,4.177
25.8000,0.382,1.5958,4.1775
26.0000,0.371,1.5497,4.177
26.2000,0.377,1.5747,4.177
26.4000,0.376,1.5707,4.1775
26.6000,0.3745,1.5645,4.1775
26.8000,0.4235,1.7696,4.1785
27.0000,0.3905,1.6311,4.177
27.2000,0.425,1.7752,4.177
27.4000,0.421,1.7585,4.177
27.6000,0.367,1.533,4.177
27.8000,0.3755,1.5685,4.177
28.0000,0.375,1.5664,4.177
28.2000,0.376,1.5706,4.177
28.4000,0.368,1.5371,4.177
28.6000,0.3755,1.5685,4.177
28.8000,0.376,1.5707,4.1775
29.0000,0.414,1.7295,4.1775
29.2000,0.429,1.7926,4.1785
29.4000,0.3755,1.5685,4.177
29.6000,0.4025,1.6812,4.177
29.8000,0.369,1.5413,4.177
30.0000,0.3775,1.577,4.1775
30.2000,0.413,1.7251,4.177
30.4000,0.4175,1.7439,4.177
30.6000,0.3755,1.5685,4.177
30.8000,0.375,1.5664,4.177
31.0000,0.389,1.625,4.1775
31.2000,0.3805,1.5893,4.177
31.4000,0.364,1.5204,4.177
31.6000,0.4225,1.7648,4.177
31.8000,0.4145,1.7316,4.1775
32.0000,0.3975,1.66,4.176
32.2000,0.384,1.604,4.177
32.4000,0.422,1.7627,4.177
32.6000,0.375,1.5664,4.177
32.8000,0.384,1.604,4.177
33.0000,0.371,1.5497,4.177
33.2000,0.379,1.5831,4.177
33.4000,0.376,1.5707,4.1775
33.6000,0.368,1.5371,4.177
33.8000,0.426,1.7796,4.1775
34.0000,0.3805,1.5893,4.177
34.2000,0.4175,1.7439,4.177
34.4000,0.376,1.5707,4.1775
34.6000,0.376,1.5706,4.177
34.8000,0.3695,1.5434,4.177
35.0000,0.375,1.5666,4.1775
35.2000,0.3765,1.5732,4.1785
35.4000,0.3755,1.5685,4.177
35.6000,0.3755,1.5685,4.177
35.8000,0.3925,1.6395,4.177
36.0000,0.4535,1.8943,4.177
36.2000,0.3685,1.5394,4.1775
36.4000,0.3715,1.5518,4.177
36.6000,0.5845,2.4409,4.176
36.8000,0.424,1.771,4.177
37.0000,0.4265,1.7811,4.176
37.2000,0.4255,1.7773,4.177
37.4000,0.433,1.8086,4.177
37.6000,0.389,1.6249,4.177
37.8000,0.4095,1.7107,4.1775
38.0000,0.3885,1.6228,4.177
38.2000,0.42,1.755,4.1785
38.4000,0.3865,1.6144,4.177
38.6000,0.4025,1.6812,4.177
38.8000,0.3805,1.5895,4.1775
39.0000,0.403,1.6833,4.177
39.2000,0.3735,1.5603,4.1775
39.4000,0.377,1.5749,4.1775
39.6000,0.3885,1.6233,4.1785
39.8000,0.3835,1.6019,4.177
40.0000,0.3855,1.6102,4.177
40.2000,0.379,1.5831,4.177
40.4000,0.373,1.5582,4.1775
40.6000,0.379,1.5831,4.177
40.8000,0.405,1.6919,4.1775
41.0000,0.375,1.5666,4.1775
41.2000,0.3735,1.5601,4.177
41.4000,0.385,1.6083,4.1775
41.6000,0.442,1.8462,4.177
41.8000,0.422,1.7629,4.1775
42.0000,0.3785,1.581,4.177
42.2000,0.371,1.5497,4.177
42.4000,0.4525,1.8908,4.1785
42.6000,0.371,1.5499,4.1775
42.8000,0.411,1.7167,4.177
43.0000,0.371,1.5497,4.177
43.2000,0.4175,1.7441,4.1775
43.4000,0.3795,1.5854,4.1775
43.6000,0.395,1.6501,4.1775
43.8000,0.388,1.6207,4.177
44.0000,0.3825,1.5979,4.1775
44.2000,0.385,1.6081,4.177
44.4000,0.3785,1.581,4.177
44.6000,0.3835,1.6019,4.177
44.8000,0.3865,1.614,4.176
45.0000,0.3875,1.6188,4.1775
45.2000,0.3795,1.5854,4.1775
45.4000,0.391,1.6334,4.1775
45.6000,0.3735,1.5603,4.1775
45.8000,0.372,1.554,4.1775
46.0000,0.3755,1.5685,4.177
46.2000,0.374,1.5622,4.177
46.4000,0.379,1.5833,4.1775
46.6000,0.4095,1.7105,4.177
46.8000,0.413,1.7251,4.177
47.0000,0.38,1.5873,4.177
47.2000,0.3915,1.6353,4.177
47.4000,0.407,1.6996,4.176
47.6000,0.371,1.5497,4.177
47.8000,0.37,1.5457,4.1775
48.0000,0.3795,1.5854,4.1775
48.2000,0.4015,1.6771,4.177
48.4000,0.4005,1.6731,4.1775
48.6000,0.405,1.6917,4.177
48.8000,0.406,1.6961,4.1775
49.0000,0.384,1.604,4.177
49.2000,0.409,1.7084,4.177
49.4000,0.385,1.6078,4.176
49.6000,0.3795,1.5852,4.177
49.8000,0.383,1.5998,4.177
50.0000,0.3525,1.472,4.176
50.2000,0.365,1.5248,4.1775
50.4000,0.3815,1.5937,4.1775
50.6000,0.38,1.5873,4.177
50.8000,0.398,1.6624,4.177
51.0000,0.3915,1.6353,4.177
51.2000,0.3815,1.5935,4.177
51.4000,0.393,1.6416,4.177
51.6000,0.394,1.6457,4.177
51.8000,0.3925,1.6397,4.1775
52.0000,0.3925,1.6397,4.1775
52.2000,0.4195,1.7525,4.1775
52.4000,0.401,1.675,4.177
52.6000,0.412,1.7209,4.177
52.8000,0.4005,1.6729,4.177
53.0000,0.39,1.629,4.177
53.2000,0.401,1.675,4.177
53.4000,0.3925,1.6395,4.177
53.6000,0.394,1.6457,4.177
53.8000,0.3935,1.6433,4.176
54.0000,0.3865,1.6144,4.177
54.2000,0.3915,1.6353,4.177
54.4000,0.4335,1.8109,4.1775
54.6000,0.3835,1.6019,4.177
54.8000,0.3845,1.6061,4.177
55.0000,0.387,1.6165,4.177
55.2000,0.411,1.7167,4.177
55.4000,0.394,1.6457,4.177
55.6000,0.4005,1.6729,4.177
55.8000,0.4195,1.7523,4.177
56.0000,0.396,1.6541,4.177
56.2000,0.4525,1.8892,4.175
56.4000,0.393,1.6416,4.177
56.6000,0.388,1.6207,4.177
56.8000,0.429,1.7919,4.177
57.0000,0.437,1.8249,4.176
57.2000,0.388,1.6207,4.177
57.4000,0.4075,1.7021,4.177
57.6000,0.3735,1.5601,4.177
57.8000,0.391,1.6332,4.177
58.0000,0.3795,1.5854,4.1775
58.2000,0.3785,1.5812,4.1775
58.4000,0.3795,1.5854,4.1775
58.6000,0.3745,1.5643,4.177
58.8000,0.379,1.5831,4.177
59.0000,0.426,1.7794,4.177
59.2000,0.391,1.6332,4.177
59.4000,0.418,1.7466,4.1785
59.6000,0.4,1.6708,4.177
59.8000,0.3835,1.6019,4.177
