Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.817,3.411,4.175
0.2000,0.6965,2.9096,4.1775
0.4000,0.8025,3.3512,4.176
0.6000,0.7725,3.2244,4.174
0.8000,0.745,3.1119,4.177
1.0000,0.8275,3.4556,4.176
1.2000,0.784,3.274,4.176
1.4000,0.714,2.9824,4.177
1.6000,0.806,3.3642,4.174
1.8000,0.7645,3.1918,4.175
2.0000,0.7765,3.2392,4.1715
2.2000,0.8005,3.3449,4.1785
2.4000,0.7585,3.1683,4.177
2.6000,0.841,3.515,4.1795
2.8000,0.8245,3.4423,4.175
3.0000,0.858,3.5852,4.1785
3.2000,0.7985,3.3329,4.174
3.4000,0.7955,3.324,4.1785
3.6000,0.82,3.4227,4.174
3.8000,0.814,3.3985,4.175
4.0000,0.8525,3.5613,4.1775
4.2000,0.8255,3.4456,4.174
4.4000,0.8125,3.393,4.176
4.6000,0.8155,3.4068,4.1775
4.8000,0.84,3.507,4.175
5.0000,0.8875,3.7053,4.175
5.2000,0.8305,3.4702,4.1785
5.4000,0.6585,2.7506,4.177
5.6000,0.8195,3.4231,4.177
5.8000,0.827,3.4544,4.177
6.0000,0.769,3.2121,4.177
6.2000,0.7925,3.3087,4.175
6.4000,0.7865,3.2829,4.174
6.6000,0.791,3.3012,4.1735
6.8000,0.8145,3.4026,4.1775
7.0000,0.668,2.7902,4.177
7.2000,0.8035,3.3554,4.176
7.4000,0.8535,3.5642,4.176
7.6000,0.8705,3.6374,4.1785
7.8000,0.8395,3.5087,4.1795
8.0000,0.8205,3.4293,4.1795
8.2000,0.8185,3.4172,4.175
8.4000,0.6705,2.8007,4.177
8.6000,0.816,3.4068,4.175
8.8000,0.7375,3.0805,4.177
9.0000,0.7685,3.2085,4.175
9.2000,0.877,3.6632,4.177
9.4000,0.792,3.3066,4.175
9.6000,0.772,3.2231,4.175
9.8000,0.7925,3.3087,4.175
10.0000,0.7495,3.1299,4.176
10.2000,0.8045,3.3596,4.176
10.4000,0.878,3.6696,4.1795
10.6000,0.831,3.4694,4.175
10.8000,0.881,3.6782,4.175
11.0000,0.7935,3.3137,4.176
11.2000,0.819,3.4201,4.176
11.4000,0.91,3.8002,4.176
11.6000,0.8155,3.4047,4.175
11.8000,0.8185,3.4189,4.177
12.0000,0.8305,3.4702,4.1785
12.2000,0.791,3.3004,4.1725
12.4000,0.754,3.1487,4.176
12.6000,0.857,3.5771,4.174
12.8000,0.8215,3.4314,4.177
13.0000,0.8365,3.4924,4.175
13.2000,0.825,3.4464,4.1775
13.4000,0.6255,2.6127,4.177
13.6000,0.8245,3.4411,4.1735
14.0000,0.6485,2.7068,4.174
14.2000,0.7555,3.155,4.176
14.4000,0.8475,3.5421,4.1795
14.6000,0.8875,3.7071,4.177
14.8000,0.7645,3.1918,4.175
15.0000,0.8215,3.4289,4.174
15.2000,0.607,2.5348,4.176
15.4000,0.788,3.2915,4.177
15.6000,0.817,3.4138,4.1785
15.8000,0.846,3.5308,4.1735
16.0000,0.7905,3.3031,4.1785
16.2000,0.74,3.0902,4.176
16.4000,0.826,3.4486,4.175
16.6000,0.56,2.3391,4.177
16.8000,0.8105,3.3846,4.176
17.0000,0.77,3.2174,4.1785
17.2000,0.841,3.5112,4.175
17.4000,0.7765,3.2454,4.1795
17.6000,0.7545,3.1519,4.1775
17.8000,0.808,3.3762,4.1785
18.0000,0.8265,3.4506,4.175
18.2000,0.8445,3.5279,4.1775
18.4000,0.7395,3.0889,4.177
18.6000,0.795,3.3211,4.1775
18.8000,0.7835,3.2727,4.177
19.0000,0.7355,3.0714,4.176
19.2000,0.901,3.7648,4.1785
19.4000,0.9085,3.7971,4.1795
19.6000,0.7765,3.2407,4.1735
19.8000,0.832,3.4753,4.177
20.0000,0.7315,3.0558,4.1775
20.2000,0.8415,3.5154,4.1775
20.4000,0.8335,3.4799,4.175
20.6000,0.723,3.0185,4.175
20.8000,0.7305,3.0506,4.176
21.0000,0.8565,3.5789,4.1785
21.2000,0.809,3.3784,4.176
21.4000,0.787,3.2838,4.1725
21.6000,0.6545,2.7338,4.177
21.8000,0.755,3.1529,4.176
22.0000,0.8335,3.479,4.174
22.2000,0.8145,3.4014,4.176
22.4000,0.862,3.6027,4.1795
22.6000,0.813,3.3935,4.174
22.8000,0.7475,3.1223,4.177
23.0000,0.737,3.0784,4.177
23.2000,0.689,2.8773,4.176
23.4000,0.7255,3.0315,4.1785
23.6000,0.7685,3.2073,4.1735
23.8000,0.856,3.5768,4.1785
24.0000,0.829,3.4648,4.1795
24.2000,0.818,3.418,4.1785
24.4000,0.824,3.4451,4.181
24.6000,0.7945,3.317,4.175
24.8000,0.8015,3.3479,4.177
25.0000,0.8125,3.395,4.1785
25.2000,0.827,3.4564,4.1795
25.4000,0.898,3.7541,4.1805
25.6000,0.6265,2.6163,4.176
25.8000,0.751,3.1362,4.176
26.0000,0.88,3.6762,4.1775
26.2000,0.8325,3.4794,4.1795
26.4000,0.6355,2.6554,4.1785
26.6000,0.8195,3.4222,4.176
26.8000,0.709,2.959,4.1735
27.0000,0.709,2.9633,4.1795
27.2000,0.838,3.4995,4.176
27.4000,0.8785,3.6717,4.1795
27.6000,0.758,3.1665,4.1775
27.8000,0.847,3.5362,4.175
28.0000,0.897,3.7481,4.1785
28.2000,0.8015,3.3499,4.1795
28.4000,0.805,3.3625,4.177
28.6000,0.854,3.5655,4.175
28.8000,0.764,3.1924,4.1785
29.0000,0.8755,3.6583,4.1785
29.2000,0.8465,3.5341,4.175
29.4000,0.8205,3.4264,4.176
29.6000,0.8085,3.3783,4.1785
29.8000,0.847,3.5354,4.174
30.0000,0.9015,3.7669,4.1785
30.2000,0.884,3.6938,4.1785
30.4000,0.7895,3.2977,4.177
30.6000,0.8045,3.3604,4.177
30.8000,0.7405,3.0942,4.1785
31.0000,0.844,3.5267,4.1785
31.2000,0.838,3.5016,4.1785
31.4000,0.8505,3.5538,4.1785
31.6000,0.8515,3.5559,4.176
31.8000,0.776,3.2398,4.175
32.0000,0.818,3.4168,4.177
32.2000,0.7535,3.1474,4.177
32.4000,0.835,3.4853,4.174
32.6000,0.8345,3.487,4.1785
32.8000,0.8385,3.5016,4.176
33.0000,0.8155,3.4068,4.1775
33.2000,0.7615,3.18,4.176
33.4000,0.7155,2.9886,4.177
33.6000,0.782,3.2664,4.177
33.8000,0.852,3.558,4.176
34.0000,0.833,3.4799,4.1775
34.2000,0.8205,3.4264,4.176
34.4000,0.7605,3.1751,4.175
34.6000,0.7465,3.1166,4.175
34.8000,0.765,3.1973,4.1795
35.0000,0.8095,3.3845,4.181
35.2000,0.806,3.3679,4.1785
35.4000,0.821,3.4334,4.182
35.6000,0.753,3.1479,4.1805
35.8000,0.79,3.3018,4.1795
36.0000,0.8175,3.4122,4.174
36.2000,0.8765,3.6633,4.1795
36.4000,0.7605,3.1777,4.1785
36.6000,0.6485,2.7088,4.177
36.8000,0.7525,3.1443,4.1785
37.0000,0.8375,3.4995,4.1785
