Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.878,3.6643,4.1735
0.2000,0.7415,3.0958,4.175
0.4000,0.785,3.2782,4.176
0.6000,0.8145,3.4022,4.177
0.8000,0.7205,3.0088,4.176
1.0000,0.8935,3.7313,4.176
1.2000,0.7685,3.2093,4.176
1.4000,0.759,3.1722,4.1795
1.6000,0.8055,3.363,4.175
1.8000,0.796,3.3241,4.176
2.0000,0.793,3.3143,4.1795
2.2000,0.9125,3.8129,4.1785
2.4000,0.779,3.2523,4.175
2.6000,0.745,3.113,4.1785
2.8000,0.7985,3.3337,4.175
3.0000,0.8735,3.6456,4.1735
3.2000,0.8285,3.4598,4.176
3.4000,0.8525,3.5592,4.175
3.6000,0.7745,3.2324,4.1735
3.8000,0.867,3.6184,4.1735
4.0000,0.677,2.8272,4.176
4.2000,0.758,3.1639,4.174
4.4000,0.808,3.3778,4.1805
4.6000,0.788,3.2887,4.1735
4.8000,0.771,3.2197,4.176
5.0000,0.817,3.4126,4.177
5.2000,0.902,3.7668,4.176
5.4000,0.777,3.2448,4.176
5.6000,0.8925,3.728,4.177
5.8000,0.652,2.7221,4.175
6.0000,0.7685,3.2104,4.1775
6.2000,0.8845,3.6919,4.174
6.4000,0.6965,2.9103,4.1785
6.6000,0.811,3.3859,4.175
6.8000,0.7865,3.2856,4.1775
7.0000,0.853,3.56,4.1735
7.2000,0.8615,3.5968,4.175
7.4000,0.895,3.7407,4.1795
7.6000,0.867,3.6215,4.177
7.8000,0.8715,3.6416,4.1785
8.0000,0.9535,3.9809,4.175
8.2000,0.7185,2.9997,4.175
8.4000,0.809,3.3792,4.177
8.6000,0.801,3.3458,4.177
8.8000,0.867,3.6189,4.174
9.0000,0.8165,3.4089,4.175
9.2000,0.7525,3.1424,4.176
9.4000,0.7135,2.9778,4.1735
9.6000,0.853,3.563,4.177
9.8000,0.753,3.143,4.174
10.0000,0.8615,3.5976,4.176
10.2000,0.873,3.6478,4.1785
10.4000,0.924,3.8595,4.177
10.6000,0.8265,3.4544,4.1795
10.8000,0.8775,3.6658,4.1775
11.0000,0.92,3.8428,4.177
11.2000,0.7975,3.3296,4.175
11.4000,0.8165,3.4117,4.1785
11.6000,0.7365,3.0749,4.175
11.8000,0.8565,3.5797,4.1795
12.0000,0.8945,3.7345,4.175
12.2000,0.826,3.4523,4.1795
12.4000,0.9005,3.7618,4.1775
12.6000,0.801,3.3458,4.177
12.8000,0.8445,3.5266,4.176
13.0000,0.8415,3.5162,4.1785
13.2000,0.776,3.2414,4.177
13.4000,0.9535,3.9828,4.177
13.6000,0.8495,3.5505,4.1795
14.0000,0.8835,3.6908,4.1775
14.2000,0.836,3.4882,4.1725
14.4000,0.8875,3.7071,4.177
14.6000,0.7755,3.2377,4.175
14.8000,0.843,3.5212,4.177
15.0000,0.8815,3.6789,4.1735
15.2000,0.771,3.2205,4.177
15.4000,0.8575,3.5809,4.176
15.6000,0.801,3.347,4.1785
15.8000,0.837,3.4966,4.1775
16.0000,0.743,3.1028,4.176
16.2000,0.6405,2.6763,4.1785
16.4000,0.671,2.8021,4.176
16.6000,0.797,3.3303,4.1785
16.8000,0.798,3.3297,4.1725
17.0000,0.6155,2.5703,4.176
17.2000,0.914,3.8182,4.1775
17.4000,1.004,4.1962,4.1795
17.6000,0.92,3.8442,4.1785
17.8000,0.904,3.7742,4.175
18.0000,0.9875,4.1273,4.1795
18.2000,0.676,2.8223,4.175
18.4000,0.808,3.3762,4.1785
18.6000,0.634,2.6498,4.1795
18.8000,0.8095,3.3805,4.176
19.0000,0.8245,3.4443,4.1775
19.2000,0.836,3.4895,4.174
19.4000,0.8815,3.6794,4.174
19.6000,0.76,3.1722,4.174
19.8000,0.8015,3.3463,4.175
20.0000,0.8885,3.7135,4.1795
20.2000,0.8915,3.722,4.175
20.4000,0.905,3.7806,4.1775
20.6000,0.8405,3.5108,4.177
20.8000,0.816,3.4088,4.1775
21.0000,0.875,3.6549,4.177
21.2000,0.909,3.7973,4.1775
21.4000,0.8365,3.4962,4.1795
21.6000,0.7485,3.1242,4.174
21.8000,0.808,3.3754,4.1775
22.0000,0.8855,3.6978,4.176
22.2000,0.6235,2.6047,4.1775
22.4000,0.7165,2.9946,4.1795
22.6000,0.8635,3.6081,4.1785
22.8000,0.7915,3.3045,4.175
23.0000,0.8165,3.4117,4.1785
23.2000,0.9895,4.1346,4.1785
23.4000,0.9045,3.7795,4.1785
23.6000,0.8685,3.629,4.1785
23.8000,0.8695,3.631,4.176
24.0000,0.8645,3.6123,4.1785
24.2000,0.874,3.6507,4.177
24.4000,0.8555,3.5717,4.175
24.6000,0.83,3.4653,4.175
24.8000,0.7775,3.248,4.1775
25.0000,0.864,3.6094,4.1775
25.2000,0.896,3.7408,4.175
25.4000,0.9105,3.8045,4.1785
25.6000,0.796,3.3233,4.175
25.8000,0.6895,2.8818,4.1795
26.0000,0.817,3.4118,4.176
26.2000,0.913,3.815,4.1785
26.4000,0.911,3.8043,4.176
26.6000,0.864,3.6089,4.177
26.8000,0.889,3.7116,4.175
27.0000,0.898,3.7523,4.1785
27.2000,0.898,3.746,4.1715
27.4000,0.816,3.4097,4.1785
27.6000,0.875,3.6531,4.175
27.8000,0.7535,3.1477,4.1775
28.0000,0.818,3.4168,4.177
28.2000,0.801,3.3442,4.175
28.4000,0.7085,2.9587,4.176
28.6000,0.7285,3.0429,4.177
28.8000,0.76,3.1719,4.1735
29.0000,0.8905,3.7201,4.1775
29.2000,0.9555,3.9959,4.182
29.4000,0.802,3.35,4.177
29.6000,0.821,3.4314,4.1795
29.8000,0.667,2.7841,4.174
30.0000,0.9155,3.824,4.177
30.2000,0.7675,3.2058,4.177
30.4000,0.674,2.8163,4.1785
30.6000,0.652,2.7221,4.175
30.8000,0.7845,3.2761,4.176
31.0000,0.8055,3.363,4.175
31.2000,0.772,3.2223,4.174
31.4000,0.8385,3.4986,4.1725
31.6000,0.866,3.6186,4.1785
31.8000,0.9005,3.7596,4.175
32.0000,0.9165,3.8264,4.175
32.2000,0.7665,3.2001,4.175
32.4000,0.8245,3.4439,4.177
32.6000,0.6915,2.8887,4.1775
32.8000,0.927,3.8721,4.177
33.0000,1.0025,4.1874,4.177
33.2000,0.8275,3.4577,4.1785
33.4000,0.7845,3.2753,4.175
33.6000,0.8855,3.6987,4.177
33.8000,0.871,3.6403,4.1795
34.0000,0.937,3.9138,4.177
34.2000,0.821,3.4285,4.176
34.4000,0.8735,3.649,4.1775
34.6000,0.779,3.2551,4.1785
34.8000,0.8235,3.4381,4.175
35.0000,0.772,3.2266,4.1795
35.2000,0.8425,3.5183,4.176
35.4000,0.79,3.2983,4.175
35.6000,0.768,3.2091,4.1785
35.8000,0.7975,3.3296,4.175
36.0000,0.7925,3.3107,4.1775
36.2000,0.768,3.2056,4.174
36.4000,0.828,3.4606,4.1795
36.6000,0.835,3.4882,4.1775
36.8000,0.8605,3.5943,4.177
37.0000,0.795,3.3211,4.1775
37.2000,0.8685,3.6269,4.176
37.4000,0.874,3.6529,4.1795
37.6000,0.8445,3.5287,4.1785
37.8000,0.747,3.1195,4.176
38.0000,0.83,3.4673,4.1775
38.2000,0.816,3.4068,4.175
38.4000,0.7045,2.9427,4.177
38.6000,0.7685,3.21,4.177
38.8000,0.616,2.5718,4.175
39.0000,0.86,3.5914,4.176
39.2000,0.846,3.5329,4.176
39.4000,0.797,3.3311,4.1795
39.6000,0.8145,3.4042,4.1795
39.8000,0.799,3.3394,4.1795
40.0000,0.848,3.5404,4.175
40.2000,0.85,3.5504,4.177
40.4000,0.8935,3.7335,4.1785
40.6000,0.848,3.5404,4.175
40.8000,0.7705,3.2188,4.1775
41.0000,0.8865,3.7034,4.1775
41.2000,0.8435,3.5233,4.177
41.4000,0.663,2.768,4.175
41.6000,0.676,2.8237,4.177
41.8000,0.8165,3.4109,4.1775
42.0000,0.9115,3.8055,4.175
42.2000,0.825,3.4444,4.175
42.4000,0.796,3.3269,4.1795
42.6000,0.851,3.5559,4.1785
42.8000,0.858,3.5843,4.1775
43.0000,0.8655,3.6152,4.177
43.2000,0.766,3.2015,4.1795
43.4000,0.866,3.6194,4.1795
43.6000,0.8135,3.4,4.1795
43.8000,0.8475,3.5413,4.1785
44.0000,0.858,3.586,4.1795
44.2000,0.7305,3.0506,4.176
44.4000,0.708,2.9584,4.1785
44.6000,0.644,2.6903,4.1775
44.8000,0.721,3.012,4.1775
45.0000,0.8775,3.6653,4.177
45.2000,0.745,3.1122,4.1775
45.4000,0.6725,2.81,4.1785
45.6000,0.8415,3.5154,4.1775
45.8000,0.746,3.119,4.181
46.0000,0.7915,3.3061,4.177
46.2000,0.855,3.5713,4.177
46.4000,0.8165,3.4134,4.1805
46.6000,0.7335,3.0638,4.177
46.8000,0.7965,3.3282,4.1785
