Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.823,3.4389,4.1785
0.2000,0.8445,3.5287,4.1785
0.4000,0.637,2.6611,4.1775
0.6000,0.7565,3.1599,4.177
0.8000,0.884,3.6938,4.1785
1.0000,0.6155,2.5719,4.1785
1.2000,0.819,3.423,4.1795
1.4000,0.759,3.1703,4.177
1.6000,0.799,3.3374,4.177
1.8000,0.8235,3.4398,4.177
2.0000,0.8115,3.3909,4.1785
2.2000,0.6735,2.8125,4.176
2.4000,0.7515,3.1383,4.176
2.6000,0.78,3.2592,4.1785
2.8000,0.7075,2.9563,4.1785
3.0000,0.7655,3.1994,4.1795
3.2000,0.67,2.7966,4.174
3.4000,0.8505,3.553,4.1775
3.6000,0.815,3.4063,4.1795
3.8000,0.738,3.0826,4.177
4.0000,0.622,2.5981,4.177
4.2000,0.621,2.5927,4.175
4.4000,0.848,3.5442,4.1795
4.6000,0.8295,3.4623,4.174
4.8000,0.5975,2.4946,4.175
5.0000,0.835,3.4899,4.1795
5.2000,0.805,3.3601,4.174
5.4000,0.6925,2.8919,4.176
5.6000,0.6515,2.7229,4.1795
5.8000,0.7565,3.1584,4.175
6.0000,0.6995,2.9222,4.1775
6.2000,0.8115,3.3896,4.177
6.4000,0.7,2.925,4.1785
6.6000,0.805,3.3637,4.1785
6.8000,0.7525,3.1432,4.177
7.0000,0.807,3.37,4.176
7.2000,0.6915,2.8894,4.1785
7.4000,0.818,3.418,4.1785
7.6000,0.86,3.5944,4.1795
7.8000,0.7415,3.0972,4.177
8.0000,0.829,3.4619,4.176
8.2000,0.7285,3.0433,4.1775
8.4000,0.7865,3.2836,4.175
8.6000,0.654,2.7311,4.176
8.8000,0.777,3.2455,4.177
9.0000,0.648,2.7077,4.1785
9.2000,0.6485,2.7091,4.1775
9.4000,0.8035,3.3554,4.176
9.6000,0.816,3.4105,4.1795
9.8000,0.6185,2.5838,4.1775
10.0000,0.7865,3.2836,4.175
10.2000,0.7055,2.9469,4.177
10.4000,0.821,3.4297,4.1775
10.6000,0.672,2.8086,4.1795
10.8000,0.716,2.9918,4.1785
11.0000,0.696,2.9082,4.1785
11.2000,0.7715,3.2226,4.177
11.4000,0.7145,2.9838,4.176
11.6000,0.7315,3.0533,4.174
11.8000,0.782,3.2676,4.1785
12.0000,0.847,3.5413,4.181
12.2000,0.8405,3.512,4.1785
12.4000,0.8065,3.3692,4.1775
12.6000,0.822,3.4355,4.1795
12.8000,0.708,2.9541,4.1725
13.0000,0.716,2.9918,4.1785
13.2000,0.78,3.2573,4.176
13.4000,0.733,3.0603,4.175
13.6000,0.8455,3.5321,4.1775
14.0000,0.8055,3.3638,4.176
14.2000,0.8425,3.5183,4.176
14.4000,0.8525,3.5639,4.1805
14.6000,0.799,3.3386,4.1785
14.8000,0.6175,2.5781,4.175
15.0000,0.75,3.1313,4.175
15.2000,0.7265,3.0331,4.175
15.4000,0.838,3.5016,4.1785
15.6000,0.702,2.9301,4.174
15.8000,0.747,3.1176,4.1735
16.0000,0.6765,2.8257,4.177
16.2000,0.818,3.416,4.176
16.4000,0.6635,2.7714,4.177
16.6000,0.7965,3.3262,4.176
16.8000,0.833,3.4828,4.181
17.0000,0.764,3.1931,4.1795
17.2000,0.8155,3.4068,4.1775
17.4000,0.743,3.1046,4.1785
17.6000,0.7505,3.1322,4.1735
17.8000,0.786,3.2843,4.1785
18.0000,0.777,3.2467,4.1785
