Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.9235,3.8579,4.1775
0.2000,0.8795,3.6759,4.1795
0.4000,0.917,3.8308,4.1775
0.6000,0.8515,3.558,4.1785
0.8000,0.885,3.6997,4.1805
1.0000,0.759,3.1715,4.1785
1.2000,0.7705,3.2195,4.1785
1.4000,0.754,3.1525,4.181
1.6000,0.769,3.2148,4.1805
1.8000,0.849,3.5454,4.176
2.0000,0.8175,3.418,4.181
2.2000,0.8435,3.5237,4.1775
2.4000,0.8435,3.5254,4.1795
2.6000,0.646,2.6983,4.177
2.8000,0.892,3.7259,4.177
3.0000,0.818,3.4196,4.1805
3.2000,0.806,3.3651,4.175
3.4000,0.772,3.2258,4.1785
3.6000,0.632,2.6402,4.1775
3.8000,0.82,3.4264,4.1785
4.0000,0.853,3.5621,4.176
4.2000,0.6675,2.7868,4.175
4.4000,0.749,3.1297,4.1785
4.6000,0.7525,3.1443,4.1785
4.8000,0.789,3.2968,4.1785
5.0000,0.8885,3.7144,4.1805
5.2000,0.766,3.2007,4.1785
5.4000,0.762,3.1848,4.1795
5.6000,0.8455,3.5308,4.176
5.8000,0.7965,3.3262,4.176
6.0000,0.8205,3.4264,4.176
6.2000,0.8245,3.4443,4.1775
6.4000,0.8695,3.6362,4.182
6.6000,0.755,3.1548,4.1785
6.8000,0.8195,3.4231,4.177
7.0000,0.8365,3.4911,4.1735
7.2000,0.871,3.6382,4.177
7.4000,0.7985,3.3381,4.1805
7.6000,0.7585,3.1694,4.1785
7.8000,0.862,3.6019,4.1785
8.0000,0.8315,3.4753,4.1795
8.2000,0.777,3.2459,4.1775
8.4000,0.8045,3.3616,4.1785
8.6000,0.733,3.0661,4.183
8.8000,0.719,3.0043,4.1785
9.0000,0.822,3.4347,4.1785
9.2000,0.5985,2.5029,4.182
9.4000,0.7635,3.1891,4.177
9.6000,0.8215,3.4306,4.176
9.8000,0.7555,3.1561,4.1775
10.0000,0.6615,2.7634,4.1775
10.2000,0.6595,2.7557,4.1785
10.4000,0.8055,3.3666,4.1795
10.6000,0.725,3.0287,4.1775
10.8000,0.6665,2.7843,4.1775
11.0000,0.753,3.1453,4.177
11.2000,0.8225,3.4376,4.1795
11.4000,0.7675,3.2051,4.176
11.6000,0.7795,3.2587,4.1805
11.8000,0.761,3.1791,4.1775
12.0000,0.7235,3.0213,4.176
12.2000,0.7985,3.3345,4.176
12.4000,0.6305,2.6336,4.177
12.6000,0.675,2.8205,4.1785
12.8000,0.812,3.3929,4.1785
13.0000,0.7855,3.2814,4.1775
13.2000,0.7085,2.9587,4.176
13.4000,0.679,2.8362,4.177
13.6000,0.7365,3.0767,4.1775
13.8000,0.725,3.0294,4.1785
14.0000,0.8065,3.372,4.181
14.2000,0.834,3.482,4.175
14.4000,0.7185,3.003,4.1795
14.6000,0.7385,3.0851,4.1775
14.8000,0.822,3.4368,4.181
15.0000,0.8205,3.4276,4.1775
15.2000,0.7795,3.2571,4.1785
15.4000,0.8035,3.3594,4.181
15.6000,0.8235,3.4418,4.1795
15.8000,0.721,3.0095,4.174
16.0000,0.755,3.1548,4.1785
16.2000,0.805,3.3645,4.1795
16.4000,0.8235,3.4418,4.1795
16.6000,0.7925,3.3134,4.181
16.8000,0.869,3.6298,4.177
17.0000,0.6895,2.8769,4.1725
17.2000,0.807,3.372,4.1785
17.4000,0.6835,2.8567,4.1795
17.6000,0.748,3.1244,4.177
17.8000,0.7265,3.0339,4.176
18.0000,0.7815,3.2647,4.1775
18.2000,0.725,3.0294,4.1785
18.4000,0.784,3.274,4.176
18.6000,0.7565,3.1603,4.1775
18.8000,0.821,3.4293,4.177
19.0000,0.8685,3.629,4.1785
19.2000,0.677,2.8282,4.1775
19.4000,0.6705,2.8007,4.177
19.6000,0.795,3.3191,4.175
19.8000,0.7975,3.3332,4.1795
20.0000,0.828,3.4586,4.177
20.2000,0.7385,3.084,4.176
20.4000,0.852,3.5588,4.177
20.6000,0.7755,3.2385,4.176
20.8000,0.705,2.9434,4.175
21.0000,0.782,3.2656,4.176
21.2000,0.747,3.1206,4.1775
21.4000,0.768,3.2079,4.177
21.6000,0.813,3.3971,4.1785
21.8000,0.877,3.6645,4.1785
22.0000,0.799,3.3378,4.1775
22.2000,0.752,3.143,4.1795
22.4000,0.743,3.1039,4.1775
22.6000,0.8475,3.5421,4.1795
22.8000,0.8275,3.454,4.174
23.0000,0.8075,3.3741,4.1785
23.2000,0.7815,3.2663,4.1795
23.4000,0.786,3.2863,4.181
23.6000,0.7665,3.2009,4.176
23.8000,0.8605,3.5943,4.177
24.0000,0.874,3.6529,4.1795
24.2000,0.834,3.4849,4.1785
24.4000,0.7705,3.2161,4.174
24.6000,0.805,3.3645,4.1795
24.8000,0.876,3.6604,4.1785
25.0000,0.777,3.2455,4.177
25.2000,0.876,3.6604,4.1785
25.4000,0.8775,3.6636,4.175
25.6000,0.7665,3.2017,4.177
25.8000,0.842,3.5154,4.175
26.0000,0.744,3.1062,4.175
26.2000,0.8165,3.4097,4.176
26.4000,0.8795,3.6759,4.1795
26.6000,0.8685,3.6299,4.1795
26.8000,0.7355,3.0733,4.1785
27.0000,0.7235,3.0231,4.1785
27.2000,0.8175,3.4147,4.177
27.4000,0.745,3.1122,4.1775
27.6000,0.7305,3.0506,4.176
27.8000,0.8645,3.614,4.1805
28.0000,0.7595,3.1743,4.1795
28.2000,0.8065,3.37,4.1785
28.4000,0.74,3.091,4.177
28.6000,0.7555,3.1569,4.1785
28.8000,0.868,3.6278,4.1795
29.0000,0.83,3.4682,4.1785
29.2000,0.7945,3.3206,4.1795
29.4000,0.6595,2.7557,4.1785
29.6000,0.738,3.0826,4.177
29.8000,0.7985,3.3381,4.1805
30.0000,0.838,3.4995,4.176
30.2000,0.753,3.1453,4.177
30.4000,0.7,2.9239,4.177
30.6000,0.714,2.9834,4.1785
30.8000,0.8245,3.446,4.1795
31.0000,0.8095,3.3825,4.1785
31.2000,0.6745,2.8174,4.177
31.4000,0.7535,3.1466,4.176
31.6000,0.782,3.2684,4.1795
31.8000,0.8885,3.7135,4.1795
32.0000,0.664,2.7735,4.177
32.2000,0.861,3.5977,4.1785
32.4000,0.8755,3.6583,4.1785
32.6000,0.7345,3.0673,4.176
32.8000,0.8,3.3428,4.1785
33.0000,0.7385,3.084,4.176
33.2000,0.737,3.0777,4.176
33.4000,0.776,3.2414,4.177
33.6000,0.769,3.2148,4.1805
33.8000,0.8775,3.6688,4.181
34.0000,0.7745,3.2382,4.181
34.2000,0.765,3.1939,4.175
34.4000,0.6575,2.7457,4.176
34.6000,0.766,3.1981,4.175
34.8000,0.722,3.0162,4.1775
