Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.305,1.2747,4.1795
0.2000,0.303,1.2661,4.1785
0.4000,0.3515,1.4687,4.1785
0.6000,0.3015,1.2598,4.1785
0.8000,0.3195,1.335,4.1785
1.0000,0.305,1.2744,4.1785
1.2000,0.3045,1.272,4.1775
1.4000,0.329,1.3744,4.1775
1.6000,0.3045,1.2727,4.1795
1.8000,0.303,1.2661,4.1785
2.0000,0.3185,1.3312,4.1795
2.2000,0.32,1.3371,4.1785
2.4000,0.306,1.2789,4.1795
2.6000,0.304,1.2703,4.1785
2.8000,0.304,1.2703,4.1785
3.0000,0.3045,1.2727,4.1795
3.2000,0.3045,1.2727,4.1795
3.4000,0.32,1.3374,4.1795
3.6000,0.3125,1.3061,4.1795
3.8000,0.303,1.2661,4.1785
4.0000,0.307,1.2831,4.1795
4.2000,0.304,1.2706,4.1795
4.4000,0.3045,1.2724,4.1785
4.6000,0.3195,1.335,4.1785
4.8000,0.305,1.2747,4.1795
5.0000,0.3235,1.3521,4.1795
5.2000,0.4655,1.9451,4.1785
5.4000,0.303,1.2661,4.1785
5.6000,0.3055,1.2768,4.1795
5.8000,0.3065,1.2807,4.1785
6.0000,0.319,1.3329,4.1785
6.2000,0.3085,1.2894,4.1795
6.4000,0.3055,1.2765,4.1785
6.6000,0.304,1.2706,4.1795
6.8000,0.3045,1.2724,4.1785
7.0000,0.3015,1.2598,4.1785
7.2000,0.3175,1.3267,4.1785
7.4000,0.3055,1.2765,4.1785
7.6000,0.304,1.2703,4.1785
7.8000,0.304,1.2703,4.1785
8.0000,0.304,1.2706,4.1795
8.2000,0.304,1.2703,4.1785
8.4000,0.32,1.3371,4.1785
8.6000,0.3175,1.3267,4.1785
8.8000,0.3025,1.264,4.1785
9.0000,0.305,1.2747,4.1795
9.2000,0.293,1.2246,4.1795
9.4000,0.303,1.2664,4.1795
9.6000,0.304,1.2706,4.1795
9.8000,0.3195,1.3354,4.1795
10.0000,0.306,1.2786,4.1785
10.2000,0.304,1.2706,4.1795
10.4000,0.3025,1.2643,4.1795
10.6000,0.3025,1.264,4.1785
10.8000,0.3095,1.2936,4.1795
11.0000,0.319,1.3333,4.1795
11.2000,0.308,1.2873,4.1795
11.4000,0.3215,1.3434,4.1785
11.6000,0.445,1.8599,4.1795
11.8000,0.3045,1.2724,4.1785
12.0000,0.302,1.2622,4.1795
12.2000,0.3025,1.264,4.1785
12.4000,0.3205,1.3395,4.1795
12.6000,0.308,1.2873,4.1795
12.8000,0.3035,1.2685,4.1795
13.0000,0.3035,1.2685,4.1795
13.2000,0.371,1.5506,4.1795
13.4000,0.304,1.2706,4.1795
13.6000,0.3195,1.335,4.1785
14.0000,0.302,1.2619,4.1785
14.2000,0.306,1.2786,4.1785
14.4000,0.3035,1.2682,4.1785
14.6000,0.304,1.2703,4.1785
14.8000,0.319,1.3329,4.1785
15.0000,0.3195,1.335,4.1785
15.2000,0.3045,1.2727,4.1795
15.4000,0.3025,1.264,4.1785
15.6000,0.3015,1.2598,4.1785
15.8000,0.305,1.2747,4.1795
16.0000,0.293,1.2243,4.1785
16.2000,0.319,1.3329,4.1785
16.4000,0.305,1.2744,4.1785
16.6000,0.362,1.513,4.1795
16.8000,0.304,1.2703,4.1785
17.0000,0.3045,1.272,4.1775
17.2000,0.302,1.2622,4.1795
17.4000,0.3185,1.3312,4.1795
17.6000,0.3175,1.3267,4.1785
17.8000,0.322,1.3455,4.1785
18.0000,0.316,1.3207,4.1795
18.2000,0.3035,1.2685,4.1795
18.4000,0.304,1.2703,4.1785
18.6000,0.3035,1.2682,4.1785
18.8000,0.318,1.3291,4.1795
19.0000,0.508,2.1222,4.1775
19.2000,0.577,2.4104,4.1775
19.4000,0.3635,1.5189,4.1785
19.6000,0.539,2.2528,4.1795
19.8000,0.366,1.5293,4.1785
20.0000,0.382,1.5962,4.1785
20.2000,0.3675,1.536,4.1795
