Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.991,4.1399,4.1775
0.2000,0.94,3.9278,4.1785
0.4000,1.369,5.7217,4.1795
0.6000,1.216,5.0756,4.174
0.8000,1.0975,4.5793,4.1725
1.0000,1.319,5.5114,4.1785
1.2000,1.3695,5.7211,4.1775
1.4000,1.119,4.6741,4.177
1.6000,1.1705,4.888,4.176
1.8000,1.4285,5.969,4.1785
2.0000,1.306,5.4526,4.175
2.2000,1.056,4.4099,4.176
2.4000,1.042,4.3524,4.177
2.6000,0.9625,4.0208,4.1775
2.8000,0.976,4.0772,4.1775
3.0000,1.0935,4.5675,4.177
3.2000,1.0735,4.484,4.177
3.4000,1.073,4.4798,4.175
3.6000,1.0135,4.2334,4.177
3.8000,1.0625,4.4386,4.1775
4.0000,1.018,4.2522,4.177
4.2000,1.047,4.3733,4.177
4.4000,1.024,4.2762,4.176
4.6000,0.952,3.9765,4.177
4.8000,1.0225,4.271,4.177
5.0000,1.0335,4.3159,4.176
5.2000,1.1135,4.6472,4.1735
5.4000,0.9995,4.1789,4.181
5.6000,1.082,4.5201,4.1775
5.8000,1.007,4.2052,4.176
6.0000,0.953,3.9773,4.1735
6.2000,0.9545,3.985,4.175
6.4000,1.03,4.3049,4.1795
6.6000,0.9575,3.9995,4.177
6.8000,0.995,4.1566,4.1775
7.0000,1.1465,4.7889,4.177
7.2000,1.038,4.3373,4.1785
7.4000,0.962,4.0188,4.1775
7.6000,1.0765,4.4928,4.1735
