Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.444,1.8548,4.1775
0.2000,0.422,1.7629,4.1775
0.4000,0.408,1.7048,4.1785
0.6000,0.343,1.4332,4.1785
0.8000,0.4365,1.8233,4.177
1.0000,0.3425,1.4311,4.1785
1.2000,0.3655,1.5272,4.1785
1.4000,0.4045,1.6902,4.1785
1.6000,0.395,1.6505,4.1785
1.8000,0.4245,1.7733,4.1775
2.0000,0.3885,1.623,4.1775
2.2000,0.431,1.8005,4.1775
2.4000,0.4075,1.7027,4.1785
2.6000,0.452,1.8882,4.1775
2.8000,0.4475,1.8692,4.177
3.0000,0.376,1.5711,4.1785
3.2000,0.342,1.429,4.1785
3.4000,0.462,1.9305,4.1785
3.6000,0.4455,1.8615,4.1785
3.8000,0.4325,1.805,4.1735
4.0000,0.389,1.625,4.1775
4.2000,0.3895,1.6275,4.1785
4.4000,0.379,1.5837,4.1785
4.6000,0.3705,1.5481,4.1785
4.8000,0.469,1.9597,4.1785
5.0000,0.444,1.8548,4.1775
5.2000,0.4395,1.836,4.1775
5.4000,0.4395,1.8365,4.1785
5.6000,0.492,2.0551,4.177
5.8000,0.447,1.8673,4.1775
6.0000,0.419,1.7504,4.1775
6.2000,0.416,1.7378,4.1775
6.4000,0.5405,2.2577,4.177
6.6000,0.3775,1.5774,4.1785
6.8000,0.378,1.5791,4.1775
7.0000,0.379,1.5837,4.1785
7.2000,0.352,1.4708,4.1785
7.4000,0.4705,1.9648,4.176
7.6000,0.423,1.7675,4.1785
7.8000,0.497,2.0762,4.1775
8.0000,0.395,1.6509,4.1795
8.2000,0.3635,1.5185,4.1775
8.4000,0.397,1.6583,4.177
8.6000,0.3905,1.6311,4.177
8.8000,0.3795,1.5852,4.177
9.0000,0.353,1.475,4.1785
9.2000,0.3485,1.4559,4.1775
9.4000,0.506,2.1138,4.1775
9.6000,0.543,2.2689,4.1785
9.8000,0.441,1.8423,4.1775
10.0000,0.408,1.7048,4.1785
10.2000,0.3945,1.6484,4.1785
10.4000,0.5275,2.2036,4.1775
10.6000,0.3955,1.6522,4.1775
10.8000,0.4215,1.7606,4.177
11.0000,0.429,1.7926,4.1785
11.2000,0.3655,1.5269,4.1775
11.4000,0.5055,2.1127,4.1795
11.6000,0.479,2.001,4.1775
11.8000,0.409,1.709,4.1785
12.0000,0.4005,1.6735,4.1785
12.2000,0.4415,1.8448,4.1785
12.4000,0.436,1.8214,4.1775
12.6000,0.4525,1.8908,4.1785
12.8000,0.431,1.8005,4.1775
13.0000,0.412,1.7211,4.1775
13.2000,0.5325,2.2251,4.1785
13.4000,0.38,1.5874,4.1775
13.6000,0.4125,1.723,4.177
14.0000,0.3885,1.623,4.1775
14.2000,0.4625,1.9321,4.1775
14.4000,0.4065,1.6986,4.1785
14.6000,0.438,1.8302,4.1785
14.8000,0.5395,2.2538,4.1775
15.0000,0.4375,1.8281,4.1785
15.2000,0.3945,1.6478,4.177
15.4000,0.487,2.0342,4.177
15.6000,0.399,1.6672,4.1785
15.8000,0.462,1.9298,4.177
16.0000,0.4365,1.8235,4.1775
16.2000,0.525,2.1929,4.177
16.4000,0.401,1.675,4.177
16.6000,0.4385,1.8323,4.1785
16.8000,0.4975,2.0781,4.177
17.0000,0.597,2.494,4.1775
17.2000,0.378,1.5791,4.1775
17.4000,0.4085,1.7069,4.1785
17.6000,0.447,1.8678,4.1785
17.8000,0.479,2.0015,4.1785
18.0000,0.4945,2.0658,4.1775
18.2000,0.388,1.6207,4.177
18.4000,0.4245,1.7738,4.1785
18.6000,0.3645,1.5225,4.177
18.8000,0.396,1.6543,4.1775
19.0000,0.426,1.7796,4.1775
19.2000,0.345,1.4416,4.1785
19.4000,0.3515,1.4684,4.1775
19.6000,0.423,1.7675,4.1785
19.8000,0.454,1.8964,4.177
20.0000,0.3495,1.4604,4.1785
20.2000,0.4005,1.6729,4.177
20.4000,0.3955,1.6522,4.1775
20.6000,0.4875,2.037,4.1785
20.8000,0.445,1.8594,4.1785
21.0000,0.426,1.78,4.1785
21.2000,0.444,1.8546,4.177
21.4000,0.4105,1.7153,4.1785
21.6000,0.575,2.4018,4.177
21.8000,0.5035,2.1031,4.177
22.0000,0.4785,1.9994,4.1785
22.2000,0.516,2.1561,4.1785
22.4000,0.416,1.7378,4.1775
22.6000,0.4325,1.8068,4.1775
22.8000,0.43,1.7963,4.1775
23.0000,0.42,1.755,4.1785
23.2000,0.395,1.6505,4.1785
23.4000,0.395,1.6501,4.1775
23.6000,0.5495,2.2955,4.1775
23.8000,0.5075,2.1201,4.1775
24.0000,0.4285,1.7905,4.1785
24.2000,0.403,1.6835,4.1775
24.4000,0.3755,1.569,4.1785
24.6000,0.4055,1.6944,4.1785
24.8000,0.4785,1.9994,4.1785
25.0000,0.4505,1.882,4.1775
25.2000,0.5325,2.2251,4.1785
25.4000,0.4825,2.0156,4.1775
25.6000,0.489,2.0445,4.181
25.8000,0.388,1.6213,4.1785
26.0000,0.457,1.9096,4.1785
26.2000,0.4995,2.0872,4.1785
26.4000,0.522,2.1807,4.1775
26.6000,0.3925,1.6401,4.1785
26.8000,0.3955,1.6526,4.1785
27.0000,0.403,1.6835,4.1775
27.2000,0.3855,1.6102,4.177
27.4000,0.4775,1.9957,4.1795
27.6000,0.425,1.7754,4.1775
27.8000,0.4405,1.84,4.177
28.0000,0.389,1.6249,4.177
28.2000,0.3875,1.6188,4.1775
28.4000,0.413,1.7257,4.1785
28.6000,0.4215,1.7612,4.1785
28.8000,0.3505,1.4642,4.1775
29.0000,0.5175,2.1629,4.1795
29.2000,0.3745,1.5645,4.1775
29.4000,0.387,1.6167,4.1775
29.6000,0.395,1.6501,4.1775
29.8000,0.399,1.6666,4.177
30.0000,0.4555,1.9026,4.177
30.2000,0.38,1.5878,4.1785
30.4000,0.424,1.7717,4.1785
30.6000,0.397,1.6589,4.1785
30.8000,0.4125,1.723,4.177
31.0000,0.3885,1.623,4.1775
31.2000,0.387,1.6167,4.1775
31.4000,0.517,2.1603,4.1785
31.6000,0.4445,1.8569,4.1775
31.8000,0.4145,1.7314,4.177
32.0000,0.4545,1.9003,4.181
32.2000,0.44,1.8385,4.1785
32.4000,0.5755,2.4047,4.1785
32.6000,0.4585,1.9152,4.177
32.8000,0.534,2.2305,4.177
33.0000,0.466,1.9465,4.177
33.2000,0.4345,1.816,4.1795
33.4000,0.515,2.1514,4.1775
33.6000,0.5215,2.1791,4.1785
33.8000,0.401,1.6756,4.1785
34.0000,0.551,2.3018,4.1775
34.2000,0.562,2.3478,4.1775
34.4000,0.45,1.8799,4.1775
34.6000,0.4615,1.9279,4.1775
34.8000,0.4105,1.7147,4.177
35.0000,0.365,1.5246,4.177
35.2000,0.401,1.6756,4.1785
35.4000,0.355,1.4828,4.177
35.6000,0.541,2.2606,4.1785
35.8000,0.417,1.742,4.1775
36.0000,0.4115,1.7195,4.1785
36.2000,0.3555,1.4846,4.176
36.4000,0.4185,1.7483,4.1775
36.6000,0.4415,1.8444,4.1775
36.8000,0.4785,1.9989,4.1775
37.0000,0.3915,1.6359,4.1785
37.2000,0.3655,1.5272,4.1785
37.4000,0.4955,2.0697,4.177
37.6000,0.407,1.7,4.177
37.8000,0.4445,1.8573,4.1785
38.0000,0.494,2.0637,4.1775
38.2000,0.3785,1.581,4.177
38.4000,0.515,2.1519,4.1785
38.6000,0.4955,2.0704,4.1785
38.8000,0.3845,1.6061,4.177
39.0000,0.3605,1.5063,4.1785
39.2000,0.425,1.7759,4.1785
39.4000,0.476,1.9885,4.1775
39.6000,0.412,1.7209,4.177
39.8000,0.477,1.9924,4.177
40.0000,0.3505,1.4646,4.1785
40.2000,0.425,1.7754,4.1775
40.4000,0.4665,1.9493,4.1785
40.6000,0.5235,2.1861,4.176
40.8000,0.414,1.7293,4.177
41.0000,0.4565,1.9075,4.1785
41.2000,0.4275,1.7857,4.177
41.4000,0.3995,1.6689,4.1775
41.6000,0.498,2.0801,4.177
41.8000,0.382,1.5962,4.1785
