Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.928,3.88,4.181
0.2000,0.893,3.7314,4.1785
0.4000,0.974,4.0723,4.181
0.6000,1.036,4.3253,4.175
0.8000,1.019,4.2564,4.177
1.0000,0.9425,3.9392,4.1795
1.2000,0.957,3.9998,4.1795
1.4000,0.9865,4.1255,4.182
1.6000,1.0005,4.1796,4.1775
1.8000,0.9705,4.0552,4.1785
2.0000,0.977,4.078,4.174
2.2000,0.766,3.1988,4.176
2.4000,0.9345,3.9015,4.175
2.6000,0.939,3.9222,4.177
2.8000,1.003,4.19,4.1775
3.0000,0.8305,3.4661,4.1735
3.2000,1.0245,4.2834,4.181
3.4000,0.6105,2.551,4.1785
3.6000,0.867,3.6228,4.1785
3.8000,0.801,3.349,4.181
4.0000,0.824,3.4431,4.1785
4.2000,1.026,4.2846,4.176
4.4000,1.0615,4.4365,4.1795
4.6000,0.88,3.6758,4.177
4.8000,0.8745,3.6532,4.1775
5.0000,0.942,3.9371,4.1795
5.2000,0.916,3.8252,4.176
5.4000,1.067,4.4569,4.177
5.6000,0.905,3.7793,4.176
5.8000,0.8095,3.3825,4.1785
6.0000,0.969,4.0465,4.176
6.2000,0.857,3.578,4.175
6.4000,0.8415,3.5179,4.1805
6.6000,1.0215,4.2683,4.1785
6.8000,0.946,3.9538,4.1795
7.0000,0.7935,3.3176,4.181
7.2000,0.9325,3.8932,4.175
7.4000,1.0145,4.2391,4.1785
7.6000,0.926,3.8716,4.181
7.8000,1.0345,4.3252,4.181
8.0000,0.8265,3.4552,4.1805
8.2000,0.6695,2.7965,4.177
8.4000,1.0545,4.4062,4.1785
8.6000,1.015,4.2386,4.176
8.8000,0.815,3.4055,4.1785
9.0000,0.788,3.2899,4.175
9.2000,0.8245,3.4439,4.177
9.4000,0.8145,3.4042,4.1795
9.6000,0.933,3.8953,4.175
9.8000,1.051,4.3879,4.175
10.0000,0.777,3.2459,4.1775
10.2000,0.816,3.4117,4.181
10.4000,0.929,3.8804,4.177
10.6000,0.7925,3.3107,4.1775
10.8000,0.872,3.6428,4.1775
11.0000,0.9645,4.0311,4.1795
11.2000,0.936,3.9097,4.177
11.4000,1.032,4.3096,4.176
11.6000,0.9455,3.9494,4.177
11.8000,0.772,3.2219,4.1735
12.0000,0.856,3.5777,4.1795
12.2000,1.079,4.5059,4.176
12.4000,0.8945,3.7368,4.1775
12.6000,1.012,4.2312,4.181
12.8000,0.91,3.8024,4.1785
13.0000,0.91,3.8024,4.1785
13.2000,0.9945,4.159,4.182
13.4000,0.923,3.8586,4.1805
13.6000,1.0725,4.4804,4.1775
14.0000,1.049,4.3869,4.182
14.2000,0.89,3.7144,4.1735
14.4000,0.9185,3.8366,4.177
14.6000,0.971,4.0593,4.1805
14.8000,1.0435,4.3556,4.174
15.0000,0.9345,3.9001,4.1735
15.2000,0.925,3.8642,4.1775
15.4000,0.919,3.8387,4.177
15.6000,1.0285,4.296,4.177
15.8000,1.073,4.4835,4.1785
16.0000,0.99,4.1332,4.175
16.2000,0.8195,3.4271,4.182
16.4000,0.5355,2.2371,4.1775
16.6000,0.872,3.6423,4.177
16.8000,0.9165,3.8296,4.1785
17.0000,0.788,3.2915,4.177
17.2000,0.7945,3.3218,4.181
17.4000,0.943,3.9403,4.1785
17.6000,1.03,4.3039,4.1785
17.8000,0.9295,3.8839,4.1785
18.0000,0.9455,3.9527,4.1805
18.2000,0.9715,4.0584,4.1775
18.4000,0.951,3.9738,4.1785
18.6000,0.957,3.9974,4.177
18.8000,0.9245,3.8621,4.1775
19.0000,0.6615,2.7657,4.181
19.2000,0.7705,3.2184,4.177
19.4000,1.005,4.1994,4.1785
19.6000,0.924,3.8586,4.176
19.8000,0.939,3.9203,4.175
20.0000,0.9825,4.1064,4.1795
20.2000,0.757,3.1593,4.1735
20.4000,1.0245,4.2834,4.181
20.6000,0.9955,4.1607,4.1795
20.8000,0.9345,3.9034,4.177
21.0000,0.8105,3.3838,4.175
21.2000,0.7195,3.0054,4.177
21.4000,0.9465,3.955,4.1785
21.6000,1.0515,4.3921,4.177
21.8000,1.05,4.3848,4.176
22.0000,0.9345,3.9015,4.175
22.2000,0.728,3.0438,4.181
22.4000,0.938,3.9171,4.176
22.6000,1.048,4.3764,4.176
22.8000,1.035,4.317,4.171
23.0000,1.0305,4.3044,4.177
23.2000,0.7925,3.3047,4.17
23.4000,0.608,2.5405,4.1785
23.6000,0.615,2.5661,4.1725
23.8000,0.7,2.9239,4.177
24.0000,0.984,4.1141,4.181
24.2000,0.8285,3.4627,4.1795
24.4000,0.703,2.9357,4.176
24.6000,0.8975,3.748,4.176
24.8000,0.9625,4.0228,4.1795
25.0000,0.9175,3.8361,4.181
25.2000,0.9185,3.8357,4.176
25.4000,0.976,4.0758,4.176
25.6000,1.027,4.2913,4.1785
25.8000,0.763,3.1871,4.177
26.0000,0.967,4.0425,4.1805
26.2000,0.9325,3.8941,4.176
26.4000,0.9115,3.8096,4.1795
26.6000,0.9185,3.8347,4.175
26.8000,1.069,4.4695,4.181
27.0000,1.0665,4.4553,4.1775
27.2000,0.963,4.0249,4.1795
27.4000,0.951,3.9747,4.1795
27.6000,1.033,4.3117,4.174
27.8000,0.791,3.3088,4.183
28.0000,0.7325,3.0622,4.1805
28.2000,0.7955,3.324,4.1785
28.4000,0.8235,3.441,4.1785
28.6000,1.053,4.4,4.1785
28.8000,1.036,4.3315,4.181
29.0000,1.068,4.4637,4.1795
29.2000,0.6145,2.5668,4.177
29.4000,0.612,2.5563,4.177
29.6000,0.938,3.9185,4.1775
29.8000,0.613,2.5614,4.1785
30.0000,0.7445,3.1098,4.177
30.2000,0.9635,4.0245,4.177
30.4000,0.8465,3.5371,4.1785
30.6000,0.885,3.6989,4.1795
30.8000,1.031,4.3055,4.176
31.0000,0.9295,3.8825,4.177
31.2000,0.931,3.8893,4.1775
31.4000,1.0105,4.2234,4.1795
31.6000,0.909,3.796,4.176
31.8000,0.7855,3.2822,4.1785
32.0000,0.9785,4.0877,4.1775
32.2000,0.936,3.9078,4.175
32.4000,0.914,3.816,4.175
32.6000,0.936,3.9111,4.1785
32.8000,0.9245,3.8607,4.176
33.0000,1.056,4.4136,4.1795
33.2000,0.811,3.388,4.1775
33.4000,0.935,3.9088,4.1805
33.6000,1.031,4.3044,4.175
33.8000,0.776,3.2371,4.1715
34.0000,1.068,4.4578,4.174
34.2000,0.956,3.9956,4.1795
34.4000,1.002,4.1834,4.175
34.6000,1.0715,4.4757,4.177
34.8000,1.045,4.365,4.177
35.0000,0.7825,3.2677,4.176
35.2000,1.0475,4.3744,4.176
35.4000,0.786,3.2816,4.175
35.6000,1.0495,4.3827,4.176
35.8000,0.6175,2.5793,4.177
36.0000,0.6125,2.5587,4.1775
36.2000,0.6115,2.5542,4.177
36.4000,0.7725,3.226,4.176
36.6000,0.9555,3.9902,4.176
36.8000,0.7335,3.0642,4.1775
37.0000,1.026,4.2882,4.1795
