Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.9995,4.1714,4.1735
0.2000,0.9885,4.1295,4.1775
0.4000,0.809,3.3768,4.174
0.6000,0.961,4.0165,4.1795
0.8000,0.7625,3.1876,4.1805
1.0000,0.81,3.3834,4.177
1.2000,1.1185,4.6748,4.1795
1.4000,0.896,3.7417,4.176
1.6000,1.0265,4.2892,4.1785
1.8000,1.173,4.9026,4.1795
2.0000,0.9225,3.857,4.181
2.2000,0.7,2.9274,4.182
2.4000,1.067,4.4521,4.1725
2.6000,0.927,3.8712,4.176
2.8000,1.0425,4.3524,4.175
3.0000,0.9755,4.0747,4.177
3.2000,0.8315,3.4703,4.1735
3.4000,1.115,4.6629,4.182
3.6000,1.009,4.2161,4.1785
3.8000,0.992,4.1436,4.177
4.0000,0.808,3.375,4.177
4.2000,0.875,3.6562,4.1785
4.4000,1.096,4.578,4.177
4.6000,1.038,4.3357,4.177
4.8000,1.0985,4.5912,4.1795
5.0000,1.0175,4.2506,4.1775
5.2000,1.0365,4.3274,4.175
5.4000,1.094,4.5696,4.177
5.6000,0.917,3.8285,4.175
5.8000,1.148,4.7952,4.177
6.0000,1.1095,4.6349,4.1775
6.2000,1.1555,4.8283,4.1785
6.4000,1.1415,4.7698,4.1785
6.6000,0.98,4.0935,4.177
6.8000,0.9405,3.9266,4.175
7.0000,1.1115,4.6405,4.175
7.2000,0.788,3.2919,4.1775
7.4000,0.9465,3.954,4.1775
7.6000,0.9595,4.0117,4.181
7.8000,1.027,4.2877,4.175
8.0000,0.797,3.3291,4.177
8.2000,0.961,4.0131,4.176
8.4000,0.74,3.0895,4.175
8.6000,1.0825,4.5205,4.176
8.8000,1.221,5.1019,4.1785
9.0000,0.944,3.9421,4.176
9.2000,0.8535,3.5651,4.177
9.4000,1.183,4.9461,4.181
9.6000,0.9145,3.8212,4.1785
9.8000,0.9735,4.0668,4.1775
10.0000,1.044,4.3624,4.1785
10.2000,0.976,4.0792,4.1795
10.4000,0.9275,3.8765,4.1795
10.6000,1.019,4.2564,4.177
10.8000,0.793,3.3128,4.1775
11.0000,0.8215,3.4298,4.175
11.2000,0.8745,3.651,4.175
11.4000,1.033,4.3148,4.177
11.6000,0.941,3.9306,4.177
11.8000,0.9575,4,4.1775
12.0000,0.933,3.8985,4.1785
12.2000,0.933,3.8995,4.1795
12.4000,1.046,4.3707,4.1785
12.6000,0.9845,4.1137,4.1785
12.8000,1.1365,4.7477,4.1775
13.0000,0.9285,3.883,4.182
13.2000,0.9835,4.1086,4.1775
13.4000,1.14,4.7618,4.177
13.6000,1.0355,4.3253,4.177
14.0000,0.953,3.9812,4.1775
14.2000,0.8045,3.3608,4.1775
14.4000,0.8205,3.4285,4.1785
14.6000,0.924,3.8577,4.175
14.8000,0.8905,3.7187,4.176
15.0000,1.0705,4.472,4.1775
15.2000,0.9605,4.0125,4.1775
15.4000,1.08,4.5112,4.177
15.6000,0.9895,4.1331,4.177
15.8000,1.0845,4.53,4.177
16.0000,0.788,3.2899,4.175
16.2000,0.9215,3.8491,4.177
16.4000,1.148,4.7969,4.1785
16.6000,0.939,3.9227,4.1775
16.8000,0.805,3.3625,4.177
17.0000,1.0715,4.4757,4.177
17.2000,0.821,3.4293,4.177
17.4000,1.1315,4.7263,4.177
17.6000,0.8125,3.3922,4.175
17.8000,1.0015,4.1848,4.1785
18.0000,0.9865,4.1186,4.175
18.2000,0.9515,3.9744,4.177
18.4000,1.0745,4.486,4.175
18.6000,0.944,3.9431,4.177
18.8000,0.83,3.4653,4.175
19.0000,0.9735,4.0697,4.1805
19.2000,0.911,3.8089,4.181
19.4000,0.8595,3.5893,4.176
19.6000,0.7935,3.3144,4.177
19.8000,0.9205,3.844,4.176
20.0000,0.9515,3.9768,4.1795
20.2000,1.0095,4.2182,4.1785
20.4000,0.9195,3.8398,4.176
20.6000,0.826,3.4494,4.176
20.8000,1.134,4.7396,4.1795
21.0000,0.9465,3.9516,4.175
21.2000,0.976,4.0792,4.1795
21.4000,1.151,4.8043,4.174
21.6000,0.9145,3.8171,4.174
21.8000,0.7965,3.3274,4.1775
22.0000,1.132,4.7284,4.177
22.2000,1.1055,4.6177,4.177
22.4000,1.039,4.3399,4.177
22.6000,1.0335,4.3185,4.1785
22.8000,1.187,4.9599,4.1785
23.0000,1.0775,4.4986,4.175
23.2000,0.922,3.8503,4.176
23.4000,0.9595,4.0093,4.1785
23.6000,0.9895,4.1346,4.1785
23.8000,1.118,4.6716,4.1785
24.0000,0.95,3.9705,4.1795
24.2000,0.9645,4.0302,4.1785
24.4000,1.0025,4.1889,4.1785
24.6000,0.9695,4.0535,4.181
24.8000,0.815,3.4047,4.1775
25.0000,0.793,3.3128,4.1775
25.2000,0.894,3.7333,4.176
25.4000,0.896,3.7417,4.176
25.6000,0.961,4.0165,4.1795
25.8000,0.94,3.9268,4.1775
26.0000,1.1265,4.7014,4.1735
26.2000,0.97,4.0556,4.181
26.4000,0.991,4.1394,4.177
26.6000,1.0465,4.3691,4.175
26.8000,1.0305,4.3085,4.181
27.0000,1.1485,4.799,4.1785
27.2000,1.0355,4.3279,4.1795
27.4000,0.9325,3.8951,4.177
27.6000,1.066,4.4553,4.1795
27.8000,1.126,4.7061,4.1795
28.0000,0.962,4.0197,4.1785
28.2000,0.8125,3.391,4.1735
28.4000,1.1255,4.7018,4.1775
28.6000,0.791,3.304,4.177
28.8000,0.9505,3.9669,4.1735
29.0000,0.9685,4.0454,4.177
29.2000,1.1445,4.7852,4.181
29.4000,0.9045,3.7763,4.175
29.6000,0.893,3.7301,4.177
29.8000,0.979,4.0908,4.1785
30.0000,0.9805,4.097,4.1785
30.2000,1.0125,4.2272,4.175
30.4000,0.921,3.8516,4.182
30.6000,1.091,4.5587,4.1785
30.8000,0.953,3.9773,4.1735
31.0000,0.8085,3.3755,4.175
31.2000,0.9355,3.909,4.1785
31.4000,0.959,4.0096,4.181
31.6000,0.928,3.8735,4.174
31.8000,1.0755,4.4951,4.1795
32.0000,1.096,4.5742,4.1735
32.2000,0.831,3.4682,4.1735
32.4000,1.03,4.3049,4.1795
32.6000,1.0375,4.3336,4.177
32.8000,0.9765,4.0803,4.1785
33.0000,0.9655,4.0329,4.177
33.2000,1.004,4.1952,4.1785
33.4000,0.9515,3.9725,4.175
33.6000,1.0305,4.3044,4.177
33.8000,1.153,4.819,4.1795
34.0000,1.134,4.7356,4.176
34.2000,0.8965,3.7429,4.175
34.4000,0.8015,3.3483,4.1775
34.6000,1.101,4.5967,4.175
34.8000,1.1015,4.5999,4.176
35.0000,0.9695,4.052,4.1795
35.2000,1.012,4.2286,4.1785
35.4000,0.6795,2.8386,4.1775
35.6000,1.0325,4.3117,4.176
35.8000,0.8045,3.3604,4.177
36.0000,0.8235,3.4369,4.1735
36.2000,1.027,4.2862,4.1735
36.4000,1.142,4.773,4.1795
36.6000,0.8915,3.726,4.1795
36.8000,1.0005,4.1791,4.177
37.0000,0.968,4.0433,4.177
37.2000,0.9855,4.1145,4.175
37.4000,1.147,4.7899,4.176
37.6000,1.072,4.4777,4.177
37.8000,0.954,3.9796,4.1715
38.0000,1.0825,4.5194,4.175
38.2000,1.1345,4.7377,4.176
38.4000,0.958,4.0006,4.176
38.6000,0.794,3.3157,4.176
38.8000,1.067,4.4585,4.1785
39.0000,1.1485,4.7973,4.177
39.2000,0.848,3.5421,4.177
39.4000,0.942,3.9352,4.1775
39.6000,0.644,2.6903,4.1775
39.8000,0.96,4.0104,4.1775
40.0000,1.0435,4.3577,4.176
40.2000,1.0295,4.3007,4.1775
40.4000,1.119,4.6707,4.174
40.6000,0.94,3.9264,4.177
40.8000,0.877,3.6606,4.174
41.0000,0.951,3.969,4.1735
41.2000,1.0085,4.214,4.1785
41.4000,1.1115,4.6444,4.1785
41.6000,0.997,4.1645,4.177
41.8000,0.7245,3.0241,4.174
42.0000,1.025,4.2814,4.177
42.2000,0.955,3.9871,4.175
42.4000,1.144,4.7773,4.176
42.6000,1.1105,4.6402,4.1785
42.8000,0.9725,4.066,4.181
43.0000,1.096,4.578,4.177
43.2000,0.9505,3.9669,4.1735
43.4000,0.807,3.37,4.176
43.6000,0.952,3.9765,4.177
43.8000,0.838,3.4995,4.176
44.0000,1.1255,4.704,4.1795
44.2000,1.0125,4.2333,4.181
44.4000,1.1385,4.7572,4.1785
44.6000,1.114,4.6548,4.1785
44.8000,1.091,4.556,4.176
45.0000,1.004,4.1902,4.1735
