Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.947,3.958,4.1795
0.2000,0.798,3.3332,4.177
0.4000,0.7255,3.0333,4.181
0.6000,1.0635,4.4449,4.1795
0.8000,0.764,3.1912,4.177
1.0000,0.8665,3.6185,4.176
1.2000,0.7515,3.1416,4.1805
1.4000,0.7875,3.2921,4.1805
1.6000,0.957,3.9964,4.176
1.8000,0.921,3.847,4.177
2.0000,0.775,3.2403,4.181
2.2000,0.786,3.2843,4.1785
2.4000,0.7715,3.2272,4.183
2.6000,0.7665,3.2044,4.1805
2.8000,1.103,4.6127,4.182
3.0000,0.5905,2.4668,4.1775
3.2000,1.0015,4.1823,4.176
3.4000,0.8895,3.7177,4.1795
3.6000,0.912,3.8076,4.175
3.8000,0.817,3.4126,4.177
4.0000,0.9065,3.7878,4.1785
4.2000,1.012,4.2236,4.1735
4.4000,0.861,3.5925,4.1725
4.6000,1.0595,4.4245,4.176
4.8000,0.8015,3.3483,4.1775
5.0000,0.7935,3.3156,4.1785
5.2000,0.782,3.2692,4.1805
5.4000,0.94,3.9264,4.177
5.6000,0.5895,2.4632,4.1785
5.8000,0.786,3.2816,4.175
6.0000,0.9065,3.7865,4.177
6.2000,0.766,3.1996,4.177
6.4000,0.76,3.1749,4.1775
6.6000,0.8765,3.6633,4.1795
6.8000,1.043,4.3566,4.177
7.0000,0.9725,4.0612,4.176
7.2000,0.978,4.0856,4.1775
7.4000,0.9475,3.9577,4.177
7.6000,0.9325,3.8974,4.1795
7.8000,0.7425,3.0981,4.1725
8.0000,0.781,3.2599,4.174
8.2000,0.78,3.2565,4.175
8.4000,0.5925,2.4749,4.177
8.6000,0.605,2.5274,4.1775
8.8000,0.7485,3.1269,4.1775
9.0000,0.881,3.6821,4.1795
9.2000,0.918,3.8313,4.1735
9.4000,0.832,3.4724,4.1735
9.6000,0.929,3.8841,4.181
9.8000,0.948,3.9631,4.1805
10.0000,0.8155,3.4063,4.177
10.2000,1.0505,4.3869,4.176
10.4000,0.7835,3.2699,4.1735
10.6000,1.091,4.5615,4.181
10.8000,0.9455,3.9465,4.174
11.0000,1.0645,4.448,4.1785
11.2000,0.77,3.214,4.174
11.4000,0.801,3.345,4.176
11.6000,0.9355,3.9099,4.1795
11.8000,0.876,3.6551,4.1725
12.0000,0.936,3.9087,4.176
12.2000,1.0835,4.5258,4.177
12.4000,0.979,4.0873,4.175
12.6000,0.953,3.9831,4.1795
12.8000,0.9715,4.0594,4.1785
13.0000,0.7165,2.9885,4.171
13.2000,0.8165,3.4117,4.1785
13.4000,0.782,3.2695,4.181
13.6000,0.801,3.345,4.176
14.0000,0.597,2.4946,4.1785
14.2000,0.712,2.974,4.177
14.4000,0.866,3.6177,4.1775
14.6000,1.028,4.2955,4.1785
14.8000,0.8095,3.3825,4.1785
15.0000,0.865,3.6131,4.177
15.2000,0.8035,3.3562,4.177
15.4000,0.9635,4.0245,4.177
15.6000,1.003,4.191,4.1785
15.8000,0.951,3.9728,4.1775
16.0000,1.1385,4.7561,4.1775
16.2000,0.805,3.3657,4.181
16.4000,0.765,3.1985,4.181
16.6000,0.7835,3.2699,4.1735
16.8000,0.5085,2.1248,4.1785
17.0000,0.883,3.6896,4.1785
17.2000,0.861,3.5947,4.175
17.4000,0.889,3.7134,4.177
17.6000,0.952,3.9822,4.183
17.8000,0.8615,3.5976,4.176
18.0000,0.982,4.1023,4.1775
18.2000,0.928,3.8744,4.175
18.4000,1.024,4.2808,4.1805
18.6000,0.9815,4.0997,4.177
