Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,1.106,4.6176,4.175
0.2000,1.0705,4.4715,4.177
0.4000,1.087,4.5371,4.174
0.6000,1.0385,4.3378,4.177
0.8000,1.079,4.5032,4.1735
1.0000,0.955,3.9871,4.175
1.2000,1.136,4.7411,4.1735
1.4000,1.101,4.5989,4.177
1.6000,0.788,3.2899,4.175
1.8000,0.98,4.0925,4.176
2.0000,0.831,3.4711,4.177
2.2000,0.961,4.0107,4.1735
2.4000,0.9915,4.142,4.1775
2.6000,1.0205,4.2626,4.177
2.8000,0.88,3.6762,4.1775
3.0000,0.814,3.4001,4.177
3.2000,1.0055,4.2025,4.1795
3.4000,0.961,4.0175,4.1805
3.6000,1.061,4.4307,4.176
3.8000,1.014,4.2319,4.1735
4.0000,0.988,4.1259,4.176
4.2000,1.0465,4.3702,4.176
4.4000,0.8875,3.7062,4.176
4.6000,0.993,4.1478,4.177
4.8000,1.183,4.9402,4.176
5.0000,0.9575,3.9985,4.176
5.2000,0.8085,3.3763,4.176
5.4000,1.0635,4.4401,4.175
5.6000,1.0495,4.3801,4.1735
5.8000,0.985,4.1134,4.176
6.0000,0.98,4.0959,4.1795
6.2000,0.905,3.7761,4.1725
6.4000,0.9615,4.0176,4.1785
6.6000,0.9635,4.0236,4.176
6.8000,1.1965,4.9978,4.177
7.0000,0.996,4.1608,4.1775
7.2000,0.7405,3.0908,4.174
7.4000,0.845,3.5266,4.1735
7.6000,0.868,3.6278,4.1795
7.8000,1.0055,4.205,4.182
8.0000,0.9185,3.8334,4.1735
8.2000,0.9805,4.098,4.1795
8.4000,0.9855,4.1135,4.174
8.6000,1.16,4.8453,4.177
8.8000,0.8895,3.7154,4.177
9.0000,1.114,4.651,4.175
9.2000,1.0695,4.4673,4.177
9.4000,0.9535,3.9809,4.175
9.6000,1.1355,4.7407,4.175
9.8000,1.1865,4.9536,4.175
10.0000,1.0585,4.4182,4.174
10.2000,0.943,3.937,4.175
10.4000,1.0025,4.1864,4.176
10.6000,0.9795,4.0879,4.1735
10.8000,0.979,4.0917,4.1795
11.0000,0.981,4.0981,4.1775
11.2000,0.966,4.0355,4.1775
11.4000,1.127,4.708,4.1775
11.6000,1.0175,4.2516,4.1785
11.8000,0.8335,3.4815,4.177
12.0000,1.0115,4.2266,4.1785
12.2000,0.8315,3.4703,4.1735
12.4000,0.765,3.1927,4.1735
12.6000,1.03,4.3049,4.1795
12.8000,0.9435,3.9358,4.1715
13.0000,0.8365,3.4916,4.174
13.2000,0.893,3.7301,4.177
13.4000,0.806,3.3667,4.177
13.6000,0.86,3.5896,4.174
13.8000,0.673,2.8104,4.176
14.0000,0.9665,4.0361,4.176
14.2000,0.7605,3.1758,4.176
14.4000,0.8935,3.7313,4.176
14.6000,0.945,3.9487,4.1785
14.8000,0.976,4.0733,4.1735
15.0000,1.008,4.2094,4.176
15.2000,1.0935,4.5626,4.1725
15.4000,1.0735,4.4819,4.175
15.6000,0.8285,3.4577,4.1735
15.8000,0.939,3.9203,4.175
16.0000,0.9705,4.0494,4.1725
16.2000,1.0985,4.5851,4.174
16.4000,1.01,4.2203,4.1785
16.6000,0.8275,3.4536,4.1735
16.8000,1.105,4.6161,4.1775
17.0000,1.021,4.2652,4.1775
17.2000,0.997,4.1635,4.176
17.4000,0.83,3.4653,4.175
17.6000,0.981,4.0947,4.174
17.8000,0.8075,3.3721,4.176
18.0000,0.9625,4.0194,4.176
18.2000,1.0545,4.4046,4.177
18.4000,0.9955,4.1547,4.1735
18.6000,0.8485,3.5442,4.177
18.8000,1.029,4.2961,4.175
19.0000,0.813,3.3951,4.176
19.2000,1.1075,4.6249,4.176
19.4000,1.104,4.6131,4.1785
19.6000,1.131,4.727,4.1795
19.8000,1.1455,4.7848,4.177
20.0000,1.0945,4.5717,4.177
20.2000,1.1335,4.7324,4.175
20.4000,1.0035,4.1916,4.177
20.6000,0.9625,4.0194,4.176
20.8000,0.937,3.9138,4.177
21.0000,0.9665,4.0361,4.176
21.2000,1.0105,4.2188,4.175
21.4000,0.885,3.6971,4.1775
21.6000,1.043,4.3566,4.177
21.8000,0.8315,3.4703,4.1735
22.0000,0.8245,3.439,4.171
22.2000,1.0485,4.3759,4.1735
22.4000,0.937,3.9106,4.1735
22.6000,1.1275,4.7045,4.1725
22.8000,0.9715,4.056,4.175
23.0000,1.0565,4.4135,4.1775
23.2000,0.9555,3.9878,4.1735
23.4000,0.923,3.8554,4.177
23.6000,1.059,4.4203,4.174
23.8000,1.168,4.8764,4.175
24.0000,0.9835,4.1081,4.177
24.2000,0.8295,3.4669,4.1795
24.4000,0.9875,4.1248,4.177
24.6000,1.1015,4.5971,4.1735
24.8000,0.875,3.6571,4.1795
25.0000,1.029,4.2935,4.1725
25.2000,0.843,3.5183,4.1735
25.4000,1.018,4.2466,4.1715
25.6000,0.995,4.1531,4.174
25.8000,0.9975,4.1631,4.1735
26.0000,1.1385,4.7555,4.177
26.2000,1.005,4.2004,4.1795
26.4000,0.8385,3.5016,4.176
26.6000,0.7425,3.0988,4.1735
26.8000,1.089,4.5455,4.174
27.0000,1.0795,4.5069,4.175
27.2000,0.9465,3.9516,4.175
27.4000,0.9475,3.9525,4.1715
27.6000,0.7635,3.1884,4.176
27.8000,0.8265,3.4523,4.177
28.0000,1.158,4.837,4.177
28.2000,1.134,4.7356,4.176
28.4000,0.9455,3.9508,4.1785
28.6000,1.106,4.6187,4.176
28.8000,1.0905,4.5539,4.176
29.0000,1.0735,4.4792,4.1725
29.2000,1.0435,4.3566,4.175
29.4000,1.11,4.6342,4.175
29.6000,1.0455,4.3723,4.182
29.8000,1.0305,4.3059,4.1785
30.0000,0.9285,3.8788,4.1775
30.2000,0.8325,3.4794,4.1795
30.4000,0.8385,3.4986,4.1725
30.6000,0.8525,3.563,4.1795
30.8000,0.805,3.3609,4.175
31.0000,0.836,3.4911,4.176
31.2000,1.027,4.2903,4.1775
31.4000,0.8255,3.4481,4.177
31.6000,1.059,4.4203,4.174
31.8000,1.1235,4.6929,4.177
32.0000,1.1635,4.8617,4.1785
32.2000,0.9565,3.9943,4.176
32.4000,0.979,4.0883,4.176
32.6000,0.885,3.6935,4.1735
32.8000,1.163,4.8608,4.1795
33.0000,0.85,3.5496,4.176
33.2000,1.0995,4.5904,4.175
33.4000,1.1675,4.8766,4.177
33.6000,0.9435,3.941,4.177
33.8000,0.986,4.1185,4.177
