Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,1.4075,5.8728,4.1725
0.2000,1.2945,5.4071,4.177
0.4000,1.414,5.9063,4.177
0.6000,1.5125,6.3177,4.177
0.8000,1.5435,6.4426,4.174
1.0000,1.3355,5.5757,4.175
1.2000,1.29,5.3858,4.175
1.4000,1.346,5.6196,4.175
1.6000,1.3415,5.5994,4.174
1.8000,1.358,5.6676,4.1735
2.0000,1.4365,5.9988,4.176
2.2000,1.46,6.0919,4.1725
2.4000,1.458,6.0872,4.175
2.6000,1.404,5.868,4.1795
2.8000,1.392,5.8144,4.177
3.0000,1.3655,5.7037,4.177
3.2000,1.5325,6.3944,4.1725
3.4000,1.339,5.593,4.177
3.6000,1.4065,5.8721,4.175
3.8000,1.5435,6.4472,4.177
4.0000,1.471,6.1429,4.176
4.2000,1.375,5.742,4.176
4.4000,1.453,6.0677,4.176
4.6000,1.398,5.8394,4.177
4.8000,1.417,5.9195,4.1775
5.0000,1.379,5.7587,4.176
5.2000,1.393,5.8172,4.176
5.4000,1.4955,6.2362,4.17
5.6000,1.427,5.9606,4.177
5.8000,1.4905,6.2266,4.1775
6.0000,1.415,5.9105,4.177
6.2000,1.5235,6.3644,4.1775
6.4000,1.38,5.7629,4.176
6.6000,1.3625,5.6932,4.1785
6.8000,1.3175,5.5006,4.175
7.0000,1.557,6.502,4.176
7.2000,1.4335,5.9813,4.1725
7.4000,1.4775,6.17,4.176
