Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.387,1.6171,4.1785
0.2000,0.387,1.6171,4.1785
0.4000,0.358,1.4959,4.1785
0.6000,0.375,1.5669,4.1785
0.8000,0.4935,2.0621,4.1785
1.0000,0.5045,2.1075,4.1775
1.2000,0.5665,2.3651,4.175
1.4000,0.406,1.6961,4.1775
1.6000,0.4585,1.9152,4.177
1.8000,0.388,1.6213,4.1785
2.0000,0.3985,1.6651,4.1785
2.2000,0.361,1.5081,4.1775
2.4000,0.357,1.4912,4.177
2.6000,0.357,1.4917,4.1785
2.8000,0.404,1.6881,4.1785
3.0000,0.3495,1.4604,4.1785
3.2000,0.4285,1.7901,4.1775
3.4000,0.373,1.559,4.1795
3.6000,0.3775,1.5768,4.177
3.8000,0.391,1.6334,4.1775
4.0000,0.3745,1.5645,4.1775
4.2000,0.3905,1.6317,4.1785
4.4000,0.3985,1.6647,4.1775
4.6000,0.4085,1.7069,4.1785
4.8000,0.476,1.9878,4.176
5.0000,0.3625,1.5143,4.1775
5.2000,0.3635,1.5185,4.1775
5.4000,0.392,1.6374,4.177
5.6000,0.3655,1.5272,4.1785
5.8000,0.413,1.7257,4.1785
6.0000,0.4295,1.7951,4.1795
6.2000,0.464,1.9388,4.1785
6.4000,0.348,1.4536,4.177
6.6000,0.4555,1.9026,4.177
6.8000,0.389,1.6254,4.1785
7.0000,0.3965,1.6562,4.177
7.2000,0.37,1.546,4.1785
7.4000,0.4325,1.8076,4.1795
7.6000,0.356,1.4875,4.1785
7.8000,0.393,1.6418,4.1775
8.0000,0.35,1.4621,4.1775
8.2000,0.398,1.6626,4.1775
8.4000,0.383,1.5998,4.177
8.6000,0.388,1.6209,4.1775
8.8000,0.3875,1.6192,4.1785
9.0000,0.3785,1.5812,4.1775
9.2000,0.3615,1.5102,4.1775
9.4000,0.399,1.6676,4.1795
9.6000,0.3495,1.46,4.1775
9.8000,0.395,1.6499,4.177
10.0000,0.3825,1.5979,4.1775
10.2000,0.368,1.5373,4.1775
10.4000,0.3535,1.4767,4.1775
10.6000,0.4125,1.7236,4.1785
10.8000,0.3575,1.4935,4.1775
11.0000,0.4155,1.7355,4.177
11.2000,0.3815,1.5935,4.177
11.4000,0.3805,1.5893,4.177
11.6000,0.35,1.4625,4.1785
11.8000,0.5015,2.0948,4.177
12.0000,0.3735,1.5607,4.1785
12.2000,0.3485,1.4559,4.1775
12.4000,0.35,1.462,4.177
12.6000,0.391,1.6338,4.1785
12.8000,0.572,2.3892,4.177
13.0000,0.4625,1.9319,4.177
13.2000,0.4405,1.84,4.177
13.4000,0.3825,1.5983,4.1785
13.6000,0.375,1.5666,4.1775
14.0000,0.4115,1.719,4.1775
14.2000,0.3795,1.5854,4.1775
14.4000,0.364,1.521,4.1785
14.6000,0.375,1.5669,4.1785
14.8000,0.384,1.6045,4.1785
15.0000,0.4545,1.8987,4.1775
15.2000,0.398,1.663,4.1785
15.4000,0.3575,1.4935,4.1775
15.6000,0.389,1.6249,4.177
15.8000,0.334,1.3951,4.177
16.0000,0.391,1.6334,4.1775
16.2000,0.384,1.604,4.177
16.4000,0.356,1.487,4.177
16.6000,0.3605,1.5054,4.176
16.8000,0.3985,1.6651,4.1785
17.0000,0.455,1.9012,4.1785
17.2000,0.3495,1.46,4.1775
17.4000,0.3485,1.4559,4.1775
17.6000,0.407,1.7,4.177
17.8000,0.3755,1.5687,4.1775
18.0000,0.337,1.4082,4.1785
18.2000,0.39,1.6292,4.1775
18.4000,0.3705,1.5478,4.1775
18.6000,0.38,1.5874,4.1775
18.8000,0.356,1.4872,4.1775
19.0000,0.4055,1.6938,4.177
19.2000,0.3755,1.5687,4.1775
19.4000,0.367,1.533,4.177
19.6000,0.365,1.5248,4.1775
19.8000,0.383,1.6004,4.1785
20.0000,0.3845,1.6062,4.1775
20.2000,0.4555,1.9026,4.177
20.4000,0.3575,1.4935,4.1775
20.6000,0.3995,1.6693,4.1785
20.8000,0.3435,1.435,4.1775
21.0000,0.4085,1.7069,4.1785
21.2000,0.3485,1.4557,4.177
21.4000,0.3895,1.6269,4.177
21.6000,0.347,1.4494,4.177
21.8000,0.3905,1.6313,4.1775
22.0000,0.386,1.6123,4.177
22.2000,0.3485,1.4559,4.1775
22.4000,0.372,1.554,4.1775
22.6000,0.35,1.4625,4.1785
22.8000,0.375,1.5664,4.177
23.0000,0.3885,1.623,4.1775
23.2000,0.3975,1.6604,4.177
23.4000,0.3855,1.6104,4.1775
23.6000,0.3765,1.5723,4.176
23.8000,0.352,1.4708,4.1785
24.0000,0.524,2.1887,4.177
24.2000,0.374,1.5628,4.1785
24.4000,0.403,1.6839,4.1785
24.6000,0.354,1.4788,4.1775
24.8000,0.3485,1.4559,4.1775
25.0000,0.384,1.6045,4.1785
25.2000,0.3585,1.498,4.1785
25.4000,0.365,1.5248,4.1775
25.6000,0.3645,1.5227,4.1775
25.8000,0.3625,1.5142,4.177
26.0000,0.434,1.813,4.1775
26.2000,0.38,1.5874,4.1775
26.4000,0.361,1.5079,4.177
26.6000,0.3315,1.3852,4.1785
26.8000,0.3905,1.6311,4.177
27.0000,0.386,1.6129,4.1785
27.2000,0.388,1.6213,4.1785
27.4000,0.3515,1.4684,4.1775
27.6000,0.342,1.429,4.1785
27.8000,0.359,1.4997,4.1775
28.0000,0.402,1.6794,4.1775
28.2000,0.3595,1.5016,4.177
28.4000,0.3515,1.4687,4.1785
28.6000,0.3545,1.4807,4.177
28.8000,0.346,1.4458,4.1785
29.0000,0.3935,1.6436,4.177
29.2000,0.3785,1.5816,4.1785
29.4000,0.365,1.5246,4.177
29.6000,0.3515,1.4687,4.1785
29.8000,0.3515,1.4687,4.1785
30.0000,0.381,1.592,4.1785
30.2000,0.3875,1.6188,4.1775
30.4000,0.376,1.5706,4.177
30.6000,0.4205,1.7566,4.1775
30.8000,0.3865,1.6144,4.177
31.0000,0.5785,2.4173,4.1785
31.2000,0.36,1.5037,4.177
31.4000,0.3515,1.4687,4.1785
31.6000,0.344,1.4371,4.1775
31.8000,0.3585,1.4976,4.1775
32.0000,0.5195,2.17,4.177
32.2000,0.3765,1.5732,4.1785
32.4000,0.3945,1.6484,4.1785
32.6000,0.38,1.5874,4.1775
32.8000,0.3595,1.5016,4.177
33.0000,0.526,2.1974,4.1775
33.2000,0.354,1.4788,4.1775
33.4000,0.381,1.592,4.1785
33.6000,0.3515,1.4684,4.1775
33.8000,0.3515,1.4687,4.1785
34.0000,0.3915,1.6353,4.177
34.2000,0.39,1.63,4.1795
34.4000,0.3655,1.5272,4.1785
34.6000,0.3515,1.4684,4.1775
34.8000,0.363,1.5163,4.177
35.0000,0.3925,1.6395,4.177
35.2000,0.4875,2.0365,4.1775
35.4000,0.433,1.8086,4.177
35.6000,0.42,1.7543,4.177
35.8000,0.3765,1.5732,4.1785
36.0000,0.3845,1.6062,4.1775
36.2000,0.3425,1.4308,4.1775
36.4000,0.385,1.6087,4.1785
36.6000,0.352,1.4703,4.177
36.8000,0.367,1.5335,4.1785
37.0000,0.522,2.1812,4.1785
37.2000,0.3505,1.4642,4.1775
37.4000,0.3355,1.4016,4.1775
37.6000,0.3535,1.4767,4.1775
37.8000,0.377,1.5753,4.1785
38.0000,0.5095,2.1282,4.177
38.2000,0.384,1.604,4.177
38.4000,0.36,1.5043,4.1785
38.6000,0.388,1.6213,4.1785
38.8000,0.351,1.4667,4.1785
39.0000,0.377,1.5747,4.177
39.2000,0.3935,1.6438,4.1775
39.4000,0.4205,1.7571,4.1785
39.6000,0.415,1.7345,4.1795
39.8000,0.3505,1.4642,4.1775
40.0000,0.4195,1.7525,4.1775
40.2000,0.346,1.4454,4.1775
40.4000,0.3645,1.5227,4.1775
40.6000,0.3655,1.5269,4.1775
40.8000,0.3515,1.4684,4.1775
41.0000,0.47,1.9639,4.1785
41.2000,0.3705,1.5481,4.1785
41.4000,0.348,1.4536,4.177
41.6000,0.4155,1.7358,4.1775
41.8000,0.39,1.6292,4.1775
42.0000,0.3985,1.6647,4.1775
42.2000,0.37,1.546,4.1785
42.4000,0.348,1.4541,4.1785
42.6000,0.3835,1.6025,4.1785
42.8000,0.352,1.4708,4.1785
43.0000,0.401,1.6752,4.1775
43.2000,0.385,1.6083,4.1775
43.4000,0.353,1.4745,4.177
43.6000,0.403,1.6839,4.1785
43.8000,0.3945,1.6478,4.177
44.0000,0.408,1.7048,4.1785
44.2000,0.3925,1.6401,4.1785
44.4000,0.353,1.475,4.1785
44.6000,0.352,1.4708,4.1785
44.8000,0.351,1.4667,4.1785
45.0000,0.397,1.6583,4.177
45.2000,0.3515,1.4684,4.1775
45.4000,0.366,1.529,4.1775
45.6000,0.374,1.5628,4.1785
45.8000,0.3765,1.5726,4.177
46.0000,0.392,1.6376,4.1775
46.2000,0.47,1.9639,4.1785
46.4000,0.391,1.6334,4.1775
46.6000,0.353,1.475,4.1785
46.8000,0.3675,1.5352,4.1775
47.0000,0.3815,1.5937,4.1775
47.2000,0.5545,2.3161,4.177
47.4000,0.402,1.6792,4.177
47.6000,0.351,1.4663,4.1775
47.8000,0.3475,1.4515,4.177
48.0000,0.399,1.6666,4.177
48.2000,0.3755,1.5687,4.1775
48.4000,0.351,1.4663,4.1775
48.6000,0.3775,1.5774,4.1785
48.8000,0.3705,1.5481,4.1785
49.0000,0.3785,1.5816,4.1785
49.2000,0.393,1.6416,4.177
49.4000,0.3535,1.4767,4.1775
49.6000,0.379,1.5827,4.176
49.8000,0.352,1.4708,4.1785
50.0000,0.403,1.6835,4.1775
50.2000,0.339,1.4162,4.1775
50.4000,0.367,1.5335,4.1785
50.6000,0.366,1.5297,4.1795
50.8000,0.352,1.4705,4.1775
51.0000,0.37,1.5457,4.1775
51.2000,0.3445,1.4395,4.1785
51.4000,0.3845,1.6057,4.176
51.6000,0.36,1.5039,4.1775
51.8000,0.3595,1.5016,4.177
52.0000,0.392,1.6376,4.1775
52.2000,0.3735,1.5601,4.177
52.4000,0.356,1.4872,4.1775
52.6000,0.351,1.4667,4.1785
52.8000,0.351,1.4667,4.1785
53.0000,0.373,1.5586,4.1785
53.2000,0.373,1.5582,4.1775
53.4000,0.3605,1.506,4.1775
53.6000,0.3955,1.6526,4.1785
53.8000,0.3435,1.435,4.1775
54.0000,0.375,1.5666,4.1775
54.2000,0.368,1.5377,4.1785
54.4000,0.392,1.638,4.1785
54.6000,0.371,1.5502,4.1785
54.8000,0.351,1.4667,4.1785
55.0000,0.386,1.6123,4.177
55.2000,0.349,1.4578,4.177
55.4000,0.395,1.6501,4.1775
55.6000,0.3695,1.544,4.1785
55.8000,0.392,1.6376,4.1775
56.0000,0.3515,1.4684,4.1775
56.2000,0.3885,1.623,4.1775
56.4000,0.3765,1.5728,4.1775
56.6000,0.3655,1.5272,4.1785
56.8000,0.398,1.6626,4.1775
57.0000,0.376,1.5711,4.1785
57.2000,0.3855,1.6104,4.1775
57.4000,0.3945,1.6478,4.177
57.6000,0.3425,1.4311,4.1785
57.8000,0.344,1.4365,4.176
58.0000,0.3665,1.5314,4.1785
58.2000,0.425,1.7759,4.1785
58.4000,0.543,2.2681,4.177
58.6000,0.392,1.6374,4.177
58.8000,0.3775,1.5774,4.1785
59.0000,0.3915,1.6355,4.1775
59.2000,0.389,1.625,4.1775
59.4000,0.412,1.722,4.1795
59.6000,0.3685,1.5394,4.1775
59.8000,0.3595,1.5016,4.177
