Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.9225,3.8533,4.177
0.2000,1.0045,4.1948,4.176
0.4000,0.859,3.5915,4.181
0.6000,0.956,3.9899,4.1735
0.8000,0.867,3.6167,4.1715
1.0000,0.7935,3.3164,4.1795
1.2000,0.834,3.4849,4.1785
1.4000,0.83,3.469,4.1795
1.6000,0.706,2.9458,4.1725
1.8000,0.8995,3.7554,4.175
2.0000,0.9075,3.7897,4.176
2.2000,0.877,3.6632,4.177
2.4000,0.773,3.2288,4.177
2.6000,0.8345,3.487,4.1785
2.8000,0.74,3.091,4.177
3.0000,0.7885,3.2908,4.1735
3.2000,0.709,2.9608,4.176
3.4000,0.7275,3.0399,4.1785
3.6000,0.854,3.5672,4.177
3.8000,0.712,2.9751,4.1785
4.0000,0.87,3.634,4.177
4.2000,0.6365,2.658,4.176
4.4000,0.774,3.2334,4.1775
4.6000,0.888,3.7061,4.1735
4.8000,0.6075,2.5369,4.176
5.0000,0.6035,2.5202,4.176
5.2000,0.62,2.5907,4.1785
5.4000,0.721,3.0091,4.1735
5.6000,0.632,2.6402,4.1775
5.8000,0.7785,3.2475,4.1715
6.0000,0.914,3.8191,4.1785
6.2000,0.8105,3.3846,4.176
6.4000,0.8655,3.6135,4.175
6.6000,0.892,3.7219,4.1725
6.8000,0.597,2.4916,4.1735
7.0000,0.8845,3.6946,4.177
7.2000,0.8015,3.3479,4.177
7.4000,0.9025,3.7679,4.175
7.6000,0.9575,4.0019,4.1795
7.8000,0.8335,3.4786,4.1735
8.0000,0.9175,3.8315,4.176
8.2000,0.709,2.9675,4.1855
8.4000,0.8375,3.5016,4.181
8.6000,0.9045,3.7795,4.1785
8.8000,0.8445,3.5245,4.1735
9.0000,0.671,2.7991,4.1715
9.2000,0.843,3.5212,4.177
9.4000,0.9295,3.8858,4.1805
9.6000,0.6905,2.8846,4.1775
9.8000,0.758,3.1662,4.177
10.0000,0.557,2.326,4.176
10.2000,0.828,3.4586,4.177
10.4000,0.9405,3.9252,4.1735
10.6000,0.807,3.3672,4.1725
10.8000,0.8625,3.6018,4.176
11.0000,0.841,3.5082,4.1715
11.2000,0.834,3.482,4.175
11.4000,0.868,3.6226,4.1735
11.6000,0.773,3.2261,4.1735
11.8000,0.687,2.8682,4.175
12.0000,0.9075,3.7875,4.1735
12.2000,0.9205,3.8472,4.1795
12.4000,0.8535,3.5634,4.175
12.6000,0.8685,3.6308,4.1805
12.8000,0.641,2.6762,4.175
13.0000,0.8555,3.5726,4.176
13.2000,0.883,3.6852,4.1735
13.4000,0.9,3.7629,4.181
13.6000,0.8825,3.6844,4.175
14.0000,0.7605,3.177,4.1775
14.2000,0.858,3.583,4.176
14.4000,0.7655,3.1948,4.1735
14.6000,0.7945,3.317,4.175
14.8000,0.6505,2.7165,4.176
15.0000,0.8085,3.3743,4.1735
15.2000,0.8165,3.4105,4.177
15.4000,0.6895,2.8818,4.1795
15.6000,0.762,3.1829,4.177
15.8000,0.904,3.771,4.1715
16.0000,0.93,3.8851,4.1775
16.2000,0.777,3.2486,4.181
16.4000,0.701,2.9267,4.175
16.6000,0.6705,2.7987,4.174
16.8000,0.8445,3.5275,4.177
17.0000,0.6445,2.6914,4.176
17.2000,0.857,3.584,4.182
17.4000,0.808,3.3714,4.1725
17.6000,0.94,3.9245,4.175
17.8000,0.831,3.4711,4.177
18.0000,0.86,3.5935,4.1785
18.2000,0.9265,3.8705,4.1775
18.4000,0.8885,3.7117,4.1775
