Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.989,4.1291,4.175
0.2000,1.0425,4.3545,4.177
0.4000,1.115,4.6574,4.177
0.6000,0.983,4.1006,4.1715
0.8000,1.0035,4.1916,4.177
1.0000,0.984,4.1126,4.1795
1.2000,1.0525,4.3989,4.1795
1.4000,0.9865,4.1196,4.176
1.6000,1.018,4.2522,4.177
1.8000,0.9875,4.1248,4.177
2.0000,0.9555,3.9911,4.177
2.2000,1.0275,4.2898,4.175
2.4000,0.8775,3.6653,4.177
2.6000,1.057,4.4151,4.177
2.8000,1.003,4.186,4.1735
3.0000,0.769,3.2121,4.177
3.2000,0.96,4.0114,4.1785
3.4000,0.918,3.8327,4.175
3.6000,0.8655,3.6156,4.1775
3.8000,0.8245,3.4439,4.177
4.0000,0.9085,3.7971,4.1795
4.2000,0.915,3.8233,4.1785
4.4000,0.928,3.8753,4.176
4.6000,0.726,3.0318,4.176
4.8000,0.7935,3.3144,4.177
5.0000,0.836,3.492,4.177
5.2000,0.8745,3.6572,4.182
5.4000,0.878,3.6665,4.176
5.6000,0.835,3.487,4.176
5.8000,0.805,3.3637,4.1785
6.0000,0.914,3.8146,4.1735
6.2000,0.91,3.8002,4.176
6.4000,0.776,3.2398,4.175
6.6000,0.933,3.8976,4.1775
6.8000,0.918,3.8345,4.177
7.0000,0.914,3.8169,4.176
7.2000,0.9015,3.7669,4.1785
7.4000,0.882,3.6832,4.176
7.6000,0.926,3.8693,4.1785
7.8000,0.9335,3.8992,4.177
8.0000,0.8805,3.6778,4.177
8.2000,0.9015,3.766,4.1775
8.4000,0.807,3.3708,4.177
8.6000,0.858,3.5813,4.174
8.8000,0.9355,3.9099,4.1795
9.0000,0.993,4.1493,4.1785
9.2000,0.846,3.5337,4.177
9.4000,0.8935,3.7353,4.1805
9.6000,0.901,3.7657,4.1795
9.8000,0.783,3.2682,4.174
10.0000,0.909,3.7973,4.1775
10.2000,0.631,2.6357,4.177
10.4000,0.908,3.7941,4.1785
10.6000,0.7375,3.0805,4.177
10.8000,0.724,3.0241,4.177
11.0000,0.874,3.6498,4.176
11.2000,0.759,3.1703,4.177
11.4000,0.736,3.0761,4.1795
11.6000,0.8645,3.6132,4.1795
11.8000,0.7335,3.0638,4.177
12.0000,0.7355,3.0733,4.1785
12.2000,0.838,3.5007,4.1775
12.4000,0.7425,3.1018,4.1775
12.6000,0.912,3.8131,4.181
12.8000,0.885,3.6997,4.1805
13.0000,0.9175,3.8306,4.175
13.2000,1.08,4.5155,4.181
13.4000,1.007,4.2052,4.176
13.6000,1.054,4.4041,4.1785
14.0000,0.8395,3.5099,4.181
14.2000,0.976,4.0792,4.1795
14.4000,0.911,3.8075,4.1795
14.6000,0.999,4.1733,4.1775
14.8000,1.0955,4.588,4.188
15.0000,0.689,2.8804,4.1805
15.2000,0.711,2.9716,4.1795
15.4000,1.058,4.4193,4.177
15.6000,0.9835,4.1061,4.175
15.8000,0.9975,4.1646,4.175
16.0000,0.784,3.2748,4.177
16.2000,1.0605,4.4302,4.1775
16.4000,0.8405,3.5091,4.175
16.6000,0.692,2.8905,4.177
16.8000,0.7245,3.0248,4.175
17.0000,0.8535,3.5663,4.1785
17.2000,0.9285,3.8807,4.1795
17.4000,0.943,3.9389,4.177
17.6000,0.953,3.9821,4.1785
17.8000,0.9115,3.8137,4.184
18.0000,0.939,3.9246,4.1795
18.2000,0.889,3.7134,4.177
18.4000,1.211,5.0614,4.1795
18.6000,1.015,4.2397,4.177
18.8000,0.9295,3.8839,4.1785
19.0000,1.004,4.1907,4.174
19.2000,1.013,4.2328,4.1785
19.4000,0.924,3.8586,4.176
19.6000,0.9975,4.1646,4.175
19.8000,0.9925,4.1437,4.175
20.0000,0.9775,4.0855,4.1795
20.2000,1.066,4.4527,4.177
20.4000,0.9865,4.1221,4.1785
20.6000,0.985,4.1143,4.177
20.8000,1.0155,4.2372,4.1725
21.0000,1.0895,4.5552,4.181
21.2000,1.0105,4.2259,4.182
21.4000,1.0035,4.1951,4.1805
21.6000,0.9045,3.7804,4.1795
21.8000,1.0435,4.3587,4.177
22.0000,0.953,3.9807,4.177
22.2000,0.9155,3.8222,4.175
22.4000,1.04,4.3456,4.1785
22.6000,0.8675,3.6257,4.1795
22.8000,0.8585,3.5894,4.181
23.0000,0.8275,3.4598,4.181
23.2000,0.7555,3.1561,4.1775
23.4000,0.9155,3.8213,4.174
23.6000,0.7555,3.1557,4.177
23.8000,0.752,3.1411,4.177
24.0000,0.838,3.5024,4.1795
24.2000,0.8285,3.4606,4.177
24.4000,0.905,3.7824,4.1795
24.6000,0.853,3.563,4.177
24.8000,0.8915,3.7242,4.1775
25.0000,0.8325,3.4765,4.176
25.2000,0.9305,3.8848,4.175
25.4000,0.939,3.9236,4.1785
25.6000,0.779,3.2531,4.176
25.8000,0.9445,3.9456,4.1775
26.0000,0.9365,3.9141,4.1795
26.2000,0.9675,4.0417,4.1775
26.4000,0.9155,3.8222,4.175
26.6000,1.04,4.342,4.175
26.8000,0.865,3.6114,4.175
27.0000,0.854,3.5646,4.174
