Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.964,4.0281,4.1785
0.2000,0.884,3.6876,4.1715
0.4000,0.835,3.489,4.1785
0.6000,0.865,3.6114,4.175
0.8000,0.858,3.583,4.176
1.0000,0.7745,3.2355,4.1775
1.2000,0.887,3.7054,4.1775
1.4000,0.806,3.3679,4.1785
1.6000,0.8845,3.6968,4.1795
1.8000,0.9055,3.7796,4.174
2.0000,0.9255,3.8672,4.1785
2.2000,0.911,3.8043,4.176
2.4000,0.908,3.7963,4.181
2.6000,0.871,3.6386,4.1775
2.8000,0.725,3.0269,4.175
3.0000,0.76,3.1749,4.1775
3.2000,0.884,3.6885,4.1725
3.4000,0.7545,3.1519,4.1775
3.6000,0.751,3.1381,4.1785
3.8000,0.8985,3.753,4.177
4.0000,0.831,3.4703,4.176
4.2000,0.8965,3.7492,4.182
4.4000,0.6585,2.7499,4.176
4.6000,0.891,3.7248,4.1805
4.8000,0.854,3.5714,4.182
5.0000,0.734,3.0659,4.177
5.2000,0.828,3.4606,4.1795
5.4000,0.862,3.5989,4.175
5.6000,0.8525,3.5622,4.1785
5.8000,0.8305,3.4665,4.174
6.0000,0.9445,3.9475,4.1795
6.2000,0.725,3.0287,4.1775
6.4000,0.905,3.7824,4.1795
6.6000,0.5995,2.5041,4.177
6.8000,0.824,3.4431,4.1785
7.0000,0.789,3.2984,4.1805
7.2000,0.767,3.2049,4.1785
7.4000,0.8965,3.7429,4.175
7.6000,0.8055,3.3706,4.1845
7.8000,0.891,3.723,4.1785
8.0000,0.789,3.2909,4.171
8.2000,0.7305,3.0517,4.1775
8.4000,0.727,3.036,4.176
8.6000,0.7115,2.9723,4.1775
8.8000,0.7345,3.0673,4.176
9.0000,0.7215,3.0137,4.177
9.2000,0.837,3.4966,4.1775
9.4000,0.73,3.0492,4.177
9.6000,0.845,3.5308,4.1785
9.8000,0.8555,3.5747,4.1785
10.0000,0.908,3.7941,4.1785
10.2000,0.817,3.4126,4.177
10.4000,0.841,3.5141,4.1785
10.6000,0.8745,3.651,4.175
10.8000,0.868,3.6248,4.176
11.0000,0.88,3.6727,4.1735
11.2000,0.9015,3.7669,4.1785
11.4000,0.766,3.1988,4.176
11.6000,0.912,3.8085,4.176
11.8000,0.894,3.7378,4.181
12.0000,0.894,3.7356,4.1785
12.2000,0.986,4.1225,4.181
12.4000,0.901,3.7617,4.175
12.6000,0.909,3.7937,4.1735
12.8000,0.9185,3.838,4.1785
13.0000,0.8795,3.6759,4.1795
13.2000,0.93,3.8869,4.1795
13.4000,0.9285,3.8756,4.174
13.6000,0.868,3.6226,4.1735
14.0000,0.7675,3.207,4.1785
14.2000,0.9825,4.1098,4.183
14.4000,0.8755,3.6605,4.181
14.6000,0.8795,3.6719,4.175
14.8000,0.831,3.4723,4.1785
15.0000,0.9215,3.8473,4.175
15.2000,0.911,3.8066,4.1785
15.4000,0.892,3.7281,4.1795
15.6000,0.829,3.466,4.181
15.8000,0.833,3.4794,4.177
16.0000,0.883,3.6865,4.175
16.2000,0.918,3.8327,4.175
16.4000,0.88,3.6758,4.177
16.6000,0.9265,3.8705,4.1775
16.8000,0.736,3.0761,4.1795
17.0000,0.73,3.0492,4.177
17.2000,0.8875,3.7062,4.176
17.4000,0.7695,3.2134,4.176
17.6000,0.7385,3.0847,4.177
17.8000,0.8735,3.6477,4.176
18.0000,0.7535,3.1466,4.176
18.2000,0.9355,3.9099,4.1795
18.4000,0.93,3.8828,4.175
18.6000,0.882,3.6854,4.1785
18.8000,0.9365,3.9141,4.1795
19.0000,0.891,3.7199,4.175
19.2000,0.9045,3.7781,4.177
19.4000,0.8845,3.6906,4.1725
19.6000,0.895,3.7384,4.177
19.8000,0.8275,3.4569,4.1775
20.0000,0.817,3.4147,4.1795
20.2000,0.8005,3.3409,4.1735
20.4000,0.718,2.9984,4.176
20.6000,0.857,3.5818,4.1795
20.8000,0.861,3.5968,4.1775
21.0000,0.8945,3.7354,4.176
21.2000,0.899,3.7542,4.176
21.4000,0.8285,3.4627,4.1795
21.6000,0.777,3.2448,4.176
21.8000,0.9545,3.9917,4.182
22.0000,0.737,3.0777,4.176
22.2000,0.7515,3.139,4.177
22.4000,0.883,3.6918,4.181
22.6000,0.805,3.3581,4.1715
22.8000,0.8425,3.5183,4.176
23.0000,0.7955,3.3192,4.1725
23.2000,0.8815,3.6833,4.1785
23.4000,0.9305,3.8848,4.175
23.6000,0.897,3.7472,4.1775
23.8000,0.8795,3.6741,4.1775
24.0000,0.6115,2.5542,4.177
24.2000,0.796,3.3249,4.177
24.4000,0.952,3.9779,4.1785
24.6000,0.7915,3.3033,4.1735
24.8000,0.889,3.7156,4.1795
25.0000,0.8845,3.695,4.1775
25.2000,0.8885,3.7135,4.1795
25.4000,0.655,2.7359,4.177
25.6000,0.9695,4.052,4.1795
25.8000,0.8845,3.6937,4.176
26.0000,0.9655,4.0353,4.1795
26.2000,0.934,3.8995,4.175
26.4000,0.866,3.6164,4.176
26.6000,0.907,3.7899,4.1785
26.8000,0.892,3.725,4.176
27.0000,0.8725,3.6444,4.177
27.2000,0.9555,3.9878,4.1735
27.4000,0.8485,3.5442,4.177
27.6000,0.8345,3.4849,4.176
27.8000,0.861,3.5968,4.1775
28.0000,0.9285,3.8807,4.1795
28.2000,0.9145,3.819,4.176
28.4000,0.823,3.4389,4.1785
28.6000,0.855,3.5735,4.1795
28.8000,0.851,3.5559,4.1785
29.0000,0.772,3.2285,4.182
29.2000,0.7625,3.185,4.177
29.4000,0.8265,3.4515,4.176
29.6000,0.8975,3.748,4.176
29.8000,0.8155,3.4063,4.177
30.0000,0.7905,3.3019,4.177
30.2000,0.749,3.1286,4.177
30.4000,0.9105,3.8032,4.177
30.6000,0.7335,3.0642,4.1775
30.8000,0.8195,3.4214,4.175
31.0000,0.7765,3.2419,4.175
31.2000,0.959,4.0029,4.174
