Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.924,3.8628,4.1805
0.2000,0.849,3.5463,4.177
0.4000,0.749,3.1278,4.176
0.6000,1.001,4.1827,4.1785
0.8000,0.822,3.4319,4.175
1.0000,0.719,3.0033,4.177
1.2000,0.687,2.8689,4.176
1.4000,0.711,2.9677,4.174
1.6000,0.7675,3.2058,4.177
1.8000,0.8345,3.4832,4.174
2.0000,0.753,3.1445,4.176
2.2000,0.872,3.6406,4.175
2.4000,0.9025,3.7711,4.1785
2.6000,0.9165,3.8255,4.174
2.8000,0.827,3.4556,4.1785
3.0000,0.8955,3.7374,4.1735
3.2000,0.9265,3.8723,4.1795
3.4000,0.858,3.5809,4.1735
3.6000,0.9255,3.8626,4.1735
3.8000,0.977,4.0834,4.1795
4.0000,0.953,3.9807,4.177
4.2000,0.879,3.6716,4.177
4.4000,0.9415,3.9331,4.1775
4.6000,0.9095,3.7981,4.176
4.8000,0.9005,3.7627,4.1785
5.0000,0.932,3.8911,4.175
5.2000,0.7705,3.2138,4.171
5.4000,0.906,3.7844,4.177
5.6000,0.9295,3.8848,4.1795
5.8000,0.9135,3.8139,4.175
6.0000,0.878,3.6674,4.177
6.2000,0.6305,2.6323,4.175
6.4000,0.895,3.7353,4.1735
6.6000,0.73,3.047,4.174
6.8000,0.8225,3.4339,4.175
7.0000,0.676,2.8247,4.1785
7.2000,0.8225,3.4376,4.1795
7.4000,0.965,4.0308,4.177
7.6000,0.7085,2.9573,4.174
7.8000,0.823,3.4389,4.1785
8.0000,0.8095,3.3833,4.1795
8.2000,0.6245,2.6079,4.176
8.4000,0.912,3.8044,4.1715
8.6000,0.753,3.1453,4.177
8.8000,0.8285,3.4619,4.1785
9.0000,0.882,3.6832,4.176
9.2000,0.8295,3.464,4.176
9.4000,0.7805,3.2586,4.175
9.6000,0.7745,3.2355,4.1775
9.8000,0.899,3.7556,4.1775
10.0000,0.7145,2.9838,4.176
10.2000,0.7675,3.2051,4.176
10.4000,0.93,3.8879,4.1805
10.6000,0.747,3.1206,4.1775
10.8000,0.8255,3.4473,4.176
11.0000,0.7895,3.2962,4.175
11.2000,0.8445,3.5275,4.177
11.4000,0.9005,3.7587,4.174
11.6000,0.7385,3.084,4.176
11.8000,0.8905,3.7156,4.1725
12.0000,0.897,3.7459,4.176
12.2000,0.896,3.7417,4.176
12.4000,0.878,3.6643,4.1735
12.6000,0.8755,3.6539,4.1735
12.8000,0.893,3.7305,4.1775
13.0000,0.863,3.603,4.175
13.2000,0.948,3.9603,4.1775
13.4000,0.8905,3.7165,4.1735
13.6000,0.96,4.007,4.174
14.0000,0.8345,3.4828,4.1735
14.2000,0.841,3.515,4.1795
14.4000,0.9115,3.8073,4.177
14.6000,0.891,3.7208,4.176
14.8000,0.827,3.4515,4.1735
15.0000,0.8055,3.3666,4.1795
15.2000,0.7935,3.3117,4.1735
15.4000,0.948,3.9598,4.177
15.6000,0.909,3.7969,4.177
15.8000,0.715,2.9851,4.175
16.0000,0.8285,3.4635,4.1805
16.2000,0.678,2.832,4.177
16.4000,0.7595,3.1717,4.176
16.6000,0.899,3.7542,4.176
16.8000,0.764,3.1889,4.174
17.0000,0.8655,3.6122,4.1735
17.2000,0.85,3.5496,4.176
17.4000,0.821,3.4297,4.1775
17.6000,0.904,3.7742,4.175
17.8000,0.931,3.8855,4.1735
18.0000,0.9245,3.8584,4.1735
18.2000,0.9305,3.8834,4.1735
18.4000,0.9485,3.9586,4.1735
18.6000,0.753,3.1453,4.177
18.8000,0.8825,3.6875,4.1785
19.0000,0.8975,3.7471,4.175
19.2000,0.9495,3.9684,4.1795
19.4000,0.7865,3.2817,4.1725
19.6000,0.8655,3.6156,4.1775
19.8000,0.8655,3.6135,4.175
20.0000,0.893,3.7314,4.1785
20.2000,0.914,3.816,4.175
20.4000,0.8005,3.3429,4.176
20.6000,0.9555,3.9902,4.176
20.8000,0.9145,3.8167,4.1735
21.0000,0.8955,3.7374,4.1735
21.2000,0.868,3.623,4.174
21.4000,0.9165,3.8282,4.177
21.6000,0.8765,3.6594,4.175
21.8000,0.829,3.459,4.1725
22.0000,0.8385,3.5024,4.177
22.2000,0.9045,3.7772,4.176
22.4000,0.944,3.9379,4.1715
22.6000,0.861,3.5955,4.176
22.8000,0.7835,3.2719,4.176
23.0000,0.8225,3.4376,4.1795
23.2000,0.9435,3.9382,4.174
23.4000,0.7615,3.1808,4.177
23.6000,0.7515,3.1383,4.176
23.8000,0.7005,2.9221,4.1715
24.0000,0.7385,3.0832,4.175
24.2000,0.748,3.1229,4.175
24.4000,0.869,3.6289,4.176
24.6000,0.899,3.7551,4.177
24.8000,0.835,3.4853,4.174
25.0000,0.812,3.3909,4.176
25.2000,0.9195,3.8389,4.175
25.4000,0.754,3.1487,4.176
25.6000,0.954,3.9839,4.176
25.8000,0.765,3.1939,4.175
26.0000,0.8685,3.6251,4.174
26.2000,0.8265,3.4515,4.176
26.4000,0.774,3.2342,4.1785
26.6000,0.7735,3.2301,4.176
26.8000,0.915,3.8201,4.175
27.0000,0.9385,3.9215,4.1785
27.2000,0.992,4.1441,4.1775
27.4000,0.885,3.6966,4.177
27.6000,0.904,3.7742,4.175
27.8000,0.948,3.9612,4.1785
28.0000,0.939,3.9203,4.175
28.2000,0.88,3.6788,4.1805
28.4000,0.7655,3.1979,4.1775
28.6000,0.9475,3.9591,4.1785
28.8000,0.895,3.7384,4.177
29.0000,0.858,3.5809,4.1735
29.2000,0.9065,3.7855,4.176
29.4000,0.956,3.9956,4.1795
29.6000,0.9195,3.8412,4.1775
29.8000,0.8225,3.4385,4.1805
30.0000,0.837,3.4966,4.1775
30.2000,0.8095,3.3784,4.1735
30.4000,0.9865,4.1206,4.177
30.6000,0.9,3.7593,4.177
30.8000,0.8935,3.7321,4.177
31.0000,0.6195,2.5849,4.1725
31.2000,0.784,3.2759,4.1785
31.4000,0.8995,3.7572,4.177
31.6000,0.754,3.148,4.175
31.8000,0.9295,3.8793,4.1735
32.0000,0.8225,3.4348,4.176
32.2000,0.8965,3.742,4.174
32.4000,0.83,3.4661,4.176
32.6000,0.7715,3.2218,4.176
32.8000,0.8855,3.6956,4.1735
33.0000,0.8905,3.7178,4.175
33.2000,0.895,3.7366,4.175
33.4000,0.8645,3.611,4.177
33.6000,0.88,3.6762,4.1775
33.8000,0.8605,3.5947,4.1775
34.0000,0.875,3.654,4.176
34.2000,0.9165,3.8282,4.177
34.4000,0.956,3.9923,4.176
34.6000,0.7445,3.109,4.176
34.8000,0.7665,3.2021,4.1775
35.0000,0.9095,3.8003,4.1785
35.2000,0.8695,3.6302,4.175
35.4000,0.9605,4.0125,4.1775
35.6000,0.886,3.7022,4.1785
35.8000,0.7275,3.0388,4.177
36.0000,0.874,3.6476,4.1735
36.2000,0.89,3.7166,4.176
36.4000,0.952,3.9789,4.1795
36.6000,0.913,3.8104,4.1735
36.8000,0.6255,2.6121,4.176
37.0000,0.803,3.3553,4.1785
37.2000,0.887,3.7054,4.1775
37.4000,0.9125,3.8138,4.1795
37.6000,0.891,3.7186,4.1735
37.8000,0.8375,3.4953,4.1735
38.0000,0.9055,3.7791,4.1735
38.2000,0.9225,3.8556,4.1795
38.4000,0.9065,3.7865,4.177
38.6000,0.743,3.1028,4.176
38.8000,0.8005,3.3457,4.1795
39.0000,0.673,2.8091,4.174
39.2000,0.763,3.189,4.1795
39.4000,0.7655,3.1967,4.176
39.6000,0.825,3.4444,4.175
39.8000,0.8715,3.6394,4.176
40.0000,0.847,3.5392,4.1785
40.2000,0.829,3.4627,4.177
40.4000,0.796,3.3241,4.176
40.6000,0.735,3.0694,4.176
40.8000,0.89,3.7149,4.174
41.0000,0.8965,3.7438,4.176
41.2000,0.838,3.4987,4.175
41.4000,0.8575,3.5818,4.177
41.6000,0.773,3.228,4.176
41.8000,0.88,3.6727,4.1735
42.0000,0.792,3.3054,4.1735
42.2000,0.936,3.9064,4.1735
42.4000,0.932,3.8902,4.174
42.6000,0.923,3.8554,4.177
42.8000,0.9635,4.0236,4.176
43.0000,0.9465,3.955,4.1785
43.2000,0.8885,3.7104,4.176
43.4000,0.912,3.8053,4.1725
43.6000,0.755,3.1521,4.175
