Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,1.108,4.6298,4.1785
0.2000,1.286,5.3736,4.1785
0.4000,1.225,5.1144,4.175
0.6000,1.4095,5.891,4.1795
0.8000,1.12,4.6782,4.177
1.0000,1.229,5.1366,4.1795
1.2000,1.078,4.5044,4.1785
1.4000,1.0355,4.3268,4.1785
1.6000,1.312,5.4802,4.177
1.8000,0.9535,3.9794,4.1735
2.0000,1.176,4.9122,4.177
2.2000,1.303,5.4368,4.1725
2.4000,1.2055,5.0372,4.1785
2.6000,1.3055,5.455,4.1785
2.8000,1.197,4.9999,4.177
3.0000,1.202,5.0238,4.1795
3.2000,1.2285,5.1345,4.1795
3.4000,1.076,4.4971,4.1795
3.6000,1.516,6.3361,4.1795
3.8000,1.117,4.6663,4.1775
4.0000,1.572,6.5702,4.1795
4.2000,1.259,5.2607,4.1785
4.4000,1.1285,4.7126,4.176
4.6000,1.1245,4.6987,4.1785
4.8000,1.3015,5.4409,4.1805
5.0000,1.315,5.4914,4.176
5.2000,1.1775,4.919,4.1775
5.4000,1.182,4.9378,4.1775
5.6000,1.071,4.4752,4.1785
5.8000,0.897,3.7468,4.177
6.0000,1.0055,4.1965,4.1735
6.2000,1.1805,4.9327,4.1785
6.4000,1.562,6.5284,4.1795
6.6000,1.314,5.4886,4.177
6.8000,1.025,4.2814,4.177
7.0000,1.2645,5.2837,4.1785
7.2000,0.936,3.9078,4.175
7.4000,1.0605,4.4302,4.1775
7.6000,1.1285,4.7137,4.177
