Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,1.68,7.0258,4.182
0.2000,1.417,5.9188,4.177
0.4000,1.7055,7.1307,4.181
0.6000,1.574,6.5659,4.1715
0.8000,1.153,4.8167,4.1775
1.0000,1.164,4.8516,4.168
1.2000,1.5445,6.4568,4.1805
1.4000,1.581,6.5967,4.1725
1.6000,1.5075,6.29,4.1725
1.8000,1.564,6.5274,4.1735
2.0000,1.662,6.9372,4.174
2.2000,1.014,4.2355,4.177
2.4000,1.677,7.0107,4.1805
2.6000,1.6675,6.971,4.1805
2.8000,1.548,6.4536,4.169
3.0000,1.643,6.8669,4.1795
3.2000,1.3025,5.4334,4.1715
3.4000,1.499,6.2523,4.171
3.6000,1.581,6.5983,4.1735
3.8000,1.505,6.2969,4.184
4.0000,1.5815,6.6123,4.181
4.2000,1.1595,4.8432,4.177
4.4000,1.5245,6.377,4.183
4.6000,1.6175,6.7587,4.1785
4.8000,1.3415,5.5974,4.1725
5.0000,1.648,6.8919,4.182
5.2000,1.0705,4.4704,4.176
5.4000,1.0785,4.5054,4.1775
5.6000,1.568,6.5354,4.168
5.8000,1.276,5.3273,4.175
6.0000,1.6165,6.7505,4.176
6.2000,1.543,6.4366,4.1715
6.4000,1.2715,5.3053,4.1725
6.6000,1.506,6.2966,4.181
6.8000,1.0895,4.547,4.1735
7.0000,1.49,6.226,4.1785
7.2000,1.725,7.1976,4.1725
7.4000,1.6785,7.0195,4.182
7.6000,1.517,6.332,4.174
7.8000,1.242,5.1996,4.1865
8.0000,1.309,5.4769,4.184
8.2000,1.677,7.0132,4.182
8.4000,1.285,5.3662,4.176
8.6000,1.4815,6.1919,4.1795
8.8000,1.4865,6.2024,4.1725
9.0000,1.642,6.8537,4.174
9.2000,1.174,4.9026,4.176
9.4000,1.3475,5.6366,4.183
9.6000,1.5755,6.5817,4.1775
9.8000,1.704,7.1261,4.182
10.0000,1.652,6.8905,4.171
10.2000,1.653,6.9104,4.1805
10.4000,1.1345,4.7394,4.1775
10.6000,1.373,5.7275,4.1715
10.8000,1.574,6.5825,4.182
11.0000,1.379,5.767,4.182
11.2000,1.633,6.8325,4.184
11.4000,1.6585,6.9317,4.1795
11.6000,1.635,6.8392,4.183
11.8000,1.5405,6.4478,4.1855
12.0000,1.725,7.2157,4.183
12.2000,1.2735,5.3118,4.171
12.4000,1.544,6.4493,4.177
12.6000,1.1685,4.8814,4.1775
12.8000,1.2815,5.3592,4.182
13.0000,1.325,5.5365,4.1785
13.2000,1.7545,7.3347,4.1805
13.4000,1.3875,5.8011,4.181
13.6000,1.7245,7.2101,4.181
14.0000,1.6715,6.976,4.1735
