Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,1.2965,5.4096,4.1725
0.2000,1.2215,5.104,4.1785
0.4000,1.364,5.6927,4.1735
0.6000,1.4215,5.9362,4.176
0.8000,1.38,5.7615,4.175
1.0000,1.233,5.1502,4.177
1.2000,1.1825,4.9393,4.177
1.4000,1.159,4.8388,4.175
1.6000,1.2845,5.3654,4.177
1.8000,1.451,6.0557,4.1735
2.0000,1.378,5.7483,4.1715
2.2000,1.2,4.9998,4.1665
2.4000,1.168,4.8834,4.181
2.6000,1.453,6.0677,4.176
2.8000,1.402,5.8618,4.181
3.0000,1.2315,5.1415,4.175
3.2000,1.2865,5.3699,4.174
3.4000,1.117,4.6646,4.176
3.6000,1.4145,5.9105,4.1785
3.8000,1.234,5.1476,4.1715
4.0000,1.2555,5.2417,4.175
4.2000,1.4525,6.0722,4.1805
4.4000,1.203,5.0237,4.176
4.6000,1.385,5.7727,4.168
4.8000,1.272,5.3087,4.1735
5.0000,1.4525,6.0693,4.1785
5.2000,1.2895,5.385,4.176
5.4000,1.4725,6.144,4.1725
5.6000,1.4085,5.8819,4.176
5.8000,1.4135,5.8929,4.169
6.0000,1.459,6.0913,4.175
6.2000,1.4365,6.0024,4.1785
6.4000,1.4515,6.0687,4.181
6.6000,1.4975,6.2468,4.1715
6.8000,1.32,5.5136,4.177
7.0000,1.1215,4.6811,4.174
7.2000,1.458,6.0901,4.177
7.4000,1.5365,6.4187,4.1775
7.6000,1.119,4.6718,4.175
7.8000,1.2865,5.3769,4.1795
8.0000,1.3945,5.8346,4.184
8.2000,1.453,6.059,4.17
8.4000,1.1405,4.7576,4.1715
8.6000,1.5135,6.3151,4.1725
8.8000,1.263,5.2819,4.182
9.0000,1.3245,5.5252,4.1715
9.2000,0.9505,3.9759,4.183
9.4000,1.522,6.3505,4.1725
9.6000,1.4155,5.9125,4.177
9.8000,1.1835,4.9352,4.17
10.0000,1.2375,5.1666,4.175
10.2000,1.2155,5.0759,4.176
10.4000,1.266,5.2837,4.1735
10.6000,0.981,4.0957,4.175
10.8000,1.4565,6.0772,4.1725
11.0000,1.2365,5.1605,4.1735
11.2000,1.26,5.2498,4.1665
11.4000,1.3905,5.8033,4.1735
11.6000,1.267,5.2923,4.177
11.8000,1.4785,6.1757,4.177
12.0000,0.952,3.977,4.1775
12.2000,1.2825,5.3621,4.181
12.4000,1.375,5.753,4.184
12.6000,1.4625,6.1074,4.176
12.8000,1.3925,5.8262,4.184
13.0000,1.4015,5.8457,4.171
13.2000,1.398,5.8367,4.175
13.4000,1.5155,6.3257,4.174
13.6000,1.0375,4.329,4.1725
14.0000,1.3505,5.6417,4.1775
14.2000,1.205,5.0309,4.175
14.4000,1.4695,6.144,4.181
14.6000,0.9925,4.1402,4.1715
14.8000,1.4035,5.8596,4.175
15.0000,1.138,4.7455,4.17
15.2000,1.1365,4.7432,4.1735
15.4000,1.2195,5.1012,4.183
15.6000,1.1465,4.7826,4.1715
15.8000,1.2445,5.1939,4.1735
16.0000,1.304,5.4422,4.1735
16.2000,1.3125,5.4797,4.175
16.4000,1.321,5.5139,4.174
16.6000,1.2055,5.0287,4.1715
16.8000,1.265,5.2782,4.1725
17.0000,1.053,4.4047,4.183
17.2000,0.784,3.2732,4.175
17.4000,1.12,4.6838,4.182
17.6000,1.0945,4.5695,4.175
17.8000,1.4655,6.1148,4.1725
18.0000,1.403,5.8659,4.181
18.2000,1.261,5.2628,4.1735
18.4000,1.31,5.4738,4.1785
18.6000,1.064,4.4459,4.1785
18.8000,1.2455,5.2043,4.1785
19.0000,0.981,4.1016,4.181
19.2000,1.141,4.7637,4.175
19.4000,1.2805,5.3429,4.1725
19.6000,1.342,5.6089,4.1795
19.8000,1.111,4.6395,4.176
20.0000,1.312,5.4776,4.175
