Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,1.0325,4.3117,4.176
0.2000,1.252,5.2327,4.1795
0.4000,0.9565,3.9958,4.1775
0.6000,1.243,5.1939,4.1785
0.8000,1.171,4.8913,4.177
1.0000,1.218,5.0803,4.171
1.2000,1.139,4.7582,4.1775
1.4000,1.219,5.0905,4.176
1.6000,1.181,4.9336,4.1775
1.8000,1.2085,5.0455,4.175
2.0000,1.1645,4.863,4.176
2.2000,1.06,4.4266,4.176
2.4000,1.1375,4.753,4.1785
2.6000,1.25,5.2244,4.1795
2.8000,1.3055,5.4485,4.1735
3.0000,1.223,5.103,4.1725
3.2000,1.259,5.2595,4.1775
3.4000,1.228,5.1269,4.175
3.6000,1.285,5.3636,4.174
3.8000,1.2075,5.0413,4.175
4.0000,1.1945,4.9841,4.1725
4.2000,1.0445,4.3671,4.181
4.4000,1.033,4.3148,4.177
4.6000,1.219,5.0918,4.177
4.8000,0.769,3.2113,4.176
5.0000,1.1865,4.9548,4.176
5.2000,1.1525,4.8157,4.1785
5.4000,1.3845,5.7803,4.175
5.6000,1.1065,4.6235,4.1785
5.8000,1.4545,6.0754,4.177
6.0000,1.135,4.7369,4.1735
6.2000,1.2885,5.3827,4.1775
6.4000,1.3785,5.7635,4.181
6.6000,1.2205,5.0968,4.176
6.8000,1.317,5.5011,4.177
7.0000,1.316,5.5022,4.181
7.2000,0.6735,2.8135,4.1775
7.4000,1.0865,4.5307,4.17
7.6000,1.1125,4.6458,4.176
7.8000,1.246,5.2108,4.182
8.0000,0.9745,4.0646,4.171
8.2000,1.347,5.6298,4.1795
8.4000,1.2285,5.1333,4.1785
8.6000,1.0995,4.5877,4.1725
8.8000,1.0875,4.5452,4.1795
9.0000,1.087,4.5404,4.177
9.2000,1.2585,5.2511,4.1725
9.4000,1.379,5.7622,4.1785
9.6000,0.9705,4.0518,4.175
9.8000,1.1625,4.8534,4.175
10.0000,1.3155,5.4856,4.17
10.2000,1.2135,5.0736,4.181
10.4000,1.3175,5.5085,4.181
10.6000,1.077,4.4911,4.17
10.8000,1.166,4.8634,4.171
11.0000,0.941,3.932,4.1785
11.2000,1.306,5.4558,4.1775
11.4000,1.2645,5.2774,4.1735
11.6000,1.209,5.0476,4.175
11.8000,1.093,4.5644,4.176
12.0000,1.343,5.6104,4.1775
12.2000,1.1655,4.8689,4.1775
12.4000,1.229,5.1354,4.1785
12.6000,0.9715,4.057,4.176
12.8000,1.0395,4.3399,4.175
13.0000,1.0435,4.3556,4.174
13.2000,1.014,4.2335,4.175
13.4000,1.0825,4.5205,4.176
13.6000,1.1765,4.9131,4.176
14.0000,0.925,3.8619,4.175
14.2000,0.8995,3.7563,4.176
14.4000,0.835,3.4832,4.1715
14.6000,1.008,4.2104,4.177
14.8000,0.7955,3.32,4.1735
15.0000,0.875,3.6531,4.175
15.2000,0.9505,3.9669,4.1735
15.4000,0.965,4.0308,4.177
15.6000,1.0575,4.4172,4.177
15.8000,0.9445,3.9442,4.176
16.0000,0.916,3.8252,4.176
16.2000,0.7425,3.1014,4.177
16.4000,0.7815,3.2635,4.176
16.6000,0.718,3.002,4.181
16.8000,0.8645,3.6093,4.175
17.0000,0.9495,3.9675,4.1785
17.2000,1.039,4.3389,4.176
17.4000,1.039,4.3378,4.175
17.6000,1.0525,4.3931,4.174
17.8000,0.929,3.8795,4.176
18.0000,0.81,3.3826,4.176
18.2000,0.716,2.9918,4.1785
18.4000,0.9325,3.8941,4.176
18.6000,1.0145,4.2391,4.1785
18.8000,1.029,4.2971,4.176
19.0000,0.915,3.822,4.177
19.2000,1.195,4.9915,4.177
19.4000,1.014,4.2335,4.175
19.6000,0.882,3.6832,4.176
19.8000,0.895,3.7366,4.175
20.0000,0.762,3.184,4.1785
20.2000,0.9805,4.0946,4.176
20.4000,0.903,3.7718,4.177
20.6000,0.8975,3.748,4.176
20.8000,0.6545,2.7332,4.176
21.0000,0.796,3.3241,4.176
21.2000,0.9115,3.811,4.181
21.4000,0.755,3.1521,4.175
21.6000,0.963,4.0215,4.176
21.8000,0.9685,4.0469,4.1785
22.0000,0.86,3.5922,4.177
22.2000,0.8555,3.5747,4.1785
22.4000,1.074,4.4877,4.1785
22.6000,1.1545,4.8229,4.1775
22.8000,1.189,4.9682,4.1785
23.0000,1.196,4.9903,4.1725
23.2000,1.1635,4.8535,4.1715
23.4000,1.227,5.124,4.176
23.6000,1.042,4.3514,4.176
23.8000,1.2005,5.0175,4.1795
24.0000,1.326,5.5387,4.177
24.2000,1.138,4.7483,4.1725
24.4000,1.0995,4.5915,4.176
24.6000,1.213,5.0673,4.1775
24.8000,1.1925,4.9757,4.1725
25.0000,1.127,4.7024,4.1725
25.2000,1.1825,4.9322,4.171
25.4000,1.31,5.4693,4.175
25.6000,1.227,5.1209,4.1735
25.8000,1.1775,4.9131,4.1725
26.0000,1.211,5.0583,4.177
26.2000,1.139,4.7456,4.1665
26.4000,1.2275,5.1291,4.1785
26.6000,1.2035,5.0246,4.175
26.8000,1.167,4.8734,4.176
27.0000,1.2115,5.0562,4.1735
27.2000,1.054,4.4068,4.181
27.4000,1.184,4.9539,4.184
27.6000,1.1635,4.8599,4.177
27.8000,1.188,4.9581,4.1735
28.0000,1.226,5.1124,4.17
28.2000,0.9155,3.8295,4.183
28.4000,1.1955,4.987,4.1715
28.6000,1.128,4.7066,4.1725
28.8000,1.117,4.6657,4.177
29.0000,1.3115,5.4814,4.1795
29.2000,0.86,3.5875,4.1715
29.4000,0.876,3.6604,4.1785
29.6000,0.875,3.6531,4.175
29.8000,1.0925,4.5623,4.176
30.0000,1.159,4.8359,4.1725
30.2000,1.2195,5.0926,4.176
30.4000,1.242,5.1791,4.17
30.6000,1.1965,4.9912,4.1715
30.8000,1.1645,4.86,4.1735
31.0000,1.074,4.4861,4.177
31.2000,1.1085,4.6302,4.177
31.4000,1.041,4.3571,4.1855
31.6000,0.9275,3.8742,4.177
31.8000,0.9465,3.9535,4.177
32.0000,1.2115,5.0592,4.176
32.2000,1.0625,4.4359,4.175
32.4000,0.8085,3.3763,4.176
32.6000,1.1355,4.7509,4.184
32.8000,1.215,5.0811,4.182
33.0000,1.413,5.8957,4.1725
33.2000,1.3275,5.5496,4.1805
33.4000,1.229,5.1311,4.175
33.6000,1.3175,5.5032,4.177
33.8000,1.1315,4.7223,4.1735
34.0000,1.3425,5.6123,4.1805
34.2000,1.0345,4.3082,4.1645
34.4000,0.8955,3.741,4.1775
34.6000,1.34,5.5958,4.176
34.8000,1.0535,4.3994,4.176
35.0000,1.355,5.6558,4.174
35.2000,1.2725,5.314,4.176
35.4000,1.0565,4.413,4.177
35.6000,1.1585,4.8396,4.1775
35.8000,0.877,3.6624,4.176
36.0000,1.168,4.8787,4.177
36.2000,1.185,4.9527,4.1795
36.4000,1.122,4.6844,4.175
36.6000,0.936,3.9087,4.176
36.8000,1.2175,5.0904,4.181
37.0000,1.2835,5.3586,4.175
37.2000,1.007,4.2007,4.1715
37.4000,0.847,3.5362,4.175
37.6000,1.126,4.6965,4.171
37.8000,1.234,5.1476,4.1715
38.0000,1.318,5.5059,4.1775
38.2000,0.9705,4.0645,4.188
38.4000,1.082,4.5233,4.1805
38.6000,1.218,5.0906,4.1795
38.8000,1.326,5.5387,4.177
39.0000,1.114,4.6532,4.177
39.2000,1.185,4.9486,4.176
39.4000,1.2665,5.2876,4.175
39.6000,1.152,4.8079,4.1735
39.8000,1.2115,5.0532,4.171
40.0000,1.2595,5.2534,4.171
40.2000,1.304,5.4364,4.169
40.4000,1.1,4.5914,4.174
40.6000,1.212,5.0601,4.175
40.8000,0.906,3.7794,4.1715
41.0000,1.265,5.2826,4.176
41.2000,1.2195,5.0926,4.176
41.4000,1.0265,4.2846,4.174
41.6000,0.9995,4.1694,4.1715
41.8000,1.206,5.0459,4.184
42.0000,1.2345,5.151,4.1725
42.2000,1.28,5.3562,4.1845
42.4000,1.1485,4.7973,4.177
42.6000,1.175,4.908,4.177
42.8000,0.893,3.7247,4.171
43.0000,0.7435,3.1056,4.177
43.2000,1.116,4.6593,4.175
43.4000,0.915,3.821,4.176
43.6000,1.012,4.2271,4.177
43.8000,0.8415,3.5149,4.177
44.0000,0.9095,3.8026,4.181
44.2000,0.8435,3.5233,4.177
44.4000,0.8045,3.3596,4.176
44.6000,0.924,3.8586,4.176
44.8000,1.056,4.4099,4.176
45.0000,0.994,4.1509,4.176
45.2000,0.8765,3.6594,4.175
45.4000,0.995,4.1566,4.1775
45.6000,0.9205,3.8422,4.174
45.8000,0.8845,3.6959,4.1785
46.0000,0.9125,3.8115,4.177
46.2000,0.991,4.1359,4.1735
46.4000,0.985,4.1143,4.177
46.6000,1.177,4.9163,4.177
46.8000,0.9845,4.1113,4.176
47.0000,1.025,4.2814,4.177
47.2000,1.0455,4.366,4.176
47.4000,1.059,4.4224,4.176
47.6000,0.9885,4.127,4.175
47.8000,0.9035,3.769,4.1715
48.0000,1.005,4.1979,4.177
48.2000,0.8195,3.4202,4.1735
48.4000,1.001,4.1792,4.175
48.6000,0.91,3.8002,4.176
48.8000,0.6785,2.8334,4.176
49.0000,0.8325,3.4765,4.176
49.2000,1.028,4.2929,4.176
49.4000,0.87,3.6344,4.1775
49.6000,0.9825,4.1029,4.176
49.8000,1.009,4.2136,4.176
50.0000,1.028,4.2919,4.175
50.2000,0.975,4.0716,4.176
50.4000,0.7805,3.2566,4.1725
50.6000,0.98,4.0974,4.181
50.8000,0.9195,3.8408,4.177
51.0000,0.983,4.104,4.175
51.2000,1.007,4.2042,4.175
51.4000,0.9915,4.142,4.1775
51.6000,0.8605,3.5986,4.182
51.8000,1.109,4.6312,4.176
52.0000,1.013,4.2293,4.175
52.2000,1.152,4.8119,4.177
52.4000,1.225,5.1211,4.1805
52.6000,1.3345,5.5775,4.1795
52.8000,1.297,5.415,4.175
53.0000,1.0745,4.4834,4.1725
53.2000,0.8425,3.5191,4.177
53.4000,0.988,4.1259,4.176
53.6000,1.1645,4.8606,4.174
53.8000,1.1755,4.9048,4.1725
54.0000,1.224,5.1133,4.1775
54.2000,1.255,5.2334,4.17
54.4000,1.071,4.4725,4.176
54.6000,1.23,5.1334,4.1735
54.8000,1.162,4.8543,4.1775
55.0000,1.189,4.9712,4.181
55.2000,1.1795,4.9244,4.175
55.4000,1.139,4.7593,4.1785
55.6000,1.185,4.9474,4.175
55.8000,0.9675,4.0393,4.175
56.0000,0.853,3.5643,4.1785
56.2000,1.3735,5.7309,4.1725
56.4000,1.3555,5.6572,4.1735
56.6000,1.328,5.5411,4.1725
56.8000,1.1945,4.9894,4.177
57.0000,1.334,5.5661,4.1725
57.2000,1.3325,5.5679,4.1785
57.4000,1.2365,5.1624,4.175
57.6000,1.085,4.532,4.177
57.8000,1.2395,5.1805,4.1795
58.0000,1.0905,4.5588,4.1805
58.2000,1.2285,5.1321,4.1775
58.4000,1.2295,5.1362,4.1775
58.6000,1.1665,4.8783,4.182
58.8000,0.9995,4.1739,4.176
59.0000,1.3165,5.5102,4.1855
59.2000,1.405,5.8624,4.1725
59.4000,1.396,5.8283,4.175
59.6000,1.2605,5.267,4.1785
59.8000,1.025,4.2783,4.174
60.0000,1.2205,5.0956,4.175
60.2000,1.086,4.5351,4.176
60.4000,1.358,5.671,4.176
60.6000,1.192,4.9706,4.17
60.8000,1.0965,4.579,4.176
61.0000,1.1805,4.9286,4.175
61.2000,1.3475,5.6285,4.177
61.4000,1.248,5.2104,4.175
61.6000,1.293,5.3938,4.1715
61.8000,1.2425,5.1874,4.175
62.0000,1.2165,5.0813,4.177
62.2000,1.065,4.4437,4.1725
62.4000,1.289,5.3848,4.1775
62.6000,0.9615,4.0143,4.175
62.8000,0.9155,3.8213,4.174
63.0000,0.986,4.1131,4.1715
63.2000,1.0495,4.379,4.1725
63.4000,0.8965,3.7438,4.176
63.6000,0.9785,4.0862,4.176
63.8000,0.895,3.7415,4.1805
64.0000,1.037,4.3295,4.175
64.2000,1.026,4.2882,4.1795
64.4000,0.877,3.6602,4.1735
64.6000,1.0155,4.2417,4.177
64.8000,0.9005,3.7659,4.182
65.0000,1.043,4.3545,4.175
65.2000,1.012,4.2261,4.176
65.4000,1.021,4.2652,4.1775
65.6000,0.9115,3.8073,4.177
65.8000,1.12,4.6732,4.1725
66.0000,1.076,4.4961,4.1785
66.2000,0.9045,3.7772,4.176
66.4000,0.7825,3.2677,4.176
66.6000,0.925,3.8619,4.175
66.8000,0.7015,2.927,4.1725
67.0000,1.0255,4.284,4.1775
67.2000,0.8755,3.6561,4.176
67.4000,0.914,3.8169,4.176
67.6000,0.935,3.8999,4.171
67.8000,1.1035,4.6082,4.176
68.0000,0.881,3.6821,4.1795
68.2000,0.8705,3.6374,4.1785
68.4000,0.9035,3.7739,4.177
68.6000,1.0585,4.4203,4.176
68.8000,0.927,3.8688,4.1735
69.0000,0.862,3.598,4.174
69.2000,0.9995,4.1729,4.175
69.4000,0.9075,3.7906,4.177
69.6000,0.8555,3.5726,4.176
69.8000,0.991,4.1374,4.175
70.0000,0.907,3.7867,4.175
70.2000,1.016,4.2418,4.175
70.4000,0.948,3.9588,4.176
70.6000,0.76,3.173,4.175
70.8000,1.048,4.3764,4.176
