Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.8875,3.7071,4.177
0.2000,0.8655,3.6152,4.177
0.4000,0.981,4.0967,4.176
0.6000,0.821,3.4269,4.174
0.8000,0.675,2.8181,4.175
1.0000,0.8615,3.5976,4.176
1.2000,0.9395,3.9234,4.176
1.4000,0.6825,2.8501,4.176
1.6000,0.782,3.2684,4.1795
1.8000,0.909,3.796,4.176
2.0000,0.8345,3.4857,4.177
2.2000,0.7545,3.15,4.175
2.4000,0.8885,3.7117,4.1775
2.6000,0.8645,3.6084,4.174
2.8000,0.806,3.3667,4.177
3.0000,0.847,3.5371,4.176
3.2000,0.6755,2.8209,4.176
3.4000,0.855,3.5718,4.1775
3.6000,0.7585,3.1686,4.1775
3.8000,0.6985,2.9169,4.176
4.0000,0.7115,2.9723,4.1775
4.2000,0.748,3.1263,4.1795
4.4000,0.8115,3.3868,4.1735
4.6000,0.848,3.5404,4.175
4.8000,1.1415,4.7641,4.1735
5.0000,0.9325,3.8941,4.176
5.2000,1.0955,4.5737,4.175
5.4000,0.7535,3.1474,4.177
5.6000,1.0845,4.5343,4.181
5.8000,0.854,3.562,4.171
6.0000,1.1575,4.8349,4.177
6.2000,1.082,4.5146,4.1725
6.4000,1.1195,4.6778,4.1785
6.6000,0.842,3.5141,4.1735
6.8000,1.223,5.1158,4.183
7.0000,1.0125,4.2282,4.176
7.2000,1.2135,5.0688,4.177
7.4000,1.22,5.0947,4.176
7.6000,0.9435,3.9368,4.1725
7.8000,1.039,4.3399,4.177
8.0000,1.113,4.6429,4.1715
8.2000,1.0845,4.5262,4.1735
8.4000,1.0925,4.5595,4.1735
8.6000,1.1675,4.8796,4.1795
8.8000,0.978,4.0807,4.1725
9.0000,1.302,5.4417,4.1795
9.2000,1.1425,4.7768,4.181
9.4000,0.8415,3.5162,4.1785
9.6000,0.869,3.6311,4.1785
9.8000,1.216,5.078,4.176
10.0000,1.016,4.2393,4.1725
10.2000,1.152,4.8188,4.183
10.4000,1.2065,5.0371,4.175
10.6000,1.1565,4.8353,4.181
10.8000,1.1785,4.9214,4.176
11.0000,1.0375,4.3326,4.176
11.2000,1.1925,4.9829,4.1785
11.4000,0.9185,3.8338,4.174
11.6000,0.8715,3.6437,4.181
11.8000,1.1755,4.9148,4.181
12.0000,1.054,4.3968,4.1715
12.2000,1.146,4.7828,4.1735
12.4000,1.141,4.7637,4.175
12.6000,1.0235,4.2752,4.177
12.8000,0.9955,4.1617,4.1805
13.0000,1.158,4.8358,4.176
13.2000,1.11,4.6354,4.176
13.4000,1.1545,4.8223,4.177
13.6000,1.1045,4.6201,4.183
14.0000,1.0705,4.4715,4.177
14.2000,1.0195,4.2549,4.1735
14.4000,0.8175,3.4131,4.175
14.6000,1.087,4.5404,4.177
14.8000,1.0155,4.2423,4.1775
15.0000,0.943,3.9347,4.1725
15.2000,1.012,4.2276,4.1775
15.4000,0.7015,2.9312,4.1785
15.6000,0.879,3.6698,4.175
15.8000,0.8015,3.3455,4.174
16.0000,0.908,3.7932,4.1775
16.2000,0.668,2.7929,4.181
16.4000,0.8985,3.753,4.177
16.6000,0.8275,3.4614,4.183
16.8000,0.5905,2.4665,4.177
17.0000,1.032,4.3034,4.17
17.2000,0.9325,3.8941,4.176
17.4000,0.951,3.9738,4.1785
17.6000,0.946,3.9519,4.1775
17.8000,0.9245,3.8621,4.1775
18.0000,0.6595,2.7547,4.177
18.2000,0.9065,3.7855,4.176
18.4000,0.7885,3.2908,4.1735
18.6000,0.9315,3.8923,4.1785
18.8000,0.963,4.0181,4.1725
19.0000,0.8875,3.7053,4.175
19.2000,0.5875,2.454,4.177
19.4000,0.966,4.0316,4.1735
19.6000,0.834,3.4857,4.1795
19.8000,0.893,3.7305,4.1775
20.0000,0.652,2.7221,4.175
20.2000,0.8025,3.3504,4.175
20.4000,0.6595,2.7547,4.177
20.6000,0.5775,2.4125,4.1775
20.8000,0.8865,3.7029,4.177
21.0000,0.705,2.9406,4.171
21.2000,0.7355,3.0722,4.177
21.4000,0.7025,2.9343,4.177
21.6000,0.8585,3.5851,4.176
21.8000,0.794,3.3165,4.177
22.0000,0.693,2.895,4.1775
22.2000,1.006,4.2011,4.176
22.4000,1.02,4.2621,4.1785
22.6000,0.7235,3.0257,4.182
22.8000,1.0025,4.1879,4.1775
23.0000,0.65,2.7121,4.1725
23.2000,0.996,4.1603,4.177
23.4000,1.0485,4.3838,4.181
23.6000,0.849,3.5463,4.177
23.8000,0.9085,3.7948,4.177
24.0000,0.9135,3.8157,4.177
24.2000,0.856,3.5747,4.176
24.4000,0.786,3.2871,4.182
24.6000,0.8415,3.5149,4.177
24.8000,0.821,3.4285,4.176
25.0000,0.7165,2.9946,4.1795
25.2000,0.681,2.8445,4.177
25.4000,0.9255,3.8658,4.177
25.6000,0.973,4.0623,4.175
25.8000,0.849,3.5446,4.175
26.0000,0.7285,3.0422,4.176
26.2000,0.773,3.2273,4.175
26.4000,0.8955,3.741,4.1775
26.6000,0.672,2.8069,4.177
26.8000,0.793,3.3124,4.177
27.0000,0.723,3.02,4.177
27.2000,0.921,3.847,4.177
27.4000,0.8565,3.5767,4.176
27.6000,0.8885,3.7113,4.177
27.8000,0.8035,3.3602,4.182
28.0000,0.6555,2.7374,4.176
28.2000,0.7795,3.2591,4.181
28.4000,0.937,3.9129,4.176
28.6000,0.7495,3.1299,4.176
28.8000,0.788,3.2915,4.177
29.0000,0.7105,2.967,4.176
29.2000,1.0085,4.2125,4.177
29.4000,0.8995,3.7586,4.1785
29.6000,0.924,3.86,4.1775
29.8000,0.8025,3.3553,4.181
30.0000,0.928,3.8786,4.1795
30.2000,0.945,3.9407,4.17
30.4000,1.0435,4.3592,4.1775
30.6000,0.917,3.8303,4.177
30.8000,0.704,2.9399,4.176
31.0000,0.839,3.5037,4.176
31.2000,0.7955,3.324,4.1785
31.4000,0.715,2.9869,4.1775
31.6000,0.7845,3.2769,4.177
31.8000,0.8295,3.4648,4.177
32.0000,0.769,3.2125,4.1775
32.2000,0.817,3.4126,4.177
32.4000,0.8875,3.7093,4.1795
32.6000,0.823,3.4368,4.176
32.8000,0.6075,2.5357,4.174
33.0000,0.84,3.5087,4.177
33.2000,0.7405,3.0931,4.177
33.4000,0.9405,3.9285,4.177
33.6000,0.8405,3.5137,4.1805
33.8000,0.8025,3.352,4.177
34.0000,0.579,2.4194,4.1785
34.2000,0.672,2.808,4.1785
34.4000,0.909,3.7969,4.177
34.6000,0.8685,3.6269,4.176
34.8000,0.708,2.9573,4.177
35.0000,1.123,4.6953,4.181
35.2000,1.1575,4.8355,4.1775
35.4000,1.2025,5.0186,4.1735
35.6000,0.9905,4.1329,4.1725
35.8000,0.9925,4.1437,4.175
36.0000,0.995,4.1516,4.1725
36.2000,1.033,4.319,4.181
36.4000,0.632,2.6408,4.1785
36.6000,1.094,4.5762,4.183
36.8000,0.8455,3.5317,4.177
37.0000,1.126,4.705,4.1785
37.2000,0.956,3.9923,4.176
37.4000,0.7385,3.084,4.176
37.6000,1.143,4.776,4.1785
37.8000,1.121,4.6891,4.183
38.0000,1.0105,4.2234,4.1795
38.2000,0.8515,3.558,4.1785
38.4000,0.992,4.1451,4.1785
38.6000,1.0125,4.2282,4.176
38.8000,1.1125,4.6536,4.183
39.0000,1.15,4.8024,4.176
39.2000,1.1695,4.8897,4.181
39.4000,0.766,3.2007,4.1785
39.6000,1.15,4.8064,4.1795
39.8000,1.044,4.3571,4.1735
40.0000,1.12,4.6771,4.176
40.2000,1.0545,4.4062,4.1785
40.4000,1.1645,4.863,4.176
40.6000,1.0225,4.2664,4.1725
40.8000,1.2145,5.0748,4.1785
41.0000,0.943,3.9389,4.177
41.2000,1.0365,4.33,4.1775
41.4000,0.8375,3.4995,4.1785
41.6000,1.1895,4.9674,4.176
41.8000,1.0965,4.5762,4.1735
42.0000,0.94,3.9264,4.177
42.2000,1.1395,4.7625,4.1795
42.4000,1.249,5.2202,4.1795
42.6000,1.114,4.6532,4.177
42.8000,0.8625,3.6031,4.1775
43.0000,1.2035,5.027,4.177
43.2000,1.082,4.5325,4.189
