Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.318,1.3283,4.177
0.2000,0.3165,1.3225,4.1785
0.4000,0.3215,1.3434,4.1785
0.6000,0.3285,1.3723,4.1775
0.8000,0.3135,1.31,4.1785
1.0000,0.3375,1.4102,4.1785
1.2000,0.3155,1.3183,4.1785
1.4000,0.3235,1.3517,4.1785
1.6000,0.3625,1.5147,4.1785
1.8000,0.328,1.3705,4.1785
2.0000,0.317,1.3241,4.177
2.2000,0.3655,1.5272,4.1785
2.4000,0.384,1.6045,4.1785
2.6000,0.358,1.4959,4.1785
2.8000,0.343,1.4329,4.1775
3.0000,0.3695,1.5434,4.177
3.2000,0.335,1.3998,4.1785
3.4000,0.3515,1.4684,4.1775
3.6000,0.3555,1.4851,4.1775
3.8000,0.3735,1.5603,4.1775
4.0000,0.316,1.3201,4.1775
4.2000,0.316,1.3204,4.1785
4.4000,0.3125,1.3053,4.177
4.6000,0.334,1.3956,4.1785
4.8000,0.3895,1.6271,4.1775
5.0000,0.333,1.3911,4.1775
5.2000,0.339,1.4165,4.1785
5.4000,0.335,1.3993,4.177
5.6000,0.3515,1.4687,4.1785
5.8000,0.36,1.5039,4.1775
6.0000,0.352,1.4708,4.1785
6.2000,0.3245,1.3559,4.1785
6.4000,0.323,1.3497,4.1785
6.6000,0.343,1.4332,4.1785
6.8000,0.3135,1.3096,4.1775
7.0000,0.332,1.3869,4.1775
7.2000,0.323,1.3497,4.1785
7.4000,0.3135,1.31,4.1785
7.6000,0.334,1.3953,4.1775
7.8000,0.3385,1.4141,4.1775
8.0000,0.322,1.3455,4.1785
8.2000,0.3575,1.4938,4.1785
8.4000,0.316,1.3201,4.1775
8.6000,0.374,1.5628,4.1785
8.8000,0.313,1.3076,4.1775
9.0000,0.3205,1.3387,4.177
9.2000,0.3135,1.31,4.1785
9.4000,0.3125,1.3058,4.1785
9.6000,0.333,1.3906,4.176
9.8000,0.318,1.3288,4.1785
10.0000,0.3185,1.3305,4.1775
10.2000,0.317,1.3246,4.1785
10.4000,0.3165,1.3222,4.1775
10.6000,0.3305,1.381,4.1785
10.8000,0.3125,1.3058,4.1785
11.0000,0.34,1.4203,4.1775
11.2000,0.3135,1.3096,4.1775
11.4000,0.3195,1.335,4.1785
11.6000,0.336,1.404,4.1785
11.8000,0.312,1.3037,4.1785
12.0000,0.32,1.3371,4.1785
12.2000,0.5155,2.1532,4.177
12.4000,0.548,2.2893,4.1775
12.6000,0.5345,2.2326,4.177
12.8000,0.513,2.1431,4.1775
13.0000,0.3215,1.3434,4.1785
13.2000,0.318,1.3284,4.1775
13.4000,0.3345,1.3977,4.1785
13.6000,0.332,1.3869,4.1775
14.0000,0.3165,1.3225,4.1785
14.2000,0.3325,1.389,4.1775
14.4000,0.314,1.3117,4.1775
14.6000,0.3465,1.4475,4.1775
14.8000,0.3195,1.3347,4.1775
15.0000,0.318,1.3284,4.1775
15.2000,0.3215,1.3431,4.1775
15.4000,0.313,1.3079,4.1785
15.6000,0.329,1.3747,4.1785
15.8000,0.3315,1.3848,4.1775
16.0000,0.3105,1.2971,4.1775
16.2000,0.318,1.3288,4.1785
16.4000,0.3295,1.3768,4.1785
16.6000,0.3415,1.427,4.1785
16.8000,0.3115,1.3016,4.1785
17.0000,0.319,1.3325,4.177
17.2000,0.366,1.5293,4.1785
17.4000,0.3145,1.3141,4.1785
17.6000,0.3645,1.5225,4.177
17.8000,0.3395,1.4183,4.1775
18.0000,0.343,1.4329,4.1775
18.2000,0.409,1.7086,4.1775
18.4000,0.337,1.4076,4.177
18.6000,0.354,1.4787,4.177
18.8000,0.359,1.5001,4.1785
19.0000,0.321,1.341,4.1775
19.2000,0.3155,1.318,4.1775
19.4000,0.3225,1.3472,4.1775
19.6000,0.3275,1.3685,4.1785
19.8000,0.3135,1.3096,4.1775
20.0000,0.394,1.6463,4.1785
20.2000,0.3135,1.3095,4.177
20.4000,0.3315,1.3852,4.1785
20.6000,0.3365,1.4057,4.1775
20.8000,0.31,1.2956,4.1795
21.0000,0.336,1.404,4.1785
21.2000,0.3205,1.3392,4.1785
21.4000,0.3605,1.5063,4.1785
21.6000,0.337,1.4078,4.1775
21.8000,0.3285,1.3723,4.1775
22.0000,0.311,1.2995,4.1785
22.2000,0.3435,1.4353,4.1785
22.4000,0.3255,1.3598,4.1775
22.6000,0.334,1.3951,4.177
22.8000,0.341,1.4244,4.177
23.0000,0.3415,1.4266,4.1775
23.2000,0.359,1.5001,4.1785
23.4000,0.3385,1.4139,4.177
23.6000,0.358,1.4955,4.1775
23.8000,0.3485,1.4562,4.1785
24.0000,0.3145,1.3141,4.1785
24.2000,0.3195,1.335,4.1785
24.4000,0.3145,1.3138,4.1775
24.6000,0.381,1.5916,4.1775
24.8000,0.5665,2.3657,4.176
25.0000,0.317,1.3246,4.1785
