Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.4802,2.0064,4.178
0.2000,0.4443,1.8562,4.178
0.4000,0.3835,1.6024,4.178
0.6000,0.4423,1.8468,4.176
0.8000,0.5038,2.1047,4.178
1.0000,0.4083,1.7052,4.176
1.2000,0.3802,1.5886,4.178
1.4000,0.4073,1.7018,4.178
1.6000,0.384,1.6045,4.178
1.8000,0.4562,1.9059,4.178
2.0000,0.3881,1.6214,4.178
2.2000,0.3957,1.6531,4.178
2.4000,0.4073,1.7018,4.178
2.6000,0.44,1.8373,4.176
2.8000,0.4377,1.8287,4.178
3.0000,0.4248,1.7747,4.178
3.2000,0.3954,1.6521,4.178
3.4000,0.3496,1.4606,4.178
3.6000,0.3754,1.5678,4.176
3.8000,0.4574,1.9103,4.176
4.0000,0.5795,2.4198,4.176
4.2000,0.4498,1.8795,4.178
4.4000,0.3574,1.4934,4.178
4.6000,0.3461,1.4451,4.176
4.8000,0.3602,1.505,4.178
5.0000,0.3402,1.4215,4.178
5.2000,0.3623,1.5135,4.178
5.4000,0.344,1.4374,4.178
5.6000,0.3625,1.5138,4.176
5.8000,0.4304,1.798,4.178
6.0000,0.3342,1.3961,4.178
6.2000,0.3468,1.449,4.178
6.4000,0.3453,1.4426,4.178
6.6000,0.3559,1.4871,4.178
6.8000,0.4374,1.8276,4.178
7.0000,0.381,1.5918,4.178
7.2000,0.3754,1.5685,4.178
7.4000,0.3969,1.6584,4.178
7.6000,0.3924,1.6393,4.178
7.8000,0.4579,1.9132,4.178
8.0000,0.3876,1.6184,4.176
8.2000,0.4154,1.7347,4.176
8.4000,0.4172,1.7429,4.178
8.6000,0.3483,1.4553,4.178
8.8000,0.3984,1.6647,4.178
9.0000,0.4149,1.7334,4.178
9.2000,0.4924,2.0571,4.178
9.4000,0.4265,1.7821,4.178
9.6000,0.3784,1.5811,4.178
9.8000,0.4311,1.8011,4.178
10.0000,0.4772,1.9936,4.178
10.2000,0.4194,1.7516,4.176
10.4000,0.4255,1.7778,4.178
10.6000,0.4113,1.7186,4.178
10.8000,0.4951,2.0687,4.178
11.0000,0.4096,1.7112,4.178
11.2000,0.421,1.7588,4.178
11.4000,0.3903,1.6301,4.176
11.6000,0.3612,1.5092,4.178
11.8000,0.4848,2.0253,4.178
12.0000,0.4202,1.7548,4.176
12.2000,0.4081,1.7041,4.176
12.4000,0.6004,2.5074,4.176
12.6000,0.3612,1.5092,4.178
12.8000,0.4534,1.8942,4.178
13.0000,0.4101,1.7133,4.178
13.2000,0.4799,2.0043,4.176
13.4000,0.3751,1.5666,4.176
13.6000,0.5154,2.1533,4.178
13.8000,0.5539,2.3129,4.176
14.0000,0.5501,2.2971,4.176
14.2000,0.5341,2.2316,4.178
14.4000,0.5197,2.1713,4.178
14.6000,0.5658,2.3626,4.176
14.8000,0.5966,2.4928,4.178
15.0000,0.541,2.2601,4.178
15.2000,0.5146,2.1501,4.178
15.4000,0.5792,2.4187,4.176
15.6000,0.3865,1.6142,4.176
15.8000,0.4417,1.8455,4.178
16.0000,0.3914,1.6351,4.178
16.2000,0.4035,1.685,4.176
16.4000,0.4296,1.7948,4.178
16.6000,0.3939,1.6456,4.178
16.8000,0.4698,1.9629,4.178
17.0000,0.561,2.3425,4.176
17.2000,0.4235,1.7694,4.178
17.4000,0.4258,1.7789,4.178
17.6000,0.4465,1.8656,4.178
17.8000,0.4706,1.9661,4.178
18.0000,0.44,1.8381,4.178
18.2000,0.486,2.0296,4.176
18.4000,0.4341,1.8129,4.176
18.6000,0.3876,1.6192,4.178
18.8000,0.3926,1.6396,4.176
19.0000,0.4162,1.7387,4.178
19.2000,0.3989,1.6668,4.178
19.4000,0.4394,1.8351,4.176
19.6000,0.4313,1.8013,4.176
19.8000,0.424,1.7706,4.176
20.0000,0.4777,1.9957,4.178
20.2000,0.4483,1.873,4.178
20.4000,0.4058,1.6945,4.176
20.6000,0.4017,1.6776,4.176
20.8000,0.4007,1.6742,4.178
21.0000,0.3693,1.5423,4.176
21.2000,0.3757,1.5695,4.178
21.4000,0.3881,1.6213,4.178
21.6000,0.3721,1.5547,4.178
21.8000,0.4435,1.852,4.176
22.0000,0.4136,1.7281,4.178
22.2000,0.3764,1.5727,4.178
22.4000,0.3777,1.5772,4.176
22.6000,0.3911,1.6339,4.178
22.8000,0.3966,1.6571,4.178
23.0000,0.4083,1.7058,4.178
23.2000,0.4118,1.7206,4.178
23.4000,0.5174,2.1616,4.178
23.6000,0.5232,2.1859,4.178
23.8000,0.5584,2.3329,4.178
24.0000,0.3622,1.5126,4.176
24.2000,0.3506,1.464,4.176
24.4000,0.4149,1.7333,4.178
24.6000,0.3718,1.5535,4.178
24.8000,0.3645,1.5228,4.178
25.0000,0.4293,1.7935,4.178
25.2000,0.3331,1.3917,4.178
25.4000,0.365,1.5249,4.178
25.6000,0.3685,1.5397,4.178
25.8000,0.426,1.7798,4.178
26.0000,0.3663,1.5302,4.178
26.2000,0.3227,1.3483,4.178
26.4000,0.348,1.4541,4.178
26.6000,0.3779,1.5789,4.178
26.8000,0.3931,1.6423,4.178
27.0000,0.3655,1.5263,4.176
27.2000,0.3966,1.6571,4.178
27.4000,0.4369,1.8244,4.176
27.6000,0.3923,1.6391,4.178
27.8000,0.4273,1.7851,4.178
28.0000,0.4108,1.7163,4.178
28.2000,0.4189,1.7502,4.178
28.4000,0.3253,1.3589,4.178
28.6000,0.4295,1.7937,4.176
28.8000,0.429,1.7925,4.178
29.0000,0.3528,1.4742,4.178
29.2000,0.4128,1.7248,4.178
29.4000,0.3875,1.6191,4.178
29.6000,0.3913,1.6349,4.178
29.8000,0.4083,1.7058,4.178
30.0000,0.3827,1.599,4.178
30.2000,0.4338,1.8126,4.178
30.4000,0.3665,1.5313,4.178
30.6000,0.3954,1.651,4.176
30.8000,0.4004,1.6722,4.176
31.0000,0.3465,1.4477,4.178
31.2000,0.3802,1.5884,4.178
31.4000,0.3445,1.4393,4.178
31.6000,0.3564,1.4883,4.176
31.8000,0.3875,1.6191,4.178
32.0000,0.3941,1.6465,4.178
32.2000,0.3759,1.5697,4.176
32.4000,0.3749,1.5654,4.176
32.6000,0.3875,1.6183,4.176
32.8000,0.4235,1.7692,4.178
33.0000,0.3652,1.526,4.178
33.2000,0.3371,1.4086,4.178
33.4000,0.4025,1.6814,4.178
33.6000,0.4004,1.673,4.178
33.8000,0.5508,2.3,4.176
34.0000,0.4209,1.7578,4.176
34.2000,0.4103,1.7142,4.178
34.4000,0.4199,1.7544,4.178
34.6000,0.382,1.5958,4.178
34.8000,0.4632,1.9352,4.178
35.0000,0.4561,1.9047,4.176
35.2000,0.388,1.6212,4.178
35.4000,0.4802,2.0061,4.178
35.6000,0.4009,1.6743,4.176
35.8000,0.4579,1.9121,4.176
36.0000,0.3868,1.6151,4.176
36.2000,0.3602,1.5041,4.176
36.4000,0.3478,1.4523,4.176
36.6000,0.405,1.692,4.178
36.8000,0.3971,1.6592,4.178
37.0000,0.3733,1.5591,4.176
37.2000,0.4166,1.7407,4.178
37.4000,0.3797,1.5855,4.176
37.6000,0.4131,1.7258,4.178
37.8000,0.3754,1.5682,4.178
38.0000,0.3655,1.527,4.178
38.2000,0.3718,1.5534,4.178
38.4000,0.3827,1.5989,4.178
38.6000,0.3556,1.4857,4.178
38.8000,0.3817,1.5939,4.176
39.0000,0.3766,1.5735,4.178
39.2000,0.3586,1.4984,4.178
39.4000,0.3662,1.5302,4.178
39.6000,0.4169,1.7416,4.178
39.8000,0.4508,1.8834,4.178
40.0000,0.5829,2.4342,4.176
40.2000,0.5118,2.1382,4.178
40.4000,0.3804,1.5901,4.18
40.6000,0.4675,1.9531,4.178
40.8000,0.3895,1.6274,4.178
41.0000,0.4953,2.0685,4.176
41.2000,0.4004,1.6721,4.176
41.4000,0.4095,1.711,4.178
41.6000,0.5189,2.1668,4.176
41.8000,0.4083,1.7057,4.178
42.0000,0.3799,1.5865,4.176
42.2000,0.41,1.7123,4.176
42.4000,0.3728,1.5577,4.178
42.6000,0.5103,2.1319,4.178
42.8000,0.5153,2.153,4.178
43.0000,0.3779,1.578,4.176
43.2000,0.4505,1.8823,4.178
43.4000,0.4642,1.9394,4.178
43.6000,0.3994,1.6687,4.178
43.8000,0.4963,2.0727,4.176
44.0000,0.3619,1.5115,4.176
44.2000,0.4885,2.0399,4.176
44.4000,0.4763,1.9892,4.176
44.6000,0.4784,1.9977,4.176
44.8000,0.4103,1.7142,4.178
45.0000,0.4842,2.0229,4.178
