Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.8285,3.4598,4.176
0.2000,0.7935,3.3144,4.177
0.4000,0.858,3.5839,4.177
0.6000,1.1935,4.9936,4.184
0.8000,0.9895,4.1322,4.176
1.0000,0.8595,3.5884,4.175
1.2000,0.923,3.8535,4.175
1.4000,0.8955,3.7302,4.1655
1.6000,1.1245,4.6959,4.176
1.8000,1.288,5.3819,4.1785
2.0000,0.835,3.4861,4.175
2.2000,0.8785,3.6677,4.175
2.4000,1.1215,4.6851,4.1775
2.6000,0.8955,3.7396,4.176
2.8000,0.717,2.9935,4.175
3.0000,1.292,5.3954,4.176
3.2000,0.665,2.777,4.176
3.4000,0.799,3.3358,4.175
3.6000,1.2355,5.1594,4.176
3.8000,0.761,3.1779,4.176
4.0000,0.7325,3.0582,4.175
4.2000,1.3265,5.5395,4.176
4.4000,1.648,6.8837,4.177
4.6000,0.893,3.7283,4.175
4.8000,1.4105,5.8867,4.1735
5.0000,1.5005,6.2646,4.175
5.2000,0.985,4.1114,4.174
5.4000,0.721,3.0116,4.177
5.6000,0.4985,2.0817,4.176
5.8000,1.3095,5.4672,4.175
6.0000,1.1525,4.8117,4.175
6.2000,0.7495,3.1262,4.171
6.4000,0.8705,3.6435,4.1855
6.6000,0.774,3.2315,4.175
6.8000,0.691,2.8856,4.176
7.0000,1.1725,4.8964,4.176
7.2000,0.646,2.6977,4.176
7.4000,0.6645,2.775,4.176
7.6000,0.655,2.7346,4.175
7.8000,0.659,2.7513,4.175
8.0000,0.886,3.6928,4.168
8.2000,1.1765,4.906,4.17
8.4000,1.093,4.5644,4.176
8.6000,1.0205,4.2642,4.1785
8.8000,0.928,3.8753,4.176
9.0000,1.3145,5.488,4.175
9.2000,1.425,5.9522,4.177
9.4000,1.1265,4.7003,4.1725
9.6000,1.465,6.1149,4.174
9.8000,0.6295,2.6288,4.176
10.0000,1.4105,5.8902,4.176
10.2000,0.8065,3.3671,4.175
10.4000,1.1985,5.0037,4.175
10.6000,1.0835,4.5258,4.177
10.8000,0.65,2.7151,4.177
11.0000,0.6675,2.7875,4.176
11.2000,1.2035,5.0246,4.175
11.4000,1.3365,5.5812,4.176
11.6000,0.9265,3.87,4.177
11.8000,1.433,5.9828,4.175
12.0000,1.2645,5.2806,4.176
12.2000,0.8665,3.6176,4.175
12.4000,1.1655,4.8671,4.176
12.6000,1.265,5.2826,4.176
12.8000,0.868,3.6248,4.176
13.0000,0.9855,4.1154,4.176
13.2000,1.155,4.8291,4.181
13.4000,0.954,3.982,4.174
13.6000,1.6285,6.8022,4.177
14.0000,0.903,3.7741,4.1795
14.2000,0.711,2.9702,4.1775
14.4000,1.0255,4.2815,4.175
14.6000,0.7335,3.0624,4.175
14.8000,0.813,3.3943,4.175
15.0000,0.706,2.9476,4.175
15.2000,1.245,5.1991,4.176
15.4000,0.7545,3.1546,4.181
15.6000,1.167,4.8705,4.1735
15.8000,0.854,3.5655,4.175
16.0000,1.257,5.2612,4.1855
16.2000,0.869,3.6281,4.175
16.4000,0.761,3.176,4.1735
16.6000,0.937,3.912,4.175
16.8000,1.299,5.4233,4.175
17.0000,0.901,3.7617,4.175
17.2000,1.366,5.7031,4.175
17.4000,1.221,5.1032,4.1795
17.6000,0.984,4.1092,4.176
17.8000,0.9365,3.9085,4.1735
18.0000,0.937,3.912,4.175
18.2000,1.3815,5.7726,4.1785
18.4000,0.8045,3.3596,4.176
18.6000,0.7245,3.0255,4.176
18.8000,1.197,4.9987,4.176
19.0000,0.663,2.7664,4.1725
19.2000,1.3515,5.6486,4.1795
19.4000,1.291,5.3912,4.176
19.6000,0.729,3.0418,4.1725
19.8000,0.609,2.5432,4.176
20.0000,1.0685,4.461,4.175
20.2000,0.7525,3.1417,4.175
20.4000,1.226,5.1186,4.175
20.6000,1.268,5.2952,4.176
20.8000,1.249,5.2158,4.176
21.0000,1.279,5.3379,4.1735
21.2000,0.813,3.3943,4.175
21.4000,1.278,5.3357,4.175
21.6000,0.759,3.1688,4.175
21.8000,1.2645,5.2793,4.175
22.0000,1.4325,5.9807,4.175
22.2000,1.463,6.108,4.175
22.4000,0.9545,3.986,4.176
22.6000,1.032,4.3096,4.176
22.8000,0.832,3.4728,4.174
23.0000,0.9035,3.7653,4.1675
23.2000,0.7,2.9239,4.177
23.4000,0.942,3.9319,4.174
23.6000,0.9065,3.7855,4.176
23.8000,0.6625,2.7666,4.176
24.0000,1.116,4.6615,4.177
24.2000,0.927,3.8712,4.176
24.4000,0.7525,3.1424,4.176
24.6000,1.17,4.8848,4.175
24.8000,1.39,5.7998,4.1725
25.0000,1.2815,5.349,4.174
25.2000,0.6625,2.7659,4.175
25.4000,0.7875,3.2886,4.176
25.6000,1.23,5.1352,4.175
25.8000,1.265,5.2814,4.175
26.0000,0.837,3.4953,4.176
26.2000,1.3015,5.4318,4.1735
26.4000,0.9305,3.8858,4.176
26.6000,1.4275,5.9584,4.174
26.8000,1.1335,4.7312,4.174
27.0000,1.234,5.1489,4.1725
27.2000,0.84,3.5116,4.1805
27.4000,0.782,3.2649,4.175
27.6000,1.419,5.9243,4.175
27.8000,1.371,5.7301,4.1795
28.0000,0.8485,3.5442,4.177
28.2000,1.2365,5.1574,4.171
28.4000,1.1485,4.7881,4.169
28.6000,0.932,3.8911,4.175
28.8000,0.684,2.8564,4.176
29.0000,1.0615,4.4318,4.175
29.2000,0.913,3.8127,4.176
29.4000,0.659,2.752,4.176
29.6000,1.298,5.4204,4.176
29.8000,1.0005,4.1781,4.176
30.0000,0.85,3.5496,4.176
30.2000,1.508,6.2974,4.176
30.4000,1.637,6.8418,4.1795
30.6000,1.0135,4.2324,4.176
30.8000,1.3015,5.4429,4.182
31.0000,1.5305,6.3845,4.1715
31.2000,1.3725,5.7281,4.1735
31.4000,1.2815,5.3515,4.176
31.6000,0.9415,3.9331,4.1775
31.8000,0.834,3.482,4.175
32.0000,0.9535,3.9866,4.181
32.2000,1.316,5.4976,4.1775
32.4000,1.211,5.0541,4.1735
32.6000,1.3525,5.6467,4.175
32.8000,1.136,4.7428,4.175
33.0000,0.657,2.7436,4.176
33.2000,1.113,4.6468,4.175
33.4000,1.0705,4.4693,4.175
33.6000,1.2485,5.2106,4.1735
33.8000,0.8555,3.5726,4.176
34.0000,1.38,5.7629,4.176
34.2000,0.673,2.8098,4.175
34.4000,0.6795,2.8369,4.175
34.6000,0.969,4.0475,4.177
34.8000,0.7975,3.3296,4.175
35.0000,1.282,5.3524,4.175
35.2000,1.6425,6.8591,4.176
35.4000,0.9635,4.0226,4.175
35.6000,1.3105,5.4726,4.176
35.8000,1.036,4.3253,4.175
36.0000,1.1965,4.9954,4.175
36.2000,0.536,2.2383,4.176
36.4000,1.369,5.7135,4.1735
36.6000,0.8425,3.5166,4.174
36.8000,0.782,3.2664,4.177
37.0000,0.8115,3.3896,4.177
37.2000,0.8625,3.5996,4.1735
37.4000,0.901,3.7666,4.1805
37.6000,1.3355,5.5757,4.175
37.8000,0.9265,3.8691,4.176
38.0000,1.458,6.0872,4.175
38.2000,1.4865,6.2061,4.175
38.4000,0.992,4.1426,4.176
38.6000,1.11,4.6342,4.175
38.8000,0.8925,3.7271,4.176
39.0000,0.937,3.9129,4.176
39.2000,1.5075,6.3006,4.1795
39.4000,1.0245,4.2793,4.177
39.6000,0.7685,3.2093,4.176
39.8000,1.1555,4.8254,4.176
40.0000,0.852,3.558,4.176
40.2000,0.793,3.3108,4.175
40.4000,0.586,2.4451,4.1725
40.6000,0.706,2.9483,4.176
40.8000,0.743,3.1028,4.176
41.0000,0.965,4.0332,4.1795
41.2000,0.9535,3.9809,4.175
41.4000,1.0775,4.4996,4.176
41.6000,0.841,3.5112,4.175
41.8000,0.6835,2.8543,4.176
42.0000,1.3505,5.6491,4.183
42.2000,0.847,3.5371,4.176
42.4000,0.784,3.274,4.176
42.6000,0.871,3.6373,4.176
42.8000,0.8405,3.5099,4.176
43.0000,0.8225,3.4348,4.176
43.2000,0.8755,3.6552,4.175
43.4000,0.916,3.8243,4.175
43.6000,0.9475,3.9568,4.176
43.8000,0.9885,4.128,4.176
44.0000,1.3,5.4288,4.176
44.2000,0.8845,3.699,4.182
44.4000,0.936,3.9078,4.175
44.6000,0.974,4.0665,4.175
44.8000,0.6295,2.6282,4.175
45.0000,0.878,3.6657,4.175
45.2000,1.1095,4.6333,4.176
45.4000,0.656,2.7388,4.175
45.6000,1.0495,4.3801,4.1735
45.8000,0.646,2.6983,4.177
46.0000,0.607,2.5348,4.176
46.2000,0.7705,3.2176,4.176
46.4000,1.252,5.2284,4.176
46.6000,0.8635,3.6051,4.175
46.8000,0.847,3.5371,4.176
47.0000,0.7525,3.1424,4.176
47.2000,0.7525,3.1409,4.174
47.4000,1.2225,5.1039,4.175
47.6000,0.8635,3.6051,4.175
47.8000,1.725,7.2096,4.1795
48.0000,1.7495,7.3059,4.176
48.2000,1.674,6.9982,4.1805
48.4000,0.9885,4.127,4.175
48.6000,1.6185,6.7572,4.175
48.8000,1.1805,4.9369,4.182
49.0000,1.0425,4.3462,4.169
49.2000,1.19,4.9724,4.1785
49.4000,1.286,5.3678,4.174
49.6000,0.8525,3.5592,4.175
49.8000,1.323,5.5235,4.175
50.0000,1.31,5.4693,4.175
50.2000,0.7995,3.3387,4.176
50.4000,1.2575,5.2513,4.176
50.6000,0.9475,3.9558,4.175
50.8000,0.822,3.4327,4.176
51.0000,1.284,5.3607,4.175
51.2000,0.996,4.1558,4.1725
51.4000,0.8385,3.5007,4.175
51.6000,0.9515,3.9735,4.176
51.8000,1.0125,4.2272,4.175
52.0000,0.903,3.7709,4.176
52.2000,0.914,3.8169,4.176
52.4000,0.521,2.1757,4.176
52.6000,0.738,3.0819,4.176
52.8000,1.552,6.4742,4.1715
53.0000,1.1625,4.8563,4.1775
53.2000,1.1695,4.8827,4.175
53.4000,0.9635,4.025,4.1775
53.6000,0.829,3.4611,4.175
53.8000,0.798,3.3317,4.175
54.0000,1.106,4.6176,4.175
54.2000,0.7345,3.0673,4.176
54.4000,0.7575,3.1633,4.176
54.6000,0.865,3.6122,4.176
54.8000,0.8315,3.4723,4.176
55.0000,0.7175,2.9963,4.176
55.2000,1.618,6.7705,4.1845
55.4000,1.2935,5.4004,4.175
55.6000,0.945,3.9463,4.176
55.8000,1.214,5.0709,4.177
56.0000,1.07,4.4672,4.175
56.2000,0.8365,3.4924,4.175
56.4000,1.0425,4.3623,4.1845
56.6000,1.2235,5.1081,4.175
56.8000,1.21,5.0614,4.183
57.0000,0.6735,2.8112,4.174
57.2000,1.226,5.1173,4.174
57.4000,1.3315,5.5603,4.176
57.6000,0.815,3.4026,4.175
57.8000,0.851,3.5551,4.1775
58.0000,0.733,3.0603,4.175
58.2000,1.3715,5.7274,4.176
58.4000,0.998,4.1736,4.182
58.6000,1.219,5.0777,4.1655
58.8000,1.306,5.4526,4.175
59.0000,1.62,6.7667,4.177
59.2000,1.324,5.5303,4.177
59.4000,1.3225,5.5247,4.1775
59.6000,0.9765,4.0769,4.175
59.8000,1.21,5.0518,4.175
60.0000,1.1795,4.9274,4.1775
60.2000,0.663,2.767,4.1735
60.4000,1.1115,4.6444,4.1785
60.6000,1.138,4.7534,4.177
60.8000,0.611,2.5509,4.175
61.0000,1.4105,5.8987,4.182
61.2000,1.273,5.3135,4.174
61.4000,1.234,5.1631,4.184
61.6000,0.953,3.9797,4.176
61.8000,1.138,4.7443,4.169
62.0000,0.943,3.9436,4.182
62.2000,0.833,3.4778,4.175
62.4000,0.8725,3.6457,4.1785
62.6000,0.9055,3.7805,4.175
62.8000,1.4965,6.2479,4.175
63.0000,0.815,3.4026,4.175
63.2000,1.3045,5.4443,4.1735
63.4000,0.9885,4.128,4.176
63.6000,0.754,3.1487,4.176
63.8000,1.101,4.5967,4.175
64.0000,0.746,3.1153,4.176
64.2000,1.31,5.4673,4.1735
64.4000,0.5255,2.1945,4.176
64.6000,0.7315,3.0547,4.176
64.8000,0.587,2.4478,4.17
65.0000,0.707,2.9531,4.177
65.2000,1.5395,6.4382,4.182
65.4000,1.16,4.843,4.175
65.6000,0.9115,3.8055,4.175
65.8000,0.6315,2.6371,4.176
66.0000,0.651,2.7186,4.176
66.2000,1.356,5.6627,4.176
66.4000,0.7895,3.297,4.176
66.6000,0.9645,4.0278,4.176
66.8000,1.1455,4.7807,4.1735
67.0000,0.8775,3.6636,4.175
67.2000,0.9485,3.9643,4.1795
67.4000,1.3125,5.4797,4.175
67.6000,0.8145,3.4022,4.177
67.8000,0.9965,4.1659,4.1805
68.0000,0.766,3.1988,4.176
68.2000,0.633,2.6444,4.1775
68.4000,0.6015,2.5119,4.176
68.6000,1.1385,4.7532,4.175
68.8000,0.809,3.3756,4.1725
69.0000,0.789,3.3016,4.1845
69.2000,0.709,2.9601,4.175
69.4000,1.024,4.2778,4.1775
69.6000,1.2955,5.4074,4.174
69.8000,1.476,6.1623,4.175
70.0000,0.668,2.7896,4.176
70.2000,0.6395,2.6699,4.175
70.4000,0.681,2.8425,4.174
70.6000,0.745,3.1111,4.176
70.8000,0.6935,2.8961,4.176
71.0000,0.6775,2.8286,4.175
71.2000,0.9085,3.793,4.175
71.4000,1.087,4.5382,4.175
71.6000,0.9455,3.9484,4.176
71.8000,0.9385,3.9192,4.176
72.0000,0.7705,3.2168,4.175
72.2000,0.9245,3.8598,4.175
72.4000,0.8335,3.4836,4.1795
72.6000,0.7785,3.2518,4.177
72.8000,1.4595,6.0934,4.175
73.0000,1.527,6.3752,4.175
73.2000,0.649,2.7096,4.175
73.4000,1.3765,5.7455,4.174
73.6000,1.449,6.0474,4.1735
73.8000,0.9495,3.9632,4.174
74.0000,0.7205,3.0081,4.175
74.2000,1.321,5.5152,4.175
74.4000,0.8865,3.702,4.176
74.6000,0.934,3.8995,4.175
74.8000,0.828,3.4577,4.176
75.0000,1.388,5.788,4.17
75.2000,0.9605,4.011,4.176
75.4000,0.9905,4.1373,4.177
75.6000,1.231,5.1376,4.1735
75.8000,1.0235,4.2752,4.177
76.0000,0.6445,2.6914,4.176
76.2000,0.6015,2.5113,4.175
76.4000,0.5965,2.4916,4.177
76.6000,1.292,5.3954,4.176
76.8000,1.347,5.6237,4.175
77.0000,0.876,3.6573,4.175
77.2000,1.437,5.9973,4.1735
77.4000,1.488,6.2124,4.175
77.6000,1.199,5.007,4.176
77.8000,0.9485,3.9609,4.176
78.0000,1.082,4.5174,4.175
78.2000,0.7215,3.013,4.176
78.4000,0.883,3.6874,4.176
78.6000,1.147,4.7916,4.1775
78.8000,1.4935,6.2354,4.175
79.0000,1.415,5.9112,4.1775
79.2000,1.344,5.6092,4.1735
79.4000,0.4905,2.0483,4.176
79.6000,0.706,2.9476,4.175
79.8000,1.303,5.4413,4.176
80.0000,0.902,3.7595,4.168
80.2000,0.593,2.4764,4.176
80.4000,0.7735,3.2301,4.176
80.6000,0.8395,3.5066,4.177
80.8000,0.8445,3.5258,4.175
81.0000,0.9025,3.7679,4.175
81.2000,0.633,2.6434,4.176
81.4000,0.8845,3.6928,4.175
81.6000,1.234,5.152,4.175
81.8000,1.123,4.6885,4.175
82.0000,1.1995,5.0133,4.1795
82.2000,1.449,6.0481,4.174
82.4000,1.5495,6.4761,4.1795
82.6000,1.0005,4.1781,4.176
82.8000,1.197,4.9975,4.175
83.0000,1.0185,4.2512,4.174
83.2000,0.537,2.2414,4.174
83.4000,0.809,3.3784,4.176
83.6000,0.808,3.375,4.177
83.8000,0.7,2.9232,4.176
84.0000,0.7845,3.2686,4.1665
84.2000,0.8445,3.5266,4.176
84.4000,1.1825,4.9381,4.176
84.6000,1.3395,5.5911,4.174
84.8000,0.778,3.2489,4.176
85.0000,0.9485,3.95,4.1645
85.2000,0.8455,3.5278,4.1725
85.4000,1.3065,5.4546,4.175
85.6000,1.17,4.8912,4.1805
85.8000,1.46,6.0955,4.175
86.0000,0.8685,3.6269,4.176
86.2000,0.9555,3.9892,4.175
86.4000,0.845,3.527,4.174
86.6000,1.1545,4.82,4.175
86.8000,1.284,5.3684,4.181
87.0000,0.9225,3.8524,4.176
87.2000,0.7965,3.3254,4.175
87.4000,0.9435,3.9424,4.1785
87.6000,0.938,3.9105,4.169
87.8000,0.833,3.4778,4.175
88.0000,0.769,3.2075,4.171
88.2000,1.4165,5.9224,4.181
88.4000,1.4625,6.0972,4.169
88.6000,0.906,3.7803,4.1725
88.8000,1.0225,4.27,4.176
89.0000,1.538,6.4212,4.175
89.2000,0.7825,3.2662,4.174
89.4000,1.522,6.3559,4.176
89.6000,1.549,6.4655,4.174
89.8000,1.2485,5.2125,4.175
90.0000,1.09,4.5508,4.175
90.2000,0.763,3.1855,4.175
90.4000,0.5325,2.2237,4.176
90.6000,0.763,3.1863,4.176
90.8000,0.9015,3.7552,4.1655
91.0000,0.9415,3.9308,4.175
91.2000,0.932,3.893,4.177
91.4000,1.0125,4.2221,4.17
91.6000,1.3675,5.7107,4.176
91.8000,1.29,5.3858,4.175
92.0000,0.8195,3.4194,4.1725
92.2000,0.714,2.981,4.175
92.4000,0.8935,3.7304,4.175
92.6000,0.762,3.1814,4.175
92.8000,0.775,3.2356,4.175
93.0000,0.7625,3.1842,4.176
93.2000,0.9105,3.8032,4.177
93.4000,1.0105,4.2234,4.1795
93.6000,1.104,4.6131,4.1785
93.8000,1.116,4.6593,4.175
94.0000,0.808,3.3742,4.176
94.2000,0.5275,2.2015,4.1735
94.4000,0.669,2.7954,4.1785
94.6000,0.813,3.3951,4.176
94.8000,0.649,2.7096,4.175
95.0000,0.7935,3.3097,4.171
95.2000,0.9615,4.0133,4.174
95.4000,0.725,3.0269,4.175
95.6000,0.973,4.0608,4.1735
95.8000,0.649,2.7086,4.1735
96.0000,1.255,5.2409,4.176
96.2000,0.6525,2.7203,4.169
96.4000,0.79,3.299,4.176
96.6000,1.32,5.511,4.175
96.8000,1.3,5.4288,4.176
97.0000,1.1295,4.7196,4.1785
97.2000,1.3385,5.5882,4.175
97.4000,1.042,4.3504,4.175
97.6000,1.2845,5.3628,4.175
97.8000,1.251,5.2273,4.1785
98.0000,1.557,6.5005,4.175
98.2000,1.3785,5.747,4.169
98.4000,1.1945,4.987,4.175
98.6000,0.822,3.4327,4.176
98.8000,1.053,4.3947,4.1735
99.0000,0.9105,3.7968,4.17
99.2000,1.4115,5.8944,4.176
99.4000,1.5465,6.4659,4.181
99.6000,1.246,5.2045,4.177
99.8000,1.331,5.5596,4.177
100.0000,1.2545,5.24,4.177
100.2000,1.388,5.7949,4.175
100.4000,1.0995,4.5888,4.1735
100.6000,0.9125,3.8097,4.175
100.8000,0.8325,3.4757,4.175
101.0000,1.0955,4.5699,4.1715
101.2000,0.766,3.1981,4.175
101.4000,0.9795,4.0928,4.1785
101.6000,1.0995,4.5904,4.175
101.8000,1.049,4.3806,4.176
102.0000,1.0515,4.3974,4.182
102.2000,1.0955,4.5726,4.174
102.4000,1.1365,4.7477,4.1775
102.6000,1.239,5.171,4.1735
102.8000,0.9085,3.7962,4.1785
103.0000,1.1485,4.8013,4.1805
103.2000,1.195,4.9921,4.1775
103.4000,0.5145,2.1486,4.176
103.6000,0.846,3.5312,4.174
103.8000,1.365,5.6989,4.175
104.0000,0.65,2.7138,4.175
104.2000,0.6515,2.7207,4.176
104.4000,0.7435,3.1015,4.1715
104.6000,1.514,6.321,4.175
104.8000,0.9285,3.8765,4.175
105.0000,0.74,3.0895,4.175
105.2000,1.417,5.916,4.175
105.4000,1.0775,4.4986,4.175
105.6000,1.049,4.3796,4.175
105.8000,1.0385,4.342,4.181
106.0000,0.874,3.649,4.175
106.2000,1.425,5.9508,4.176
106.4000,0.8835,3.6873,4.1735
106.6000,0.939,3.9213,4.176
106.8000,0.984,4.1092,4.176
107.0000,0.939,3.9203,4.175
107.2000,1.032,4.2988,4.1655
107.4000,0.515,2.1506,4.176
107.6000,0.8995,3.7563,4.176
107.8000,0.6125,2.5572,4.175
108.0000,0.9045,3.7754,4.174
108.2000,0.661,2.759,4.174
108.4000,0.717,2.9885,4.168
108.6000,1.3215,5.5252,4.181
108.8000,0.6385,2.6657,4.175
109.0000,1.746,7.293,4.177
109.2000,1.1945,4.9823,4.171
109.4000,0.8485,3.5412,4.1735
109.6000,1.3955,5.8276,4.176
109.8000,1.1655,4.87,4.1785
110.0000,0.8675,3.6218,4.175
110.2000,1.0215,4.2658,4.176
110.4000,1.0395,4.342,4.177
110.6000,1.39,5.8033,4.175
110.8000,1.4555,6.0796,4.177
111.0000,1.515,6.3236,4.174
111.2000,1.1565,4.8272,4.174
111.4000,0.7765,3.2427,4.176
111.6000,0.748,3.1218,4.1735
111.8000,0.547,2.2837,4.175
112.0000,0.5395,2.2524,4.175
112.2000,1.3055,5.4452,4.171
112.4000,0.8025,3.3504,4.175
112.6000,1.0185,4.2533,4.176
112.8000,1.3265,5.5368,4.174
113.0000,0.972,4.0634,4.1805
113.2000,0.7025,2.9336,4.176
113.4000,0.862,3.5997,4.176
113.6000,0.838,3.4995,4.176
113.8000,0.8925,3.7262,4.175
114.0000,1.3705,5.7205,4.174
114.2000,0.786,3.2816,4.175
114.4000,1.4205,5.9285,4.1735
114.6000,1.1005,4.5935,4.174
114.8000,1.487,6.2097,4.176
115.0000,1.461,6.0997,4.175
115.2000,0.982,4.0999,4.175
115.4000,1.2035,5.027,4.177
115.6000,1.948,8.1368,4.177
115.8000,1.0795,4.5091,4.177
116.0000,1.622,6.7832,4.182
116.2000,0.961,4.0112,4.174
116.4000,1.4125,5.8986,4.176
116.6000,0.8745,3.651,4.175
116.8000,1.421,5.9405,4.1805
117.0000,0.645,2.6929,4.175
117.2000,0.6615,2.7624,4.176
117.4000,0.7505,3.1333,4.175
117.6000,0.888,3.7065,4.174
117.8000,1.3165,5.4951,4.174
118.0000,1.316,5.4943,4.175
118.2000,0.852,3.558,4.176
118.4000,1.317,5.4998,4.176
118.6000,1.0415,4.3472,4.174
118.8000,1.3265,5.5368,4.174
119.0000,0.727,3.036,4.176
119.2000,0.749,3.1278,4.176
119.4000,0.52,2.1715,4.176
119.6000,0.913,3.8118,4.175
119.8000,1.17,4.8725,4.1645
