Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,1.4405,6.0177,4.1775
0.2000,0.928,3.8753,4.176
0.4000,1.2315,5.1397,4.1735
0.6000,1.353,5.6488,4.175
0.8000,1.25,5.22,4.176
1.0000,1.4,5.8464,4.176
1.2000,1.1565,4.8284,4.175
1.4000,1.202,5.0196,4.176
1.6000,1.307,5.458,4.176
1.8000,1.24,5.1782,4.176
2.0000,1.225,5.1156,4.176
2.2000,1.199,5.004,4.1735
2.4000,1.254,5.2355,4.175
2.6000,1.4545,6.074,4.176
2.8000,1.33,5.5528,4.175
3.0000,0.9965,4.1604,4.175
3.2000,1.2765,5.3307,4.176
3.4000,1.3795,5.7608,4.176
3.6000,1.324,5.5277,4.175
3.8000,1.2505,5.2133,4.169
4.0000,1.325,5.5319,4.175
4.2000,1.383,5.774,4.175
4.4000,1.601,6.6898,4.1785
4.6000,1.64,6.8445,4.1735
4.8000,1.4755,6.1617,4.176
5.0000,1.664,6.9455,4.174
5.2000,0.8785,3.6616,4.168
5.4000,1.3695,5.719,4.176
5.6000,1.44,6.012,4.175
5.8000,1.5,6.261,4.174
6.0000,1.6465,6.8725,4.174
6.2000,1.435,5.9926,4.176
6.4000,1.3785,5.7435,4.1665
6.6000,1.4075,5.8714,4.1715
6.8000,1.2505,5.2158,4.171
7.0000,1.523,6.36,4.176
7.2000,1.5135,6.3204,4.176
7.4000,1.3435,5.6105,4.176
7.6000,1.049,4.3806,4.176
7.8000,1.344,5.6112,4.175
8.0000,0.8585,3.5851,4.176
8.2000,1.0685,4.4621,4.176
8.4000,0.851,3.5538,4.176
8.6000,1.218,5.0852,4.175
8.8000,1.272,5.3106,4.175
9.0000,1.3845,5.7817,4.176
9.2000,1.1735,4.9005,4.176
9.4000,1.177,4.914,4.175
9.6000,1.2235,5.1093,4.176
9.8000,1.234,5.1532,4.176
10.0000,1.17,4.8859,4.176
10.2000,0.9025,3.772,4.1795
10.4000,1.4585,6.0892,4.175
10.6000,1.327,5.5382,4.1735
10.8000,1.451,6.0608,4.177
11.0000,1.451,6.063,4.1785
11.2000,1.36,5.6794,4.176
11.4000,1.2595,5.2584,4.175
11.6000,1.1215,4.6823,4.175
11.8000,1.213,5.0655,4.176
12.0000,0.8405,3.5099,4.176
12.2000,1.0175,4.2481,4.175
12.4000,1.3585,5.6846,4.1845
12.6000,1.196,4.9933,4.175
