Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,1.959,8.1827,4.177
0.2000,2.2565,9.4175,4.1735
0.4000,2.409,10.0479,4.171
0.6000,2.45,10.2288,4.175
0.8000,2.4575,10.2576,4.174
1.0000,2.782,11.6204,4.177
1.2000,2.055,8.5796,4.175
1.4000,1.543,6.4405,4.174
1.6000,2.0995,8.7633,4.174
1.8000,2.0145,8.4146,4.177
2.0000,2.164,9.0325,4.174
2.2000,2.1225,8.8614,4.175
2.4000,2.2825,9.518,4.17
2.6000,2.3395,9.7756,4.1785
2.8000,2.161,9.007,4.168
3.0000,2.265,9.4507,4.1725
3.2000,2.408,10.051,4.174
3.4000,2.818,11.7609,4.1735
3.6000,2.6215,10.9448,4.175
3.8000,1.7645,7.3791,4.182
4.0000,2.102,8.7685,4.1715
4.2000,1.572,6.5686,4.1785
4.4000,2.022,8.453,4.1805
4.6000,2.2545,9.4261,4.181
4.8000,1.974,8.2454,4.177
5.0000,1.8155,7.5797,4.175
5.2000,2.295,9.5782,4.1735
5.4000,1.8985,7.9186,4.171
5.6000,1.516,6.3293,4.175
5.8000,2.057,8.5859,4.174
6.0000,2.635,11.0077,4.1775
6.2000,2.301,9.609,4.176
6.4000,1.3625,5.6898,4.176
6.6000,1.614,6.7385,4.175
