Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.502,2.0976,4.1785
0.2000,0.4245,1.7742,4.1795
0.4000,0.423,1.7675,4.1785
0.6000,0.433,1.8089,4.1775
0.8000,0.3905,1.6321,4.1795
1.0000,0.455,1.9008,4.1775
1.2000,0.4325,1.8072,4.1785
1.4000,0.4285,1.7905,4.1785
1.6000,0.4565,1.9075,4.1785
1.8000,0.4125,1.7236,4.1785
2.0000,0.4785,1.9994,4.1785
2.2000,0.382,1.5962,4.1785
2.4000,0.4125,1.7236,4.1785
2.6000,0.4125,1.7236,4.1785
2.8000,0.3525,1.4729,4.1785
3.0000,0.433,1.8097,4.1795
3.2000,0.378,1.5795,4.1785
3.4000,0.3695,1.544,4.1785
3.6000,0.4055,1.6948,4.1795
3.8000,0.3965,1.6564,4.1775
4.0000,0.507,2.1185,4.1785
4.2000,0.334,1.3956,4.1785
4.4000,0.3495,1.4607,4.1795
4.6000,0.347,1.4499,4.1785
4.8000,0.403,1.6839,4.1785
5.0000,0.435,1.8176,4.1785
5.2000,0.387,1.6171,4.1785
5.4000,0.3955,1.6526,4.1785
5.6000,0.4025,1.6822,4.1795
5.8000,0.4065,1.6986,4.1785
6.0000,0.5155,2.1545,4.1795
6.2000,0.3895,1.6275,4.1785
6.4000,0.3455,1.4437,4.1785
6.6000,0.403,1.6839,4.1785
6.8000,0.371,1.5502,4.1785
7.0000,0.588,2.4555,4.176
7.2000,0.337,1.4082,4.1785
7.4000,0.3675,1.5356,4.1785
7.6000,0.367,1.5335,4.1785
7.8000,0.428,1.788,4.1775
8.0000,0.4435,1.8532,4.1785
8.2000,0.3885,1.6233,4.1785
8.4000,0.395,1.6505,4.1785
8.6000,0.3925,1.6405,4.1795
8.8000,0.3845,1.6066,4.1785
9.0000,0.386,1.6133,4.1795
9.2000,0.383,1.6007,4.1795
9.4000,0.3515,1.4687,4.1785
9.6000,0.401,1.6752,4.1775
9.8000,0.3805,1.5899,4.1785
10.0000,0.425,1.7759,4.1785
10.2000,0.396,1.6551,4.1795
10.4000,0.395,1.6505,4.1785
10.6000,0.4305,1.7984,4.1775
10.8000,0.4205,1.7571,4.1785
11.0000,0.4445,1.8569,4.1775
11.2000,0.4125,1.7236,4.1785
11.4000,0.3895,1.6271,4.1775
11.6000,0.3655,1.5276,4.1795
11.8000,0.3475,1.452,4.1785
12.0000,0.4,1.671,4.1775
12.2000,0.375,1.5669,4.1785
12.4000,0.424,1.7721,4.1795
12.6000,0.422,1.7637,4.1795
12.8000,0.3545,1.4813,4.1785
13.0000,0.5505,2.2994,4.177
13.2000,0.4245,1.7738,4.1785
13.4000,0.4615,1.9288,4.1795
13.6000,0.4415,1.8448,4.1785
14.0000,0.4725,1.9743,4.1785
14.2000,0.4805,2.007,4.177
14.4000,0.4435,1.8536,4.1795
14.6000,0.418,1.7466,4.1785
14.8000,0.4805,2.0078,4.1785
15.0000,0.539,2.2536,4.181
15.2000,0.3985,1.6651,4.1785
15.4000,0.409,1.7086,4.1775
15.6000,0.433,1.8093,4.1785
15.8000,0.4045,1.6896,4.177
16.0000,0.5085,2.1253,4.1795
16.2000,0.427,1.7838,4.1775
16.4000,0.3985,1.6651,4.1785
16.6000,0.4065,1.6986,4.1785
16.8000,0.4305,1.7993,4.1795
