Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,0.775,3.2372,4.177
0.2000,0.8995,3.7572,4.177
0.4000,0.909,3.796,4.176
0.6000,0.845,3.5279,4.175
0.8000,0.8155,3.4063,4.177
1.0000,0.8815,3.682,4.177
1.2000,0.714,2.9827,4.1775
1.4000,0.97,4.0551,4.1805
1.6000,1.0745,4.4871,4.176
1.8000,0.6265,2.6163,4.176
2.0000,0.768,3.2072,4.176
2.2000,0.663,2.7694,4.177
2.4000,0.9865,4.1196,4.176
2.6000,0.783,3.271,4.1775
2.8000,0.764,3.1916,4.1775
3.0000,0.657,2.7443,4.177
3.2000,0.7175,2.9988,4.1795
3.4000,0.7765,3.2427,4.176
3.6000,0.645,2.6942,4.177
3.8000,0.8935,3.7375,4.183
4.0000,0.5615,2.3454,4.177
4.2000,0.6255,2.6127,4.177
4.4000,0.7965,3.3274,4.1775
4.6000,0.643,2.6858,4.177
4.8000,0.5715,2.3872,4.177
5.0000,0.6435,2.6879,4.177
5.2000,0.667,2.7861,4.177
5.4000,0.6895,2.8804,4.1775
5.6000,0.9085,3.7953,4.1775
5.8000,0.6905,2.8842,4.177
6.0000,0.82,3.4292,4.182
6.2000,0.6615,2.7631,4.177
6.4000,0.784,3.2748,4.177
6.6000,0.672,2.8069,4.177
6.8000,0.6745,2.8174,4.177
7.0000,0.675,2.8195,4.177
7.2000,0.791,3.3044,4.1775
7.4000,0.8895,3.7154,4.177
7.6000,0.841,3.5129,4.177
7.8000,1.008,4.2119,4.1785
8.0000,0.828,3.4569,4.175
8.2000,0.877,3.6624,4.176
8.4000,0.944,3.9421,4.176
8.6000,1.0535,4.3947,4.1715
8.8000,0.8765,3.6603,4.176
9.0000,0.785,3.2793,4.1775
9.2000,0.661,2.7613,4.1775
9.4000,0.7755,3.2393,4.177
9.6000,0.969,4.049,4.1785
9.8000,0.798,3.3344,4.1785
10.0000,0.593,2.4764,4.176
10.2000,0.455,1.9005,4.177
10.4000,0.6995,2.9218,4.177
10.6000,0.667,2.7861,4.177
10.8000,0.793,3.3199,4.1865
11.0000,0.5475,2.2872,4.1775
11.2000,0.7975,3.3288,4.174
11.4000,0.9155,3.824,4.177
11.6000,0.591,2.4689,4.1775
11.8000,0.825,3.446,4.177
12.0000,1.12,4.6827,4.181
12.2000,0.938,3.918,4.177
12.4000,0.869,3.6281,4.175
12.6000,0.6125,2.5584,4.177
12.8000,0.6375,2.6628,4.177
13.0000,0.7835,3.2774,4.183
13.2000,0.8255,3.4481,4.177
13.4000,0.875,3.6549,4.177
13.6000,0.7,2.9239,4.177
14.0000,0.6285,2.6252,4.177
14.2000,0.7375,3.0791,4.175
14.4000,0.89,3.7126,4.1715
14.6000,0.6985,2.9176,4.177
14.8000,0.697,2.91,4.175
15.0000,0.731,3.0534,4.177
15.2000,0.6425,2.677,4.1665
15.4000,0.944,3.9403,4.174
15.6000,0.7855,3.2802,4.176
15.8000,0.667,2.7854,4.176
16.0000,0.8155,3.4063,4.177
16.2000,0.687,2.8696,4.177
16.4000,1.0635,4.4449,4.1795
16.6000,0.6905,2.8842,4.177
16.8000,0.811,3.3875,4.177
17.0000,0.8535,3.5651,4.177
17.2000,0.6915,2.8884,4.177
17.4000,0.6625,2.7676,4.1775
17.6000,0.8545,3.5692,4.177
17.8000,0.7715,3.2218,4.176
18.0000,0.8925,3.728,4.177
18.2000,0.882,3.6841,4.177
18.4000,0.8285,3.4606,4.177
18.6000,0.8965,3.7429,4.175
18.8000,0.7925,3.3115,4.1785
19.0000,0.562,2.3458,4.174
19.2000,0.56,2.3394,4.1775
19.4000,0.768,3.2091,4.1785
19.6000,0.566,2.3642,4.177
19.8000,0.9515,3.9811,4.184
20.0000,0.836,3.4911,4.176
20.2000,0.788,3.2887,4.1735
20.4000,0.771,3.2209,4.1775
20.6000,0.7065,2.9511,4.177
20.8000,0.6955,2.9055,4.1775
21.0000,0.65,2.7151,4.177
21.2000,1.167,4.8792,4.181
21.4000,0.86,3.5905,4.175
21.6000,1.3395,5.6004,4.181
21.8000,0.6195,2.5864,4.175
22.0000,0.829,3.4669,4.182
22.2000,0.771,3.2189,4.175
22.4000,0.7465,3.1181,4.177
22.6000,1.0805,4.5159,4.1795
22.8000,0.9105,3.8022,4.176
23.0000,0.891,3.7217,4.177
23.2000,0.7745,3.2343,4.176
23.4000,0.8205,3.4272,4.177
23.6000,0.8685,3.6277,4.177
23.8000,0.69,2.8821,4.177
24.0000,0.6875,2.8717,4.177
24.2000,0.8025,3.3512,4.176
24.4000,0.895,3.7366,4.175
24.6000,0.858,3.5839,4.177
24.8000,0.7665,3.2009,4.176
25.0000,0.7445,3.1098,4.177
25.2000,0.6825,2.8501,4.176
25.4000,0.797,3.3291,4.177
25.6000,1.0835,4.5285,4.1795
25.8000,1.538,6.4227,4.176
26.0000,1.0665,4.4585,4.1805
26.2000,0.9465,3.955,4.1785
26.4000,1.049,4.3822,4.1775
26.6000,0.759,3.1688,4.175
26.8000,0.6165,2.5745,4.176
27.0000,0.4705,1.9653,4.177
27.2000,0.4645,1.9402,4.177
27.4000,0.897,3.7468,4.177
27.6000,0.5215,2.1783,4.177
27.8000,0.5245,2.1908,4.177
28.0000,0.74,3.0962,4.184
28.2000,0.5015,2.0948,4.177
28.4000,0.658,2.7485,4.177
28.6000,0.675,2.8195,4.177
28.8000,0.7315,3.0558,4.1775
