Time (s),Main Avg Current (A),Main Avg Power (W),Main Avg Voltage (V)
0.0000,1.2175,5.0885,4.1795
0.2000,1.0955,4.5748,4.176
0.4000,1.0565,4.4146,4.1785
0.6000,0.934,3.9004,4.176
0.8000,0.9345,3.9015,4.175
1.0000,0.7915,3.3017,4.1715
1.2000,0.9995,4.1809,4.183
1.4000,0.854,3.5663,4.176
1.6000,0.971,4.0549,4.176
1.8000,0.8905,3.7178,4.175
2.0000,0.844,3.5245,4.176
2.2000,0.927,3.8721,4.177
2.4000,0.9855,4.1189,4.1795
2.6000,0.7815,3.2643,4.177
2.8000,0.832,3.4736,4.175
3.0000,0.8285,3.4598,4.176
3.2000,0.8555,3.5734,4.177
3.4000,0.874,3.6498,4.176
3.6000,0.827,3.4577,4.181
3.8000,0.893,3.7301,4.177
4.0000,0.9505,3.9717,4.1785
4.2000,0.9185,3.8366,4.177
4.4000,0.9375,3.9159,4.177
4.6000,0.982,4.1008,4.176
4.8000,0.9405,3.9285,4.177
5.0000,0.837,3.4953,4.176
5.2000,0.8915,3.7229,4.176
5.4000,0.839,3.5079,4.181
5.6000,1.149,4.8034,4.1805
5.8000,0.9945,4.152,4.175
6.0000,1.025,4.2794,4.175
6.2000,1.046,4.3733,4.181
6.4000,0.9365,3.9174,4.183
6.6000,1.0825,4.5194,4.175
6.8000,0.917,3.8276,4.174
7.0000,0.682,2.8474,4.175
7.2000,0.634,2.6476,4.176
7.4000,0.7365,3.0756,4.176
7.6000,0.95,3.9729,4.182
7.8000,0.7485,3.1265,4.177
8.0000,0.614,2.5635,4.175
8.2000,0.816,3.4076,4.176
8.4000,0.6495,2.713,4.177
8.6000,0.699,2.9239,4.183
8.8000,0.7325,3.0589,4.176
9.0000,0.7955,3.3212,4.175
9.2000,0.7465,3.1174,4.176
9.4000,0.7775,3.2468,4.176
9.6000,0.691,2.8856,4.176
9.8000,0.726,3.0325,4.177
10.0000,0.8265,3.4523,4.177
10.2000,0.8315,3.4736,4.1775
10.4000,0.8315,3.4736,4.1775
10.6000,0.724,3.0227,4.175
10.8000,0.827,3.4527,4.175
11.0000,0.8375,3.4982,4.177
11.2000,0.839,3.5037,4.176
11.4000,0.8695,3.631,4.176
11.6000,0.888,3.7038,4.171
11.8000,0.865,3.6131,4.177
12.0000,1.0255,4.2835,4.177
12.2000,0.8455,3.5338,4.1795
12.4000,0.8815,3.6842,4.1795
12.6000,1.041,4.3524,4.181
12.8000,1.12,4.6827,4.181
13.0000,0.949,3.963,4.176
13.2000,0.885,3.6966,4.177
13.4000,0.7645,3.1926,4.176
